"Taxa","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Taxa.Level"
"Bacilli",16.3355058498296,-3.59861546457057,1.59200002509225,-2.26043681397683,0.0237941538517837,1,"Class"
"Planococcaceae",4.9726396747205,-6.06380511149652,3.00707346802891,-2.01651378856109,0.0437462778539074,1,"Family"
"Bacillales",13.5251943293355,-5.29160527311566,2.96653547974249,-1.78376604940353,0.0744616884657347,1,"Order"
"Streptococcus",2.55938271028476,3.98235943615726,2.44642186666616,1.62783021621049,0.103560891592424,1,"Genus"
"Parasutterella",1.64241076065779,3.85234059978313,2.56332125953007,1.50287077183972,0.132872371423404,1,"Genus"
"Akkermansia",9.29506814254285,3.28743917025833,2.40579364704058,1.36646764127185,0.171792230667487,1,"Genus"
"Streptococcaceae",1.31320169352111,2.80052196770338,2.08774431874685,1.34141041245145,0.17978723876883,1,"Family"
"Ruminococcus",138.276034217943,2.1806431988695,1.65302244968311,1.31918547100648,0.187107114327871,1,"Genus"
"Ruminococcaceae",113.331898438836,1.07218504588917,0.878932826711082,1.21987143192868,0.222513617114654,1,"Family"
"Verrucomicrobiaceae",4.51237357030868,2.43386696977851,2.05486705363515,1.18444011522443,0.236238888496892,1,"Family"
"Porphyromonadaceae",26.157317513895,1.29957418397964,1.10504813441135,1.17603400567878,0.239581287498901,1,"Family"
"Parasporobacterium",2.98569074173313,-3.23370131012266,2.92202161150568,-1.10666577460951,0.268438457985944,1,"Genus"
"Clostridium_XlVb",0.915147261208108,3.08536137745182,3.01650661824219,1.02282599308526,0.306390125825267,1,"Genus"
"Firmicutes",231.96604032642,-0.541245363502476,0.5379114865424,-1.00619781700797,0.314320422065643,1,"Phylum"
"Lachnospiraceae",61.1286727430844,0.924904638535012,1.02642433700896,0.901093831455921,0.367538432408979,1,"Family"
"Sutterellaceae",0.843761212772051,2.46435439385615,2.86127682724107,0.861277863922157,0.3890850243824,1,"Family"
"Parabacteroides",0.323084597014269,-2.46332463042772,3.03328680818305,-0.812097498918428,0.416735688211804,1,"Genus"
"Lactobacillales",2.06266308223871,1.91039147240574,2.45187099125839,0.779156602943965,0.435887470428615,1,"Order"
"Vampirovibrio",0.490347688394735,2.28524298489593,3.02609310826107,0.755179336239636,0.45014138541842,1,"Genus"
"Deferribacteres",0.0725037538034776,-2.28253320341526,3.04645805147718,-0.74924163236336,0.453711580392974,1,"Class"
"Burkholderiales",0.687359279279546,2.26159241764493,3.02013133098665,0.748839096644875,0.453954191977049,1,"Order"
"Marvinbryantia",0.261287917134425,-2.24490651514219,3.03910732212426,-0.73867299742908,0.4601055862859,1,"Genus"
"Staphylococcus",0.432558456093427,2.1484947669296,3.02831383271918,0.709468993509308,0.478033486293002,1,"Genus"
"Deferribacteres",0.0791009283803535,-2.08147699243945,3.04713239230795,-0.683093717126907,0.494547625274906,1,"Phylum"
"Rikenellaceae",0.57668677310033,2.02647348335496,3.03237799601196,0.668278653261593,0.503955736926573,1,"Family"
"Flavobacteriia",0.0395528848842165,-2.03702698973196,3.05024781661906,-0.667823439995059,0.504246302294284,1,"Class"
"Deferribacteraceae",0.0858376263712954,-1.97449454703833,3.05546077215286,-0.64621826109949,0.518138014865927,1,"Family"
"Erysipelotrichaceae",2.15874035013167,1.54143368139175,2.41332345737915,0.638718227628604,0.523006252706132,1,"Family"
"Clostridia",223.89881552646,-0.405406758595276,0.645601155988386,-0.627952343075682,0.530035160007421,1,"Class"
"Betaproteobacteria",0.763438182289384,1.86308282932157,3.02102945370543,0.616704622669737,0.537429571600833,1,"Class"
"Verrucomicrobiales",3.85827723748893,1.54965632293847,2.54510744755064,0.608876581784327,0.542606247667225,1,"Order"
"Barnesiella",2.09126711937177,1.298991798537,2.18572896523545,0.594305981756098,0.552307478520336,1,"Genus"
"Bacteroidetes",63.2997168591343,0.437432172609374,0.737082910886299,0.593463999977136,0.552870668667814,1,"Phylum"
"Bacteroidaceae",40.3248972920529,-0.627866567769537,1.06958372500196,-0.587019560126896,0.557190569993097,1,"Family"
"Deferribacterales",0.0650441782761736,-1.75851339175299,3.04135124362342,-0.578201348969454,0.563128188148737,1,"Order"
"Mucispirillum",0.172362294079161,-1.75420555045887,3.05252923055956,-0.574672809975781,0.565512599664844,1,"Genus"
