"","p.value","taxa","taxa.level","padj"
"1",0.102941176470588,"Alphaproteobacteria","Class",1
"2",0.154411764705882,"Parabacteroides","Genus",1
"3",0.161764705882353,"Proteobacteria","Phylum",1
"4",0.227941176470588,"<NA>","Phylum",1
"5",0.227941176470588,"Actinobacteria","Phylum",1
"6",0.227941176470588,"Actinobacteria","Class",1
"7",0.227941176470588,"Actinomycetales","Order",1
"8",0.25,"Coprococcus","Genus",1
"9",0.304298642533937,"Verrucomicrobia","Phylum",1
"10",0.304298642533937,"Verrucomicrobiae","Class",1
"11",0.304298642533937,"Verrucomicrobiales","Order",1
"12",0.304298642533937,"Lactobacillaceae","Family",1
"13",0.304298642533937,"Streptococcaceae","Family",1
"14",0.304298642533937,"Verrucomicrobiaceae","Family",1
"15",0.304298642533937,"Akkermansia","Genus",1
"16",0.334841628959276,"Lactobacillales","Order",1
"17",0.338235294117647,"Betaproteobacteria","Class",1
"18",0.338235294117647,"Burkholderiales","Order",1
"19",0.338235294117647,"Sutterellaceae","Family",1
"20",0.338235294117647,"Parasutterella","Genus",1
"21",0.338235294117647,"Streptococcus","Genus",1
"22",0.411764705882353,"Deferribacteres","Phylum",1
"23",0.411764705882353,"Deferribacteres","Class",1
"24",0.411764705882353,"Flavobacteriia","Class",1
"25",0.411764705882353,"Deferribacterales","Order",1
"26",0.411764705882353,"Flavobacteriales","Order",1
"27",0.411764705882353,"Deferribacteraceae","Family",1
"28",0.411764705882353,"Desulfovibrionaceae","Family",1
"29",0.411764705882353,"Flavobacteriaceae","Family",1
"30",0.411764705882353,"Peptostreptococcaceae","Family",1
"31",0.411764705882353,"Planococcaceae","Family",1
"32",0.411764705882353,"Bilophila","Genus",1
"33",0.411764705882353,"Clostridium_IV","Genus",1
"34",0.411764705882353,"Lactobacillus","Genus",1
"35",0.411764705882353,"Marvinbryantia","Genus",1
"36",0.411764705882353,"Mucispirillum","Genus",1
"37",0.411764705882353,"Oscillibacter","Genus",1
"38",0.411764705882353,"Planobacterium","Genus",1
"39",0.411764705882353,"Pseudoflavonifractor","Genus",1
"40",0.485294117647059,"<NA>","Class",1
"41",0.485294117647059,"Bdellovibrionales","Order",1
"42",0.485294117647059,"Sphingomonadales","Order",1
"43",0.485294117647059,"Bdellovibrionaceae","Family",1
"44",0.485294117647059,"Corynebacteriaceae","Family",1
