#,Sample ID,Nucleic Acid Conc.,Unit,A260,A280,260/280,260/230,Sample Type,Factor
1,,0.2,ng/µl,0.003,0.005,0.64,0.61,DNA,50
2,AB001-L,2.4,ng/µl,0.047,0.027,1.73,0.04,DNA,50
3,AB001-A,1.1,ng/µl,0.022,0.021,1.04,0.08,DNA,50
4,AB001-I,3.1,ng/µl,0.062,0.053,1.17,0.18,DNA,50
5,AB002-L,0.9,ng/µl,0.018,0.02,0.91,0.07,DNA,50
6,AB002-A,1.5,ng/µl,0.03,0.024,1.25,0.1,DNA,50
7,AB002-I,0.8,ng/µl,0.015,0.01,1.48,0.05,DNA,50
8,AB003-L,-0.2,ng/µl,-0.005,-0.006,0.82,-0.02,DNA,50
9,AB003-L,-0.1,ng/µl,-0.002,0.003,-0.72,-0.01,DNA,50
10,AB003-L,0.2,ng/µl,0.003,0.018,0.17,0.01,DNA,50
11,AB003-A,0.3,ng/µl,0.005,0.018,0.29,0.02,DNA,50
12,AB003-I,6.1,ng/µl,0.123,0.092,1.33,0.26,DNA,50
13,AB004-L,8.1,ng/µl,0.163,0.08,2.05,0.04,DNA,50
14,AB004-A,0.5,ng/µl,0.01,0.002,4.4,0.02,DNA,50
15,AB004-I,1.4,ng/µl,0.028,0.017,1.62,0.02,DNA,50
16,AB005-L,1.2,ng/µl,0.024,0.017,1.4,0.1,DNA,50
17,AB005-A,3.8,ng/µl,0.076,0.058,1.3,0.22,DNA,50
18,AB005-I,-0.5,ng/µl,-0.01,-0.005,2.03,-0.41,DNA,50
19,AB006-A,1.3,ng/µl,0.026,0.031,0.83,0.1,DNA,50
20,AB006-I,0.1,ng/µl,0.001,-0.002,-0.61,0,DNA,50
21,AB005-L,1.4,ng/µl,0.028,0.018,1.59,0.11,DNA,50
22,AB005-A,1.2,ng/µl,0.024,0.013,1.81,0.09,DNA,50
23,AB005-I,0.5,ng/µl,0.009,0.011,0.84,0.03,DNA,50
24,AB006-L,2,ng/µl,0.04,0.03,1.35,0.08,DNA,50
25,AB006-A,0.8,ng/µl,0.016,0.008,2.07,0.07,DNA,50
26,AB006-I,1.5,ng/µl,0.031,0.013,2.34,0.03,DNA,50
27,AB007-L,0.8,ng/µl,0.017,0.007,2.45,0.05,DNA,50
28,AB007-A,1.8,ng/µl,0.036,0.023,1.56,0.1,DNA,50
29,AB007-I,0.7,ng/µl,0.015,0.004,3.59,0.02,DNA,50
30,AB008-L,0.9,ng/µl,0.018,0.017,1.06,0.04,DNA,50
31,AB008-A,0.3,ng/µl,0.007,0.004,1.74,0.01,DNA,50
32,AB008-I,1.2,ng/µl,0.024,0.015,1.6,0.03,DNA,50
33,AB009-L,55.4,ng/µl,1.109,0.816,1.36,0.65,DNA,50
34,AB009-A,4.8,ng/µl,0.095,0.07,1.35,0.32,DNA,50
35,AB009-I,0.1,ng/µl,0.003,0.004,0.65,0.01,DNA,50
36,AB010-L,2.8,ng/µl,0.055,0.039,1.42,0.15,DNA,50
37,AB010-A,0.7,ng/µl,0.015,0.007,2.17,0.05,DNA,50
38,AB010-I,1.9,ng/µl,0.037,0.024,1.57,0.08,DNA,50
39,AB011-L,0.9,ng/µl,0.019,0.022,0.86,0.1,DNA,50
40,AB011-A,0.3,ng/µl,0.006,0.001,7.3,0.03,DNA,50
41,AB011-I,1.2,ng/µl,0.023,0.005,5.14,0.02,DNA,50
42,AB012-IL,1.5,ng/µl,0.029,0.01,2.85,0.03,DNA,50
43,AB012-A,1.1,ng/µl,0.021,0.021,1.01,0.06,DNA,50
