sample_id,customer_label,Ct,gene_copies_per_ul,genome_copies_per_ul*,DNA_ng_per_ul*
zr8258_1V3V4,Saline.HFD.Pre1,14.31,3011112424,752778106,3.83E+03
zr8258_2V3V4,Saline.HFD.Pre2,13.25,23613720999,5903430250,3.00E+04
zr8258_3V3V4,Saline.HFD.Post1,15.66,509094537,127273634,6.47E+02
zr8258_4V3V4,Saline.HFD.Post2,14.77,2572255584,643063896,3.27E+03
zr8258_5V3V4,Leangavage.HFD.Pre1,14.27,4018229121,1004557280,5.11E+03
zr8258_6V3V4,Leangavage.HFD.Pre2,13.76,5701367468,1425341867,7.25E+03
zr8258_7V3V4,Leangavage.HFD.Pre3,13.69,7457579133,1864394783,9.48E+03
zr8258_8V3V4,Leangavage.HFD.Pre4,14.07,3853198523,963299631,4.90E+03
zr8258_9V3V4,Leangavage.HFD.Pre5,14.22,2728693340,682173335,3.47E+03
zr8258_10V3V4,Leangavage.HFD.End1,14.54,3152211540,788052885,4.01E+03
zr8258_11V3V4,Leangavage.HFD.End2,14.86,1656467232,414116808,2.11E+03
zr8258_12V3V4,Leangavage.HFD.End3,14.31,3000370756,750092689,3.81E+03
zr8258_13V3V4,Leangavage.HFD.End4,14.24,6985862480,1746465620,8.88E+03
zr8258_14V3V4,Leangavage.HFD.End5,15.65,594819683,148704921,7.56E+02
zr8258_15V3V4,Obesegavage.HFD.Pre1,13.27,8431935770,2107983943,1.07E+04
zr8258_16V3V4,Obesegavage.HFD.Pre2,13.08,14665839375,3666459844,1.86E+04
zr8258_17V3V4,Obesegavage.HFD.Pre3,14.04,5018260617,1254565154,6.38E+03
zr8258_18V3V4,Obesegavage.HFD.Pre4,13,12984267672,3246066918,1.65E+04
zr8258_19V3V4,Obesegavage.HFD.Pre5,12.31,38414784971,9603696243,4.88E+04
zr8258_20V3V4,Obesegavage.HFD.End1,13.96,6269858894,1567464724,7.97E+03
zr8258_21V3V4,Obesegavage.HFD.End2,14.5,3936450929,984112732,5.00E+03
zr8258_22V3V4,Obesegavage.HFD.End3,16.06,598477331,149619333,7.61E+02
zr8258_23V3V4,Obesegavage.HFD.End4,15.99,388013716,97003429,4.93E+02
zr8258_24V3V4,Obesegavage.HFD.End5,15.62,934798515,233699629,1.19E+03
zr8258_25V3V4,Obesegavage.Chow.Pre1,14.46,2396292235,599073059,3.05E+03
zr8258_26V3V4,Obesegavage.Chow.Pre2,12.9,44030794355,11007698589,5.60E+04
zr8258_27V3V4,Obesegavage.Chow.End1,14.22,3316665168,829166292,4.22E+03
zr8258_28V3V4,Obesegavage.Chow.End2,14.07,4336954137,1084238534,5.51E+03
zr8258_29V3V4,Leangavage,13.12,10307136284,2576784071,1.31E+04
zr8258_30V3V4,Obesegavage,20.05,8758287,2189572,1.11E+01
zr8258_31V3V4,Saline.HFD.VAT1,23.69,3214743,803686,4.09E+00
zr8258_32V3V4,Saline.HFD.VAT2,23.77,4079252,1019813,5.19E+00
zr8258_33V3V4,Saline.HFD.VAT3,24.88,1019032,254758,1.30E+00
zr8258_34V3V4,Saline.HFD.VAT4,24.8,1752890,438223,2.23E+00
zr8258_35V3V4,Saline.HFD.VAT5,25.85,881032,220258,1.12E+00
zr8258_36V3V4,Leangavage.HFD.VAT1,24.65,2005863,501466,2.55E+00
zr8258_37V3V4,Leangavage.HFD.VAT2,25.91,723581,180895,9.20E-01
zr8258_38V3V4,Leangavage.HFD.VAT3,27.42,230069,57517,2.92E-01
zr8258_39V3V4,Leangavage.HFD.VAT4,25.29,708293,177073,9.00E-01
zr8258_40V3V4,Leangavage.HFD.VAT5,27.01,260647,65162,3.31E-01
zr8258_41V3V4,Obesegavage.HFD.VAT1,27.46,292314,73079,3.72E-01
zr8258_42V3V4,Obesegavage.HFD.VAT2,26.47,506759,126690,6.44E-01
zr8258_43V3V4,Obesegavage.HFD.VAT3,27.39,247508,61877,3.15E-01
zr8258_44V3V4,Obesegavage.HFD.VAT4,28,152584,38146,1.94E-01
zr8258_45V3V4,Obesegavage.HFD.VAT5,27.12,242878,60720,3.09E-01
zr8258_46V3V4,Obesegavage.Chow.VAT1,27.31,245475,61369,3.12E-01
zr8258_47V3V4,Obesegavage.Chow.VAT2,32.57,2514,629,3.20E-03
zr8258_48V3V4,Obesegavage.Chow.VAT3,32.3,3490,873,4.44E-03
zr8258_49V3V4,Obesegavage.Chow.VAT4,32.53,2247,562,2.86E-03
zr8258_50V3V4,Obesegavage.Chow.VAT5,32.98,1227,307,1.56E-03
zr8258_51V3V4,Saline.HFD.Liver1,31.45,11427,2857,1.45E-02
zr8258_52V3V4,Saline.HFD.Liver2,31.32,8093,2023,1.03E-02
zr8258_53V3V4,Leangavage.HFD.Liver1,30.64,20947,5237,2.66E-02
zr8258_54V3V4,Leangavage.HFD.Liver2,31.73,9960,2490,1.27E-02
zr8258_55V3V4,Obesegavage.HFD.Liver1,32.29,4977,1244,6.33E-03
zr8258_56V3V4,Obesegavage.HFD.Liver2,32.14,6500,1625,8.26E-03
zr8258_57V3V4,Obesegavage.Chow.Liver1,31.62,5433,1358,6.91E-03
zr8258_58V3V4,Obesegavage.Chow.Liver2,30.63,14018,3505,1.78E-02
zr8258_59V3V4,Salinegavage.HFD.Brain,31.77,7876,1969,1.00E-02
zr8258_60V3V4,Leangavage.HFD.Brain,31.18,13874,3469,1.76E-02
zr8258_61V3V4,Obesegavage.HFD.Brain,31.27,16878,4220,2.15E-02
zr8258_62V3V4,Obesegavage.Chow.Brain,31.56,12353,3088,1.57E-02
zr8258_63V3V4,Salinegavage.HFD.Post1,24.82,102554,25639,1.30E-01
zr8258_64V3V4,Leangavage.HFD.Post1,25.5,58060,14515,7.38E-02
zr8258_65V3V4,Obesegavage.HFD.Post1,31.2,493,123,6.26E-04
zr8258_66V3V4,Obesegavage.Chow.Post1,36.6,5,1,5.10E-06
,,,,,
