"microbe","mean.Lean","mean.Obese","p.value","log2foldchange"
"c__Actinobacteria",2.2,128,0.266655200387949,5.86249647625007
"c__Bacilli",727.8,1133,0.518932325153742,0.638533904866212
"c__Bacteroidia",13461.2,21235.8,0.105237609574912,0.657691434379883
"c__Betaproteobacteria",480,2209.4,0.0357895594992994,2.20254832357961
"c__Clostridia",16730,8437.2,0.00333131138057368,-0.98760123994842
"c__Coriobacteriia",488,0,0.250297267496685,-Inf
"c__Erysipelotrichia",7730.4,7222.2,0.836957066005863,-0.098104694036873
"c__Gammaproteobacteria",119.6,0,0.0173499823349723,-Inf
"c__Verrucomicrobiae",919.8,16218.8,0.00149038583180343,4.14020307313531
"f__Alcaligenaceae",480,2209.4,0.0357895594992994,2.20254832357961
"f__Bacteroidaceae",9232.4,20142.4,0.0297596234828781,1.12545795687462
"f__Bifidobacteriaceae",2.2,128,0.266655200387949,5.86249647625007
"f__Christensenellaceae",69.4,12.6,0.0640773307209377,-2.46151192907834
"f__Clostridiaceae",17.6,4038,0.0075425493452934,7.84192167158154
"f__Coriobacteriaceae",488,0,0.250297267496685,-Inf
"f__Enterobacteriaceae",119.6,0,0.0173499823349723,-Inf
"f__Enterococcaceae",42.2,1036.4,0.060212220308612,4.61819411147291
"f__Erysipelotrichaceae",7730.4,7222.2,0.836957066005863,-0.098104694036873
"f__Eubacteriaceae",0,4.2,0.366555054582791,Inf
"f__Lachnospiraceae",14179.4,1368.6,1.26285981136918e-05,-3.37302372876525
"f__Lactobacillaceae",505.8,0,0.272754615117033,-Inf
"f__NA",15.8,1099,0.0317704838305181,6.12012301765949
"f__Peptostreptococcaceae",0,1825.4,0.0157150229969103,Inf
"f__Porphyromonadaceae",3627,0,0.0010253077045748,-Inf
"f__Rikenellaceae",601.8,0,0.0298120616625722,-Inf
"f__Ruminococcaceae",2447.8,1182.8,0.0303403484591833,-1.04927953740269
"f__Streptococcaceae",179.8,96.6,0.215094631551619,-0.896297926678674
"f__Verrucomicrobiaceae",919.8,16218.8,0.00149038583180343,4.14020307313531
"g__*Soleaferrea",29.6,0,0.000370081230731375,NA
"g__Acetanaerobacterium",16,0,0.0086031587467551,-Inf
"g__Akkermansia",919.8,16218.8,0.00149038583180343,4.14020307313531
"g__Alistipes",601.8,0,0.0298120616625722,-Inf
"g__Anaerofustis",0,4.2,0.366555054582791,Inf
"g__Anaerostipes",232,0,0.0230816394159741,-Inf
"g__Anaerotruncus",257.2,307,0.871410106370337,0.255348012929594
"g__Bacteroides",9232.4,20142.4,0.0297596234828781,1.12545795687462
"g__Bifidobacterium",2.2,128,0.266655200387949,5.86249647625007
"g__Blautia",2083,0,4.8036508686061e-05,-Inf
"g__Clostridium",17.6,4038,0.0075425493452934,7.84192167158154
"g__Eggerthella",189.4,0,0.23842525493712,-Inf
"g__Eisenbergiella",13,0,0.0432227606650323,-Inf
"g__Enterococcus",42.2,1036.4,0.060212220308612,4.61819411147291
"g__Escherichia-Shigella",119.6,0,0.0173499823349723,NA
"g__Faecalitalea",0,5655.2,0.0630272548022434,Inf
"g__Flavonifractor",588.4,418.2,0.539240260301354,-0.492604184665251
"g__Gordonibacter",298.6,0,0.258094031132241,-Inf
"g__Holdemania",325.4,0,0.00014276211262367,-Inf
"g__Hungatella",27.2,0,0.231795446013216,-Inf
"g__Lachnoclostridium",3300.2,390.4,0.000176942510949646,-3.07952849987127
"g__Lactobacillus",505.8,0,0.272754615117033,-Inf
"g__Lactococcus",179.8,96.6,0.215094631551619,-0.896297926678674
"g__Lactonifactor",7.4,0,0.133976626196633,-Inf
"g__Marvinbryantia",1350.6,738.6,0.201648632295945,-0.870735294969698
"g__NA",14807.6,3041.2,0.00083791026898316,-2.28362522780485
"g__Oscillibacter",4.8,82.6,0.315178909081675,4.10503547069829
"g__Parabacteroides",3627,0,0.0010253077045748,-Inf
"g__Parasutterella",480,2209.4,0.0357895594992994,2.20254832357961
"g__Peptoclostridium",0,1805.2,0.0164898727132371,Inf
"g__Romboutsia",0,20.2,0.12081571338842,Inf
"g__Roseburia",604.2,31.2,0.055812520655348,-4.27540824986569
"g__Ruminiclostridium",31.6,33.8,0.890280648286727,0.0970986881050813
"g__Subdoligranulum",764.6,183.4,0.0667959997701449,-2.05971156123959
"g__Tyzzerella",0,3.6,0.366555054582791,Inf
"k__Bacteria",40659,56584.4,0.000928524661382421,0.476829632165375
"o__Bacteroidales",13461.2,21235.8,0.105237609574912,0.657691434379883
