Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM2785589,0,0.101999160412897,0,0.0262882448017837,0,0.19787186315927,0.0188795245194137,0,0.01306637762049,0.0744183028417543,0.124360638643798,0,0.0904492291093856,0.0108834199504699,0,0,0,0,0.00804964642467819,0,0,0.33373359251606,0,0.640205912071464,0.770294794171984
GSM2785590,0,0.0924067121038923,0,0.157718637321561,0,0.0865007933302992,0.00637038536958145,0,0.0292964822305251,0.0505941785669723,0.160794598293198,0.0431622340612296,0.27770834544785,0,0,0.0070446460382033,0,0,0.0097319577955978,0,0.0141644407742657,0.0645065886668245,0,0.640240183377866,0.773431883135464
GSM2785591,0,0.0865718839366531,0,0.257452839223116,0,0.0050523541197683,0.0134122301659818,0,0,0.0224152311125203,0.0819962591574656,0,0.146763369120031,0.013666852237505,0,0,0,0,0.00341750059687958,0,0,0.369251480330079,0,0.667398930041833,0.746349205745661
GSM2785592,0,0.0948088140224359,0,0,0,0.185290966210066,0.0628647172541843,0,0,0.137686049376358,0.0647829773176328,0,0.149139141720159,0.00198308007384849,0,0,0,0.00668654071850791,0,0,0,0.296757713306807,0,0.652733282329551,0.762044427668707
GSM2785593,0,0.0743675035510531,0,0.075675746892417,0,0.136836639403396,0.0690259363769368,0,0,0.0589704819841671,0.137168178079555,0,0.133800259232467,0,0,0,0,0.0113662917732943,0,0,0,0.302788962706715,0,0.670250048634193,0.748199947939468
GSM2785594,0,0.0648596394166576,0,0.169457069860479,0,0.0374169547254926,0.0173025998957855,0,0.0309195094940909,0.0942813254616668,0.160210840623923,0.0253031542074266,0.299239027807593,0,0,0.0103799813936752,0,0,0.0157135568390739,0,0.00360250158723062,0.0713138386869049,0,0.626922723459712,0.781325773896927
GSM2785595,0,0.0626730495589016,0,0.240357191926702,0,0.0524500098903187,0.0119142011448251,0,0.00824758915410535,0,0.0871968230030893,0,0.176963259243722,0.0031615969178539,0,0,0,0.00352510282601013,0.0123734904614364,0,0,0.341137685873036,0,0.621226417292711,0.783828072337099
GSM2785596,0,0.0858506538974061,0,0.102484765628176,0,0.0700859319570733,0.0185429149297733,0,0.0420828358165869,0.129628614019545,0.147817290611825,0.0208587861891554,0.269709879217112,0,0,0.01587906338104,0.000534450335105717,0,0.00273825048681844,0,0.00804938887733029,0.0857371746530528,0,0.624960065407611,0.783621491229844
GSM2785597,0,0.107279817723098,0,0.0706165920482076,0,0.208097124935559,0.013990124141406,0,0,0.0187688899338642,0.116791455600123,0,0.114177286187623,0.00215422351316812,0,0,0,0,0.0032653329755733,0,0,0.344859152941378,0,0.699999829354887,0.722769588928482
GSM2785598,0,0.113562974906816,0,0.15254457220993,0,0.0365793962367467,0,0,0.0642389465580627,0.111492061491499,0.116549521373975,0.0297765009149223,0.310641174322159,0,0,0.00405492123447041,0.000524798202567261,0,0.0121932744133087,0,0.00893356534425719,0.0389082927912849,0,0.615796605483922,0.791130023194302
GSM2785599,0,0.104285979596872,0,0.110412087208704,0,0.127980037610515,0.0473675099824722,0,0.00361205669178189,0,0.113710129953284,0,0.0832123107545591,0,0,0,0,0.00684088629725402,0,0.0119430855024905,0,0.390635916402068,0,0.692427518948642,0.727090942206919
GSM2785600,0,0.123762115339977,0,0.0530796035410848,0,0.209144024389613,0.0198425630547269,0,0,0.0345926889974041,0.0983829904907399,0,0.090183924818643,0,0,0,0,0,0,0,0,0.371012089367812,0,0.68760076614772,0.731582738550917
GSM2785601,0,0.130132181092181,0,0.0441347657048746,0,0.180085530182404,0.0142069622499388,0,0.00778228423888595,0.0332193489876401,0.119722669535728,0,0.10434557896842,0,0,0,0,0,0,0,0,0.366370679039927,0,0.682239539046533,0.735884559084427
GSM2785602,0,0.140031156208654,0,0.0917270969866621,0,0.104393265308664,0.00584878438472968,0,0.0541799590620925,0.0388459296819093,0.179897288223833,0.00771647007266456,0.302857718767699,0,0,0.00917219696321472,0,0,0.0272362603150974,0,0.00278222579277183,0.0353116482320078,0,0.595724548011983,0.807566999748031
GSM2785603,0,0.0707177022627397,0,0.106632372218208,0,0.136146138418973,0.0418975640728589,0,0,0,0.119748554934112,0,0.0859625928452685,0,0,0.0189273747370311,0,0,0,0,0,0.419967700510809,0,0.690237784392978,0.726352857030019
GSM2785604,0,0.134288816410677,0,0.174206519400735,0,0.0527311057032905,0.00205204401641554,0,0.0331291654730967,0.0821537747256259,0.124790063435053,0.0208911967740587,0.258600322782602,0,0,0.01344077844771,0.000213970779269017,0,0.0259189394186783,0,0,0.0775833026327887,0,0.598557176848275,0.803996909560049
