Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells gamma delta,T cells regulatory (Tregs),NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Blood neutrophil,V neutrophil,P-value,Correlation,RMSE
GSM368455,0,0.0449085406399114,0.000250058374112445,0.0701111707571023,0.0503097796515293,0,0,0,0.0105395809414217,0.0263351345362383,0.0714993153485426,0,0.365596393606785,0.00227060610928296,0,0,0,0.00193145133579258,0.00864212184596494,0,0,0.347605846853317,0,0,0.711075647328086,0.703493762374484
GSM368458,0,0.0491958624138492,0.00229004257733994,0.0242330507303827,0.0953880492014196,0.00751499138126052,0,0,0.0410130331218041,0.0208966504572823,0.0678498983981634,0,0.291275078013483,0.00142265374334561,0.00142303240394387,0,0,0,0.0106498933353599,0,0,0.386847764222366,0,0,0.779529908237492,0.630584877857753
GSM368459,0,0.0394303859097173,0.00268158037113952,0.0315213599294035,0.100786788018545,0,0.0191812185493994,0,0.0880649858042512,0.0144196111350869,0.057901714822999,0,0.349528889759165,0.0106870551821457,0.00149074038474652,0,0,0.00291253912509287,0.00335823718012953,0,0,0.278034893828179,0,0,0.818066601991531,0.589109897806287
GSM368460,0,0.0540724525223893,0.00735201699006752,0.0440433476597983,0.120768862006001,0,0.0163809111176727,0,0.0495676684769997,0.0243921041539811,0.0760208944055012,0,0.310544803918068,0.0119084746872683,0.00430935224812163,0,0,0.0019271190527308,0.0168848824813565,0,0,0.261827110280044,0,0,0.760642589212381,0.660131232203371
GSM368464,0,0.0263906665475004,0.00324710618417295,0.00869585755846566,0.088270732241982,0.0157381817056432,0.00549171663817821,0,0.0253994965057558,0.00639835627555224,0.0596156825729723,0,0.363549064131742,0.0136644898652345,0.000384846857974263,0,0,0.00251326268795536,0.00257296605145647,0,0,0.378067574175415,0,0,0.820021077065137,0.575484752918614
GSM368840,0,0.0993009118919552,0.017443665784772,0.100991526742628,0.0533294970481066,0,9.91316991163015e-05,0,0.0170796216931724,0.037104099608381,0.0960675574476118,0,0.293243669470557,0.00014210782622552,0.00170484257314193,0,0.00661379797440312,0,0.0125915050060301,0,0,0.264288065233898,0,0,0.565508632598238,0.826349182355661
GSM368841,0,0.0595581253496676,0.0016851761079042,0.025989198724567,0.0856735873528525,0,0.00492575996087111,0,0.0243922665036277,0.0120200171723374,0.0897985853962962,0,0.353724490298885,0,0.000728124646716948,0,0,0.000468445070091011,0,0.00157046424342024,0,0.339465759172763,0,0,0.743676248126207,0.668547375790514
GSM368842,0,0.0468244072180147,0.00375334049480169,0.0668242285945644,0.171909837898826,0,0.000162510723870513,0,0.0116056100710878,0.0067401363294173,0.137474481193997,0,0.272032535063657,0,0,0,0.00120518812941404,0,0.00100405326309392,0,0,0.280463671019256,0,0,0.722298928748193,0.697004603638134
GSM368844,0,0.0388402287354337,0.00597658109968431,0.00908778214427231,0.109959357343943,0,0.000533822163503463,0,0.0729528270282185,0.0159140528363319,0.0767076251051333,0,0.376905808325059,0,0.00106430462239318,0,0,0.00302883084115275,0.00176730346589764,0,0,0.287261476288977,0,0,0.770147904748405,0.639470149749438
GSM368845,0,0.0542485920148488,0.00292628233302948,0.128059958296709,0.0977171059726239,0,0.000318481204515315,0,0.0684815072596146,0.0199202673670397,0.126349667570686,0,0.237381657044891,0,4.9118498206371e-05,0,0.00168251958711165,0.000943142970906009,0.00297504096301647,0,0,0.258946658916802,0,0,0.667338351987026,0.746626116757762
