Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM694071,0,0.0604894483188809,0,0.012365758109926,0.0791503270762499,0.222733197360492,0.0177700534367422,0,0,0,0.142247458584544,0,0.0864142254608246,0,0,0.0527517858957716,0,0.00646552354369943,0,0.01625809857917,0,0.3033541236337,0,0.49737536738906,0.872255789571603
GSM694072,0,0.0648959523559637,0.00122911126170545,0.00915967927636487,0.112853353930417,0.17435546507017,0.00492215190424702,0,0,0,0.128298869600496,0,0.0595845280656277,0,0,0.0710247768431008,0,0.00594337256772442,0,0.0154679205977838,0,0.3522648185264,0,0.499771655597506,0.874322970084913
GSM694073,0,0,0,0.0286073519416752,0.0593315033446553,0.257838722171602,0.013619971675138,0,0,0.0112103032418817,0.161502355841618,0,0.160514134004512,0,0,0.0822065741637423,3.0471595951656e-05,0,0,0.00593951958995605,0,0.219199092429268,0,0.501044893735928,0.867718557454794
GSM694074,0,0.015536724633155,0,0.0100013305972007,0.0707854386439294,0.237583619742845,0.026467816729189,0,0,0,0.199837124489804,0,0.114364972422152,0,0,0.0972545793334379,0,0.00268841685400953,0,0.004721546842661,0,0.220758429711617,0,0.496121471867817,0.870250001809322
GSM694075,0,0.0332041959282577,0,0,0.112004559544283,0.193356286163746,0,0,0,0.0110295111771373,0.11073010605326,0.0531131660015672,0.126757971318424,0,0,0.0628981316470797,0,0,0,0.0207803045451746,0,0.27612576762107,0,0.482273264631248,0.882281954035379
GSM694076,0,0.0272525442886821,0,0,0.0958556739927743,0.18147386476554,0.000974817958856375,0,0,0.00636394516677391,0.103283688516981,0.0533248423424382,0.132875487071503,0,0,0.0997655457485847,0,0.000230779322184171,0,0.0388657239101882,0,0.259733086915494,0,0.499854933638981,0.868456180586362
GSM694077,0.0158410568389654,0.0389154030439498,0,0.078912149873439,0.0484518173309512,0.226731608483862,0.0359678134183969,0,0,0,0.14630789103548,0,0.0904301733872889,0,0,0.0311449147861774,0,0,0.0131618479358366,0,0,0.274135323865654,0,0.47972667800754,0.883475790694596
GSM694078,0.00437805238795292,0.0142954367518441,0.00139817899552508,0.0472162636621895,0.165131755234992,0.125266539285631,0.0174879593467182,0,0,0,0.181848386040196,0,0.0943068446406761,0,0,0.0773531347488369,0,0.000150427739700894,0.0066707755397707,0.00373448758664826,0,0.260761758039319,0,0.486451176475662,0.878682683333427
GSM694079,0.0309376360886444,0,0,0.0410327130845156,0.0664955494595245,0.236695868351298,0.00359158341295812,0,0,0,0.158212717700258,0.0191888233568428,0.0664419556679497,0,0,0.0857379593845876,0.00259039993236818,0,0,0.0170289860761867,0,0.272045807484867,0,0.414508114821577,0.925489531789968
GSM694080,0,0.0291175088395283,0,0.0153915832059648,0.088150126011378,0.244388548009178,0.00118226938156143,0,0,0,0.174642048749852,0,0.091419637721578,0,0,0.0988797697726237,0.0015273295590791,0,0,0.0185369678175745,0,0.236764210931682,0,0.452298202249123,0.897971693115839
GSM694081,0.0277027735333021,0,0,0.0364180396952258,0.0311120128436324,0.274503949019675,0.0198010322709304,0,0,0,0.132792336449507,0.0072566090109628,0.139959885399251,0,0,0.0859306240948322,0,0,0,0.00536877386745891,0.00189770227920903,0.237256261536014,0,0.471158715725647,0.886445392473603
GSM694082,0.00634933921717412,0.0117543398374889,0,0.0318959565373251,0.0468226794555415,0.218806174788097,0.0458706266157238,0,0,0,0.171849135830305,0,0.126025383077241,0,0,0.105395175728461,0,0.00228275278240147,0.0099734735222405,0,0,0.222974962608002,0,0.482263344350316,0.878110781535651
GSM694083,0.00810948795026141,0,0,0.019642591967614,0.0789631703488677,0.0834241930927607,0.0269777043020148,0,0,0.030349593437738,0.186520414417761,0,0.135554673712246,0,0,0.0307680487249153,0,0.00093047094138393,0,0.0261418071179946,0,0.372617843986443,0,0.471623371385485,0.906031974568458
GSM694084,0.00809576261816345,0,0,0,0.0600457902026688,0.152290870466277,0.00992295664439211,0,0,0,0.232789982553316,0,0.143885313604858,0,0,0.0212275745949475,0,0.00162630295060338,0,0.0277896409002733,0,0.3423258054645,0,0.473807617775478,0.901017495485507
GSM694085,0,0.019883430034032,0,0.0937410731203407,0.0758163779606915,0.224924583231652,0.0144224643992196,0,0,0,0.1220619581994,0,0.0889834968112177,0,0,0.0631533258299605,0,0,0,0.00676040534254068,0,0.290252885070946,0,0.487524574119434,0.880186034286163
GSM694086,0.00541748521329825,0.0182108569980022,0,0.0240017743113169,0.102967380079287,0.235057683405055,0.0492460850069359,0,0,0,0.168364598598368,0,0.0640621476143793,0,0,0.0524817182235457,0,0.00160020313427916,0,0.0149530602613115,0,0.263637007154221,0,0.480047260443357,0.882163487876563
GSM694087,0,0.046771225330798,0,0.0295905513893957,0.121722157248642,0.197979276076704,0.0154935599976875,0,0,0,0.110583971845434,0,0.0773315502279533,0,0,0.0707828893060813,0,0.0049828332566966,0,0.022885290125003,0,0.301876695195605,0,0.489112417102033,0.877184254375451
GSM694088,0,0.0466584812813184,0,0,0.0408117434096519,0.275851386983158,0.00681289326751873,0,0,0,0.140475095607748,0.0232612971271442,0.0879601534958968,0,0,0.0757888297531311,0,0.00629402091993691,0,0.0265008105975541,0,0.269585287556942,0,0.488794219093028,0.875885021982013
GSM694089,0,0.0181676668407802,0,0.022785123331995,0.0721346814445045,0.224198584291359,0.0188272535622813,0,0,0,0.165985128796477,0,0.154319226381218,0,0,0.0940265584153506,0,0.00367602532458825,0,0.00616236292519393,0,0.219717388686253,0,0.502392885008894,0.865885357565074
GSM694090,0,0.0136743600520414,0,0.0329473003497788,0.0950536170177829,0.192167547983293,0.0424845532119273,0,0,0,0.175712862029192,0,0.147471472055211,0,0,0.0822224050645684,0,0.0035166862483701,0,0.00318229901133068,0,0.211566896976504,0,0.501941084040213,0.865963746672167
GSM694091,0,0.00329363486619144,0,0,0.110625007256397,0.172184784134495,0,0,0,0.085109837270219,0.0739115490620972,0.0474088884700445,0.130381164537021,0,0,0.0814329134525063,0.00153544984613682,0.00176702393539475,0,0.0213891472739794,0,0.270960599895518,0,0.499668186211554,0.87131474783519
GSM694092,0,0.00807186400474981,0,0,0.0536046596993303,0.219421118568447,0.0146456472448901,0,0,0,0.110053168487431,0.0449922028285269,0.161736097091087,0,0,0.0952018599309978,0,0,0,0.0214076337501205,0,0.27086574839442,0,0.50264328226352,0.868197487749739
GSM694093,0.0209088884747916,0.0447262993239889,0,0.0864698601720112,0.119465110758267,0.107832958940522,0.0226357835265365,0,0.00944474599037643,0,0.188236792293648,0,0.0987433806356211,0,0,0.0630865605329714,0,0,0.00812796085224238,0.000464373302547484,0,0.229857285196477,0,0.488083843119236,0.875842878953657
GSM694094,0,0.0429376287671166,0,0.0682801242313462,0.0747564602661117,0.187623600785252,0.0281651445215677,0,0,0,0.191608239408346,0,0.0966535434122741,0,0,0.0834880284090923,0,0,0,0,0,0.226487230198894,0,0.489446925527783,0.875023394569933
GSM694095,0.0235837870720612,0.0110374239208828,0,0.0222634450429636,0.0406384417706854,0.259758307738547,0,0,0,0,0.15940141074546,0.00522969194588023,0.115482628777768,0,0,0.11504550668753,0,0.00453056871286688,0,0.0123576843352358,0,0.23067110325012,0,0.454345942772648,0.896061207306328
GSM694096,0.00214057355451461,0.0307440645812451,0,0.0186850906477291,0.0800015571820933,0.234074737859131,0.00886593994684881,0,0,0,0.199465974195058,0,0.119266506153759,0,0,0.0615687792865499,0,0.0106922064464191,0,0.00861845781614508,0,0.225876112330507,0,0.449673825292152,0.900600931310892
GSM694097,0.0282434799355383,0,0,0,0.0828982770242713,0.217673341287579,0.0217556080309592,0,0,0.0143991346758299,0.164577251080647,0,0.121763318141272,0,0,0.103540382194333,0,0.00399936254178224,0,0.0282743013924051,0,0.212875543695383,0,0.477495534331231,0.880301032295773
GSM694098,0,0.0470584951986219,0,0.00513596422890857,0.111951541770498,0.17038185010186,0.015287354573405,0,0,0,0.169427648561345,0,0.113453338491605,0,0,0.105706299834666,0.00375813934555098,0.00134691442096027,0.012416621476875,0.00485182344538788,0,0.239224008550317,0,0.47486027021057,0.882737844166606
GSM694099,0.00293242023945879,0.0257941706181679,0,0.0137967988583743,0.0412675741552068,0.157280876591314,0.0061828416913053,0,0,0,0.210111635693387,0,0.0658538593494489,0,0,0.0673760241889817,0,0,0,0.0530741367581181,0,0.356329661856237,0,0.465170467407688,0.902840452553364
GSM694100,0.0101153211298807,0.00264449403949948,0,0,0.0895857215516126,0.118997971615787,0.0369702225331191,0,0,0,0.2593773985164,0,0.0996951275198041,0,0,0.0315998070598135,0,0.00312312152479811,0,0.0337461644936539,0,0.314144650015632,0,0.456156169987748,0.907850269617442
GSM694101,0,0.0483469704345462,0,0.05432371166307,0.0736162820324058,0.205942573366298,0.0321729403784565,0,0,0,0.186196584768577,0,0.0826986270599654,0,0,0.035106860185985,0,0,0.00669471762328161,0,0,0.274900732487414,0,0.481947739194147,0.883177816121801
GSM694102,0.0251069284304023,0,0,0.0457571786016754,0.0856746212959601,0.228404056220824,0.0462163613367271,0,0,0,0.165536615926364,0,0.0675103169509354,0,0,0.059376061735616,0,0.00106636140261289,0,0.0292972578791983,0,0.246054240219685,0,0.46971020263564,0.887424426524423
GSM694103,0.00962655134826754,0.0192320326329419,0,0.0066090364502215,0.0574668045423611,0.197608148549196,0.0316151908465551,0,0,0,0.202232820613814,0,0.124681190116243,0,0,0.0736951040650206,0,0,0,0.0235384910385101,0,0.253694629796869,0,0.520494087936443,0.8553344173356
GSM694104,0,0.0442840168873527,0,0.0257150117325811,0.109488767748756,0.126617384157971,0.0244940670740646,0,0,0,0.206702399515136,0,0.0968000905366503,0,0,0.0626362161949759,0,0.00366467725056375,0,0.0071166400690676,0,0.292480728832881,0,0.505886122493938,0.867825741709335
GSM694105,0,0.0313478984747978,0,0.0299017513239033,0.0473794667213947,0.237038315069246,0.046670153994334,0,0,0,0.189193629709918,0,0.117844320811602,0,0,0.0645547102493572,0,0.00306835110927689,0,0.00400409333764378,0,0.228997309198526,0,0.509640472202969,0.861670586816936
GSM694106,0,0.0428161318732831,0,0.0250241685387772,0.0271284008112961,0.220563196303684,0.0286748091133603,0,0,0,0.231451875447303,0,0.101078385876845,0,0,0.0905412695696714,0,0.00264018911755317,0,0.0116954893719124,0,0.218386083976315,0,0.494021603988199,0.871955655114161
GSM694107,0.0151320906911862,0,0,0.0181452145988063,0.143975148284123,0.0951513436595118,0.00699936000447876,0,0,0.0756945904133479,0.146918505714184,0,0.163955614914843,0,0,0.0730380687429226,0,0.0028947278230085,0.00804163480633505,0.00399581503841135,0,0.246057885308841,0,0.499962125283932,0.870418650152311
