Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells gamma delta,T cells regulatory (Tregs),NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Blood neutrophil,V neutrophil,P-value,Correlation,RMSE
GTEX.17HGU.0326.SM.7DUER,0.0556236963252409,0,0.0384674939438806,0,0.1508229624117,0.122157640943153,0,0,0.00958123197530808,0,0,0.0214508549349965,0,0,0.0021182883778072,0.256062193295709,0.0447888457379115,0,0.155975702416529,0,0.0444271421452195,0,0.0985239474925447,0,0.0286399681328459,1.10416268490534
GTEX.17HGU.0426.SM.7DUES,0.0294068933336138,0,0.0374581370635082,0,0.202407492176982,0.223343397471027,0,0,0.0223025271845427,0,0.0283194055139581,0,0.0234125119762912,0,0.00336419774456509,0.225627122744402,0.0982867622156973,0,0.030019742384237,0,0.0369664988651461,0,0.0390853113260294,0,0.0590458639068681,1.0856563377109
GTEX.17HGU.0526.SM.793BX,0,0,0.0666513203093018,0,0.310788610217231,0,0,0,0.0885664451335097,0,0,0,0,0,0,0.228492379255786,0.0665637792628431,0,0.136420404973225,0,0.0382981643075971,0,0.0642188965405064,0,0.0175706689222869,1.10366202068886
GTEX.17HGU.0626.SM.7939Y,0.119200287979953,0,0.198571812992372,0,0.252646455309945,0.0347874189042426,0,0,0.0281545245437888,0,0.0295402075829653,0,0.00670071590640504,0,0,0.0777804875497847,0,0,0.0351966393856728,0,0.0673710327655569,0,0.150050417079315,0,-0.010012962227029,1.10094792120942
GTEX.17HGU.0726.SM.7DUFN,0,0,0.166432722401816,0,0.342041513225212,0.0453147382023288,0,0,0,0,0,0.137313420308876,0,0,0,0.152544886476758,0,0,0.0805931995067367,0,0.0585281857966508,0,0.0172313340816225,0,0.0188289814865893,1.09116036598969
GTEX.17HGU.0826.SM.7EWE5,0.145465018475423,0,0.107698467224788,0,0.18504021873876,0.164076162107088,0,0,0,0,0.0645309153881913,0,0.0168668796240032,0.0173957721142034,0.00119002860486356,0.119526020962135,0.0296596848246445,0,0.0912724539548115,0,0.00868279305769963,0,0.0485955849233885,0,0.0544778029985371,1.05669461853374
GTEX.17HGU.0926.SM.79OKO,0.011501941368769,0.0073497060899866,0.0778032195296112,0,0.0375533516805674,0.142388987907781,0,0,0,0,0.0675592447150495,0,0.121840569033512,0.116389972317589,0.0164750825872491,0.156357397292285,0,0,0.0914142500313768,0,0.0175555611872059,0,0.135810716259018,0,0.115069920336457,1.07412265656115
GTEX.17HGU.1026.SM.79OKL,0.0890951121452441,0,0.104573386926549,0,0.228397981994419,0.0686728140746324,0,0,0.0172761084831469,0,0.0421142758398994,0,0.00331818240041932,0,0,0.24728298705305,0,0,0.0324880983048832,0,0.0418749192906914,0,0.124906133487066,0,0.00298000114542529,1.10854631522006
GTEX.17HGU.1126.SM.793BP,0.068634624656315,0,0.0949948443328292,0,0.146892439100349,0.100431600909695,0,0,0,0,0.0351328079816221,0,0.0456463857940039,0,0.00436177540989832,0.263192856531012,0,0,0.0113362314925146,0,0.056063952388391,0,0.17331248140337,0,0.0555711306217888,1.10564618865897
GTEX.17HGU.1326.SM.79OKB,0.0419276647626578,0,0.0567731932758318,0,0.139714073095421,0.0367664969700281,0,0,0.0143602540095034,0,0.0318011611724518,0,0,0,0,0.396870534244117,0,0,0.10124317336592,0,0.0224582452063382,0,0.158085203897731,0,0.0670466719452815,1.14541820530287
GTEX.17HGU.1426.SM.7938G,0,0,0.0377076180022875,0,0.143102808884269,0.199298276254766,0.0125025548734027,0,0,0.000909424081421364,0.17455994688975,0,0.0603577184155942,0,0,0.0390324742359458,0.054159272379895,0.00982486600254692,0.213606593167961,0,0,0,0.0549384468121594,0,0.377292214860281,0.928620872162585
GTEX.17HGU.1526.SM.7EWE4,0.0683647869278653,0,0.0434788150188624,0,0.3363425210209,0.0386175190947698,0,0,0.00325990830860146,0,0.0253650032531158,0,0,0,0.00190369293087266,0.135015307334392,0.00526160661635557,0,0.318931689651721,0,0.0209645938229887,0,0.00249455601955459,0,0.0309870955279327,1.08811455765339
GTEX.17HGU.1626.SM.9OSVG,0.0174229178658305,0,0.0502299213224667,0,0.280865934846957,0.048925101517554,0,0,0.0354931792042308,0,0.00627574888173076,0,0,0,0,0.248615724843608,0,0,0.256452209262664,0,0.0251214433407042,0,0.0305978189142537,0,0.0780250569490871,1.08404060561362
GTEX.17HGU.1726.SM.79OKM,0.10603183073461,0,0.0462805643381588,0,0.052096388864018,0.0878114750720021,0,0.0307404638639982,0.0213163402018793,0,0.0285179834751967,0,0.0372213367606472,0,0.00362679915588302,0.203498234836727,0,0,0.0193790936164266,0,0.0642821339004175,0,0.299197355180035,0,0.175073744204988,1.06279311255594
GTEX.17HGU.1826.SM.7IGQM,0.160894602082045,0,0.186015784167954,0,0.101710965607414,0.0673653399611171,0,0,0,0.00808799455857436,0.0807917829114801,0,0.0336036802438661,0.230478958056077,0.00939363207569721,0.0536267702300955,0,0,0.0244315458888726,0,0.00499107629241429,0,0.0386078679243933,0,0.065688013190456,1.07341565264146
GTEX.17HGU.2026.SM.79OKS,0.285471463667028,0,0.292361745046639,0,0.0463949390715045,0.0718909151722096,0,0,0,0,0.0233353873539735,0,0.0281263156731563,0,0.000575518533785731,0.183899868974633,0.000202593381280193,0,0.0153565639835904,0,0.0279062262279943,0,0.0244784629142048,0,0.13754214501717,1.06218931675333
GTEX.17HGU.2126.SM.7IGOV,0.0785782087798487,0,0.260530304294832,0,0.127957104825882,0.0442536395649068,0.0201534363954829,0.0281971670645079,0,0,0.0460330599930827,0,0.00951972106932375,0.00942632805752477,0.00252908500725057,0.0712210283853741,0.0106956446225126,0,0.132867130511506,0,0.0622616147662621,0,0.0957765266617022,0,0.112184044057572,1.05082086962744
GTEX.17HGU.2226.SM.7IGLI,0.0434711937845232,0,0.159276610233801,0,0.292144589351657,0.0796548444939318,0,0,0,0,0.0424271142589115,0,0.0210770628041875,0,0,0.0844794790212568,0.0333724273776726,0.00542238563512668,0.0713072268585392,0,0.088984146314682,0,0.0783829198657104,0,0.0475497027958407,1.06850362444598
GTEX.17HGU.2326.SM.7DUFE,0.0477679725930795,0,0.0167732724062348,0,0.158247985262071,0.230650522670307,0,0,0,0,0.0836935751447382,0,0.031631528042674,0,0,0.0809741459696368,0.0781070295932968,0.0029252205699442,0.149952414374844,0,0.0586931839260549,0,0.0605831494471185,0,0.0945734550417563,1.04738960200679
GTEX.17HGU.2426.SM.7EWDP,0.111940629293055,0,0.161076704939603,0,0.233831009174632,0.0374743851127295,0.00393551979309316,0,0,0,0.0208863061449012,0.0192046949614977,0.00253264992136476,0,0,0.176866935788138,0.0116406387345517,0,0.131730810520295,0,0.0288625982300417,0,0.0600171173860973,0,0.0776192756879321,1.05894399639273
GTEX.17HGU.2626.SM.79OKN,0.0555307396028433,0,0.0767525714650317,0,0.288582629201439,0.0698079807872814,0,0,0.011031270421817,0,0,0.0265559928561162,0,0,0,0.163672973289473,0.0254082275622981,0,0.168882717707639,0,0.0429701212782482,0,0.0708047758278135,0,0.0504590183609948,1.06929614866836
GTEX.17HHE.0005.SM.7P8OT,0,0.0505090362481623,0,0.082107872178247,0,0,0,0.00209792750152097,0,0.0399872646976902,0.117447721547047,0,0.158985119565949,0.0199068273017302,0.00429385208359171,0.0259761061500938,0,0,0,0,0,0.498688272725968,0,0,0.611391588058194,0.796854317724474
GTEX.17HHE.0008.SM.EAZBJ,0.00536858878185488,0,0.0648182468513569,0,0.184490279083777,0,0.450264901349438,0,0.00191773717841702,0,0.0263824993334147,0,0.0116622455672051,0.0329352394764925,0.000601367988431877,0,0.0320186280484428,0.0037138250414047,0.0574530415780849,0,0.0434320876049251,0,0.0849413121167551,0,-0.0124128060838421,1.08446795863355
GTEX.17HHE.0126.SM.79398,0.0921797309984138,0,0.173488895882384,0,0.11094790442958,0,0,0,0,0.0272841590493339,0.0515612010196953,0,0.00399024242690711,0.151554456339735,0.00851047412047389,0.245780563853802,0,0,0.0705571561551374,0,0.0140611669386718,0,0.0500840487858663,0,0.0511053398396802,1.10878922312317
GTEX.17HHE.0226.SM.79399,0.0285730289234873,0,0.0979780095369903,0,0.253370649711724,0,0,0,0.0254288637052739,0,0,0.00305643614849114,0,0.151767417239725,0,0.198631977703544,0,0,0.0394261951467061,0,0.110047948563448,0,0.0917194733206106,0,0.0712246849797292,1.09253174586403
GTEX.17HHE.0326.SM.793BH,0.0629050658651749,0.264334544172874,0.0809716768038728,0.057138111813417,0.017257886280225,0.00438954641533109,0,0.0575150276589396,0,0.0111127771881967,0.0690936005030886,0,0.110971337335384,0,0.00416011297008345,0.167682774174215,0.00809648767470281,0,0.00866100624034095,0,0,0.0672178769182454,0.00849216798590806,0,0.379721651723442,0.928032406339766
GTEX.17HHE.0426.SM.79OK3,0.0572703814047179,0,0.247479803921456,0,0.319995409195068,0,0,0,0,0,0.0436313326752402,0,0,0,0,0.216617247955094,0,0,0.0607153353141266,0,0.0330483363478795,0,0.0212421531864176,0,0.0700806361997589,1.08205473024746
GTEX.17HHE.0526.SM.7DUGR,0.0254674162628669,0,0.46310522978139,0,0.109093109923293,0,0.00276194766491404,0,0,0,0.0178311722943753,0.00142054475638289,0.013415324694423,0,0.00435251358163607,0.202605894364764,0.0277955363995134,0,0.0514997324248877,0,0.0241770534388671,0,0.056474524412686,0,0.264868947094216,1.02941407031144
GTEX.17HHE.0626.SM.7DHL6,0.0403284295419722,0,0.0071696486805763,0,0.0286488924773708,0.327756032143082,0,0.00171422401212819,0,0,0.0513108174878592,0,0.108784080166029,0,0,0.101690302218012,0,0.0197504206644389,0.0738919535775835,0,0.0237791922562182,0,0.215176006774729,0,0.150593744091882,1.04812402479763
GTEX.17HHE.0726.SM.7DHL7,0.0214359577095835,0,0.0453197079034422,0,0.203565035932518,0.146041081401562,0,0,0.0473690743284007,0,0.00373704938563975,0,0,0,0,0.218470258293224,0.00556070938081518,0,0.204511376506622,0,0.0132120235362197,0,0.0907777256219726,0,0.0321728444040682,1.09205976400544
GTEX.17HHE.0826.SM.793A2,0.0252374044593136,0,0.0786919315769649,0,0.124320027329332,0.115586731904303,0,0,0.00689023200221393,0,0,0.0171459273404946,0,0,0,0.229871264233547,0.0140235536982184,0,0.214033658563152,0,0.0833570003953715,0,0.0908422684970885,0,0.0652920511022364,1.08733090081897
GTEX.17HHE.0926.SM.7938K,0.022159239767732,0,0.0852699742992392,0,0.0747841314175259,0.126638388059306,0.0171020741033012,0.013323118180535,0.00544721193637874,0.00264429914538891,0.030231625321644,0,0.0558216278300977,0,0.000490823457764314,0.111397092426325,0.0438656805536623,0.00167373374485639,0.330387241182071,0,0,0,0.0787637385741722,0,0.279059780420458,0.978821023789829
GTEX.17HHE.1026.SM.79ON6,0.0989988718713265,0,0.238020933276612,0,0.19945412309797,0,0,0.0394493323957609,0,0,0.0657127995536288,0,0,0.0116509431899346,0,0.100960612328945,0.0232958589752245,0,0.119987962766019,0,0.0243793273478905,0,0.0780892351966892,0,0.140786373009628,1.03318476430811
GTEX.17HHE.1126.SM.793BS,0.105752086186179,0,0.0808259392088889,0,0.203372378929392,0.14571591978362,0,0,0,0,0,0.0377257698955831,0.0011081075536604,0,0,0.0909866094097907,0.0108035462298291,0,0.111207219419253,0,0.0864086743940574,0,0.126093748989746,0,0.00359986366302882,1.08345058904911
GTEX.17HHE.1226.SM.793C6,0.0447167404106859,0,0.142474244374949,0,0.273590403624194,0,0.10517824916033,0,0,0,0,0.0676561412961853,0,0,0,0.113057520647171,0,0,0.144814565547096,0,0.108512134939389,0,0,0,0.0106361694938108,1.08059379324284
GTEX.17HHE.1326.SM.7EWDZ,0.0865684035512981,0,0.0935758232670254,0,0.22054693687164,0.0471994786437506,0,0,0,0,0,0.0357862444484403,0,0,0,0.0746965005848019,0.099171182932453,0,0.151878528169206,0,0.11443903872368,0,0.0761378628077054,0,0.0634027783411042,1.05959189201769
