Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GTEX.OHPM.0426.SM.3TW8V,0.00541885658659263,0,0,0,0,0.454702212490608,0,0,0,0,0.124962894032063,0.00901477391482142,0.102633459085289,0,0.00634485937106281,0.180613057994318,0.00205575773822628,0,0.10830237496266,0,0.00595175382435891,0,0,0.0230181455174123,1.08741390951728
GTEX.OHPM.0526.SM.2YUMJ,0.0358290986760321,0,0,0.020795537536083,0,0.176233669830013,0,0,0,0,0.0797107879880685,0,0.0965813289247972,0.0675380109371269,0,0.0990202167350069,0,0.059282573286503,0.0914035283671158,0,0,0.273605247719254,0,0.0693867945504844,1.08226763643681
GTEX.OHPM.0726.SM.3LK7A,0.0266095822686536,0,0,0,0,0.301365778653923,0,0.000288202919587134,0,0,0.0576442831195363,0.00205952242966791,0.061813641355971,0,0,0.109037772930276,0,0.00879275675389053,0.432388459568495,0,0,0,0,0.0995755877835572,1.07095707286766
GTEX.OHPM.1026.SM.3LK74,0.115122623860091,0,0,0.169812919586367,0,0.241010855415284,0,0,0,0,0,0.0447388240783546,0.0289142275883899,0,0,0.282742225411523,0,0.0136881359928879,0.102707137799196,0,0,0.00126305026790573,0,-0.0100647349064502,1.09172475876974
GTEX.OHPM.1426.SM.3TW8Y,0.053739600646142,0,0.150498487082852,0.019953689892654,0,0.196669417599482,0,0,0,0,0.0439335975663103,0.00623875010525534,0.020873242726182,0,0,0.424894089781526,0,0,0.0831991245995965,0,0,0,0,0.270571273061747,0.975967617726844
GTEX.OHPM.1526.SM.EV796,0.105539222212283,0,0.0916697649928196,0.149048879070908,0,0.22486259444235,0,0.0179080422438427,0,0,0,0.0452702530462038,0.022146763285691,0,0,0.160692242738417,0,0,0.182862237967485,0,0,0,0,0.282806662307932,0.970553558686722
GTEX.OHPM.1826.SM.2YUNF,0.0238245435242939,0,0,0.00147607363324637,0,0.22664328489254,0,0,0,0,0.08438191256435,0.0057270017630812,0.0643595936769864,0,0.0170360007609012,0.271874569560107,0,0,0.304677019624493,0,0,0,0,0.00879303405107009,1.08424591187037
GTEX.OHPM.2126.SM.3LK75,0.2433370272854,0,0,0,0,0.509166150417369,0,0.0713535098425874,0,0,0.0500593349849325,0.0149182036625248,0.0719207123307536,0.0053917246741876,0,0,0,3.74082239251057e-05,0.026942133351517,0,0.00687379522680282,0,0,-0.0225752627833947,1.14933362576396
GTEX.OHPM.2626.SM.33HC5,0.0521675907425146,0,0,0.147171183072025,0.0978075636502255,0.312350079398274,0,0,0,0,0.121892399719366,0,0.0839820612276191,0,0.000859671664785539,0.11821234082954,0,0.0237543283500868,0.041802781345563,0,0,0,0,0.00305194349970219,1.11563400171648
GTEX.OHPN.0005.SM.2YUML,0.0179279074704154,0,0,0.248940278158133,0,0,0.026458841612431,0,0.00140772770615961,0,0.353420652084418,0,0.176341018749583,0.0262854700752471,0,0,0,0,0.0041543938622731,0,0,0.14506371028134,0,0.6031353050651,0.797441948278695
GTEX.OHPN.0008.SM.4E3HW,0,0.0415975635854766,0,0,0.359788895362152,0.254339138564766,0,0,0,0,0.104961015119807,0,0.011784115029521,0.0658931503469355,0,0,0,0.119108822085465,0,0.0425272999058768,0,0,0,0.00961035154336268,1.12887793686849
GTEX.OHPN.0011.R10A.SM.33HBU,0.0203440137207078,0,0,0,0,0.0884089110407787,0,0.00261064111908253,0,0,0.136656171557121,0,0.19461797382567,0,0.0149711214166538,0.332740289365286,0,0,0.00392872167659214,0,0.0974454714236016,0.108276684854506,0,0.0982018602970728,1.06162205856052
GTEX.OHPN.0011.R11A.SM.2I5FM,0,0,0,0.095605915758756,0,0.233171216917403,0,0.142546614059673,0,0,0.0215633113001635,0.0626738033996455,0.0650964315949184,0.10940591843354,0.00466756826790133,0,0,0,0.20176003385547,0,0,0.0635091864125298,0,-0.0646375928400393,1.12904294571367
GTEX.OHPN.0011.R1A.SM.2I5GB,0.0553142463860062,0,0,0.068673915226184,0.0217232423535485,0.0290052194895901,0,0.00625656163383447,0,0,0.145533909695811,0,0.221405802012681,0,0.0218856031811432,0.368902019435256,0,0,0.0404800721656641,0,0,0.0208194084202819,0,0.0330186949426816,1.08028314011114
GTEX.OHPN.0011.R2A.SM.2I5FB,0.0358156830731151,0,0,0.0384848321480336,0.00546111997405766,0.0567462013786694,0,0,0,0,0.168063809602357,0,0.165768408363954,0,0.0353762865864715,0.401574717267275,0,0,0.0435857215604113,0,0,0.0491232200456546,0,0.0181906060351071,1.08994859316478
GTEX.OHPN.0011.R4A.SM.2I5FD,0.0547948547357724,0,0,0.0581000337727522,0,0.0322282257482048,0,0.00105302049357568,0,0,0.106615964990667,0,0.264183548333011,0,0.0248732845167752,0.399351693422485,0,0,0.0262837599372297,0,0.0153007023773653,0.0172149116721622,0,0.0475056152816743,1.08136142582237
