Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells gamma delta,T cells regulatory (Tregs),NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Blood neutrophil,V neutrophil,P-value,Correlation,RMSE
GSM737030,0.030849760442501,0,0.0114200006290268,0,0.0691226067021274,0.114624924351805,0,0,0,0,0,0.0933596054911586,0.0193062091771706,0,0.00834527959278164,0.191389592119197,0.0090414113050392,0.00913160688059803,0.165914454583748,0,0.0148733335606247,0,0.262621215164222,0,0.17515965885422,1.05217846014035
GSM737031,0.0209120206827304,0,0.0126335232496736,0.018416731250487,0.0410074285787298,0.0359364470231328,0,0,0,0,0.0221805506751048,0.0125061120701164,0.0613505391033705,0,0.00935458216256322,0.472161927102369,0.0213676044475572,0.000140691550096642,0.183092920872392,0,0.0093437235105421,0,0.0795951977211346,0,0.266128548677663,1.08348918603138
GSM737021,0.0167991521025349,0,0.0110278769569081,0,0.0651966416425325,0.0660196930764237,0,0,0.0186411491955489,0,0,0.0479519204193437,0,0,0,0.485034467123361,0.0283639564955466,0.00453759304771375,0.208446934646398,0,0,0,0.0479806152936892,0,0.311309910715558,1.04588667926255
GSM737032,0.0227927709623573,0,0.0513290956813582,0.0443692757204473,0.0962924077129051,0,0,0,0,0.0593621742147171,0,0.0382668432283717,0.0629279902771261,0.0049267882630102,0,0.497311198909778,0,0,0.0874329277477588,0,0.0138336054135895,0,0.0211549218685811,0,0.310003358173204,1.0465122014035
GSM737022,0.110197008720293,0.0131798868233472,0.0618803865569563,0,0.357262491916702,0,0,0,0,0.0560035443308418,0,0.0382609521309271,0.0243930887762326,0,0.00555604076010683,0.195701298577342,0.0604617983049672,0,0.0652650381850355,0,0,0,0.0118384649172488,0,0.131231637080418,1.04174690777504
GSM737023,0.0355349666739895,0,0.0500665126259666,0,0.0976018012505339,0,0,0.0102447674465237,0,0.0330703851609344,0,0.0802416090374191,0.036130969307008,0,0.000454880853141821,0.216363509334852,0.00254844255362426,0.00996747117842565,0.153392188518964,0,0.0305682580559259,0,0.243814238002692,0,0.18427197877302,1.05017637160349
GSM737024,0.0337057796949494,0,0.0970557126447112,0.00362651466017251,0.161824312330883,0,0,0,0,0.105338115814483,0,0.09628106539957,0.0320983503283589,0,0,0.309367479836188,0,0,0.102392640537165,0,0.0275787565104269,0,0.0307312722430921,0,0.0904595977734402,1.08945979699657
GSM737013,0.0407982891681397,0,0.110914635549448,0,0.19224264427506,0,0,0,0,0.106386610598305,0,0.0964475799451118,0.0391294149908004,0,0,0.228482544555655,0,0,0.0961446264778558,0,0.0172907842174306,0,0.0721628702221937,0,0.0442913594837224,1.08514072730875
GSM737014,0.0416445732812618,0,0.0855510449088063,0,0.227187902620478,0,0,0,0.00846712867853714,0.0809343951501043,0,0.0703355868346457,0.000493607330850243,0,0,0.267784793754353,0,0,0.138628699033424,0,0.0317343416569321,0,0.0472379267506082,0,0.0753804468571461,1.08019342017649
GSM737015,0.0858899029120851,0,0.0803669628558072,0,0.169262893139502,0,0,0,0,0.0562979681530882,0,0.086407001884828,0.00117615782283352,0,0,0.251818580682114,0,0,0.125067969945924,0,0.0568053059808501,0,0.0869072566229681,0,0.0831671877622465,1.07424554442307
GSM737016,0.0329665280004599,0,0.0742433118145194,0,0.217545026843579,0,0,0,0,0.0583913636649655,0,0.0676523556398314,0,0,0,0.334631487679265,0,0,0.131735511766014,0,0.00813523093238726,0,0.0746991836589787,0,0.119388359876309,1.08245696694845
GSM737025,0,0,0.0379826684488047,0,0.151269282273063,0,0,0,0,0,0,0.0556361607354544,0.0298023027193904,0.00459255188579181,0,0.379161609122111,0.0243380793483908,0.0175246478233646,0.204556599915191,0,0,0,0.0951360977284388,0,0.183379888970363,1.08617074063244
GSM737026,0,0,0.0429417702115719,0,0.109214473763247,0.0765022828083469,0,0.0243265174298892,0,0,0,0.0904082330319756,0.0370547411091036,0.0128867886067382,0,0.237839749027885,0.0314615812729371,0,0.17658757201401,0,0,0,0.160776290724295,0,0.142498697027854,1.06268654031767
GSM737027,0,0,0.112472985200746,0,0.215235489083053,0,0,0,0,0.096342675259797,0,0.0908365966285786,0.0252224919195724,0,0,0.271893333389324,0,0,0.102906971597952,0,0.0103749214643881,0,0.0747145354565896,0,0.0776848828194429,1.08358814710995
GSM737028,0.0346459886336821,0,0.047831028559348,0,0.152548575132006,0.0287988329447615,0,0,0,0.00938473000672585,0,0.116169266261254,0.0287447878517589,0,0.00292114598534459,0.280684953024181,0.0315173622047238,0,0.176828234953283,0,0,0,0.0899250944429306,0,0.11364958849761,1.07951567618923
GSM737029,0.00833415736149814,0,0.046350271076794,0,0.0373392885117399,0.0884249013968854,0,0,0,0,0,0.0679442185670348,0,0,0,0.365503718541822,0.0273275518420192,0.00251103140657866,0.249575699364633,0,0,0,0.106689161930994,0,0.184764516411029,1.07983777870876
GSM737017,0.0676785961057754,0,0.0735996836839923,0,0.171612562681562,0,0,0,0,0.0840498579678887,0,0.0767786872125576,0.025656553876059,0,0,0.264787078126159,0,0,0.127616955165401,0,0.0230759902291872,0,0.0851440349514178,0,0.120816466593583,1.06072221405326
GSM737018,0.0350344536556235,0,0.0768493416934381,0,0.140135303135835,0.0299003770029663,0,0,3.34346038407496e-05,0,0,0.0690337441969033,0,0,0.000199282068791043,0.305709701117583,0.0201933304718527,0,0.22658589936895,0,0.00327344875137014,0,0.0930516839328461,0,0.120610814816187,1.08274934109449
GSM737019,0.0819346478275022,0,0.0836532425913763,0,0.178466818797096,0,0,0,0,0.0465674698337757,0,0.100589558933255,0.0104277484214525,0,0,0.262482246240184,0,0,0.123356110990251,0,0.0183350682866249,0,0.0941870880784814,0,0.100265093509386,1.06887425445216
GSM737020,0.0321011025664051,0,0.093773126887634,0,0.197365457951453,0,0,0,0,0.0732456317158548,0,0.0661958795569895,0,0,0,0.305855285794908,0.0197699243324831,0,0.126388127354066,0,0.0167864949765085,0,0.068518968863697,0,0.120985744864089,1.0721008429213
