Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM737030,0,0.0560370893803958,0.101701074388627,0.205158045629461,0,0,0,0,0.104779887093341,0,0,0.0860634735506554,0.300418036863639,0.0143789555525525,0,0.0404597260548784,0,0.0200069315358588,0.0488664240482582,0,0,0.0221303559023326,0,0.080099743685166,1.06354753778133
GSM737031,0.00426565740550185,0,0.0892976534011609,0.125653787775157,0,0.0939435760571503,0,0,0.0601929439282268,0,0,0.0863557585412556,0.131213335227975,0,0,0.269017673088707,0,0.0190734081494843,0.120986206425381,0,0,0,0,0.12858340999666,1.0293125340085
GSM737021,0,0.0715138974623912,0.0674901324839273,0.107459317493851,0,0.00739923064990082,0,0,0.0378422453454179,0,0,0.0630720066785383,0.123313120282121,0,0,0.354737495664125,0,0.00596722730657503,0.161205326633152,0,0,0,0,0.262624897909816,0.976473213953442
GSM737032,0.0180473072022336,0.0218510049891826,0.0486456810288585,0.155678185936993,0,0.025562324599258,0,0,0.0397407015571555,0,0,0.0910524464653831,0.145738216794955,0,0,0.338082324997518,0,0.00587533842139735,0.109726468007065,0,0,0,0,0.207639827830497,1.00205175229957
GSM737022,0.182951712423493,0.0856320192931324,0,0.235157069144565,0.0664772442311643,0.0370947758487229,0.026184697461263,0,0.00191868153413471,0,0.0232099961730837,0.0140453038233995,0.112373286583114,0.00552073012064242,0,0.13202368743938,0,0.0336247894649709,0.0437860064589338,0,0,0,0,0.327184118104399,0.952703346873166
GSM737023,0.00901233766540459,0.0840368684227448,0.095921850225941,0.112846306036732,0,0.0494904495700538,0,0,0.0516656173217481,0,0,0.1090627188649,0.125171208517023,0,0,0.103708781651251,0,0.0347980798293154,0.128638301301942,0,0,0.0956474805929445,0,0.063747492810798,1.05815406610544
GSM737024,0,0.0720130023697346,0.0859590202127544,0.26251127416141,0,0,0,0,0.105652473860291,0,0.00724596099108399,0.0942635124353704,0.126047015101925,0.010641514273283,0,0.124720424743392,0,0,0.110945801850756,0,0,0,0,0.0499922332835442,1.072795697173
GSM737013,0,0.0309356003899901,0.153904129500611,0.235082388231029,0,0.0344875880074841,0,0,0.129597106950345,0,0,0.145553383846323,0.125282690234623,0.00457584180726823,0,0.0889623220100515,0,0,0.0516189490222744,0,0,0,0,0.027019200349733,1.10130462702396
GSM737014,0.00654303228968997,0.0549720340554683,0.108405298877333,0.202591208223695,0,0.0318376215566803,0,0,0.0796767601089414,0,0,0.102359061244953,0.132971427769192,0.0214128480494735,0,0.097490326998013,0,0,0.161740380826561,0,0,0,0,0.0457478991026785,1.06804431862402
GSM737015,0,0.050012663226923,0.133669076265659,0.263681141556912,0,0,0,0,0.0777716016085641,0,0,0.119993793800538,0.145060067332184,0,0,0.109527640404523,0,0.0133236549646077,0.0869603608400886,0,0,0,0,0.045348133737209,1.07927575537083
GSM737016,0.0188801374144053,0.03922256771687,0.0928255520131182,0.199469928134367,0,0.0350147731093432,0,0,0.0937250401581268,0,0,0.112275219036947,0.0973314127043812,0,0,0.146026819352394,0,0,0.165228550360047,0,0,0,0,0.033001260214206,1.07535446330401
GSM737025,0,0.084192106164839,0.060649000204103,0.153090632198695,0,0.00512570326074149,0,0,0.0377262206861142,0,0,0.0813243311028837,0.109528289108797,0.123063029575966,0,0.191056729555296,0,0.0379360647528595,0.116307893389705,0,0,0,0,0.20173271712239,0.99986894218622
GSM737026,0.0104182962879363,0.0446403019971527,0.0693663964185573,0.153966688110788,0,0.0289291566829979,0,0,0.0814885614640025,0,0,0.0879616963983361,0.165257647470826,0.0889280086934179,0,0.103326633559619,0,0.0280699479943507,0.137646664922015,0,0,0,0,0.114198623589768,1.03322714993629
GSM737027,0,0.0875009198309905,0.15744906714483,0.264839540804084,0,0.003859886665551,0,0,0.080816180746871,0,0,0.125276754273363,0.142798547123196,0.0172073259106013,0,0.0413006101380814,0,0,0.0789511673624315,0,0,0,0,0.0689277186052607,1.07849220159416
GSM737028,0.0152403942289185,0.0325741491736931,0.108218719630756,0.239978126165016,0,0,0,0,0.094900981151668,0,0,0.116729441729472,0.171908066753663,0,0,0.122115826854725,0,0,0.0983342943120888,0,0,0,0,0.0739637865692392,1.06410553592697
GSM737029,0.0241999622365135,0,0.0874642732170517,0.119869243452353,0,0.0319822076062784,0,0,0.0701481524678006,0,0,0.0810420244320757,0.0773903563282121,0.0110015211531178,0,0.335571776681049,0,0,0.161330482425549,0,0,0,0,0.136800289857132,1.02764922626987
GSM737017,0.0250827197505204,0.0743385985976697,0.0800984372983377,0.229091448213047,0,0,0,0,0.106211944618394,0,0,0.116866091174777,0.115749205460948,0.00523326617525439,0,0.0844170923739845,0,0.0188933325719509,0.133596204454865,0,0,0.0104216593102522,0,0.0931276063217138,1.05526439801551
GSM737018,0.0652941718124335,0,0.111549477116408,0.214532118468841,0,0,0,0,0.114828252230999,0,0,0.104632841958993,0.137525525775648,0,0,0.141578642603627,0,0,0.110058970033051,0,0,0,0,0.0949089080923032,1.05091554065472
GSM737019,0.00436655350192088,0.039938344309502,0.110108658756581,0.220854548929073,0,0.0183358358624667,0,0,0.096446739010158,0,0,0.131713444928589,0.152552178410103,0,0,0.120284024926813,0,0.00450852181312218,0.10089114955167,0,0,0,0,0.0670071843424714,1.06880252687367
GSM737020,0.0025007165225476,0.0814295856471073,0.0904361926512626,0.230277804786244,0,0,0,0,0.0990471856096716,0,0,0.0971908651691967,0.115623203087235,0,0,0.13253691622535,0,0,0.150957530301386,0,0,0,0,0.0551161174165018,1.06612734415088
