Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
X237L.Vneut,0,0.0310083198375171,0,0,0,0.0345353312700295,0,0.0274008058002486,0,0.010552702281565,0,0.0097314396297478,0,0,0,0,0,0.005823207552756,0,0.398177009755359,0.044765990353582,0.438005193519195,0,0.487470602991663,0.916326249017435
X237L.Bldneut,0,0.0219483927459253,0,0,0.0461999145620839,0,0.0266617745284373,0,0,0.00202765454647436,0.0299856074386011,0,0,0,0,0.0242170466374707,0.00325434059471744,0,0.012909143464191,0,0.120075420020502,0.712720705461596,0,0.723864973085844,0.732218357765899
X244L.Vneut,0.0112408139776589,0,0.00972615671660725,0,0.00236845418115991,0,0.00901144201669108,0.0168542717217476,0,0.0111910848717361,0.079094293471924,0,0.000699790073194254,0.0673223164133616,0,0,0,0.00914207459116952,0,0.0330569160544824,0,0.750292385910267,0,0.71244315611014,0.757308994370623
X244L.Bldneut,0,0,0,0.0655950096269986,0.0801935159055212,0,0,0,0,0,0.065685417166067,0,0,0,0,0.0247020622853828,0.00191179588227132,0,0.0288399900154561,0,0.0272444292572425,0.70582777986106,0,0.782837806157605,0.64417799400244
X253L.Vneut,0,0.0107920890344372,0.0081458908630036,0,0.0278499740266445,0,0,0.020974265555523,0,0.0129745666239325,0,0.0161933722926444,0,0,0,0,0.00609626641124058,0.00776813372356706,0.00762478241084921,0,0,0.881580659058158,0,0.68990899316206,0.850255343831572
X253L.Bldneut,0.00952112643442852,0,0,0.0295329339145928,0.0513218652722611,0,0.00850143396063912,0,0,0,0.0882740967973301,0,0.0524630589716478,0,0,0.030978238964681,0,0,0.033965456517037,0,0.0225636831429297,0.672878106024453,0,0.80990608539052,0.599700753573973
X270L.Vneut,0.0155178733469888,0,0.00546008556333959,0,0.0830317067578239,0.010441354540655,0,0,0.0109073759163336,0.0512592594024813,0.0579597929830641,0,0,0,0,0.03120381679741,0,0.0157716401869198,0,0.0605688589642358,0,0.657878235540748,0,0.282406862188577,1.12799580028478
X270L.Bldneut,0.00627764146431,0,0,0,0.0468717965496225,0,0,0,0,0.00535249014482144,0.024801875461205,0,0,0,0,0.0313771639081434,0,0,0.0277386758775166,0,0,0.857580356594381,0,0.803995755056909,0.671267526720838
X131_V.Neut,0,0,0.00126866001205025,0.00915479707794238,0.0374927740025372,0,0,0.0317024653187297,0,0,0.0242116836835376,0,0,0,0,0.00115411632631193,0,0.0115605784793452,0,0.29796075406326,0,0.585494171036286,0,0.292160082509886,1.10510434792222
X131_Bld.Neut,0,0,0.0112950790949154,0.190462418696191,0,0.148516832656496,0,0,0,0,0.0672109253319746,0.0113530146470702,0.0592875875987947,0,0,0.0053187028690222,0,0.00254305281109039,0.00930514401707913,0,0.0611905669468074,0.433516675330559,0,0.623434418904249,0.785061371001262
X132_V.Neut,0,0,0.0136783976662658,0,0.066583253107723,0,0,0,0.00238283899219336,0.0263844204000413,0,0,0,0,0,0.00224046340602037,0,0.0132728720349077,0,0.0354995254255971,0.0478904974743453,0.792067731492906,0,0.368615015607465,1.14438322316626
X132_Bld.Neut,0.0107634353741907,0,0.00339573948843053,0.163455132784054,0,0.0218346338225789,0,0,0,0,0.104527274112934,0.00843937427584067,0.148293196391011,0.0350238140963259,0,0.042322633211114,0,0,0.0053997795851843,0,0.071803340194747,0.384741646663589,0,0.674287927239493,0.739569788620275
X135_V.Neut,0,0.0180038254106831,0.0119318438015039,0.0698679339004539,0.0657148078968563,0,0,0,0,0,0.0262894158966111,0.0299980034151856,0.0555531442115016,0,9.67937469724501e-05,0,0.00161280163434464,0.00807490630886571,0,0,0.0989147477756536,0.613941776001368,0,0.623854262888627,0.818370614788293
