Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells gamma delta,T cells regulatory (Tregs),NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Blood neutrophil,V neutrophil,P-value,Correlation,RMSE
GSM78539,0,0.002731744206649,0.00777613261187159,0,0.0383414083324536,0,0.00724535405369182,0.00252651548381876,0,0,0.0425332684134769,0,0.122444704859909,0.00335762959547896,0.0100395276714123,0,0,0.00761667421056541,0.00863822215995743,7.77872360800522e-05,0.0662285315656035,0.480275200372049,0.200167299226983,0,0.80365340148483,0.598191076832852
GSM78545,0.00502771730925689,0.00611435777738751,0.00014625501789971,0,0.0404710478366847,0,0.0176735344674901,0,0,0.00538397031074685,0.0501674225522107,0,0.123043272761854,0.00520265662882361,0.00803050101979857,0,0,0.00916775421675745,0.00181916365033141,0.0110389905449792,0.0369649273741581,0.377454513425469,0.302293915106152,0,0.811057463239913,0.587968570959141
GSM78550,0,0.0171326152694887,0.00255336666818209,0,0.0183603120711165,0,0.00646394283220817,0,0,0.0175353257176143,0.0439156830417261,0,0.126912463544843,0.00392840667229103,0.00985795686524255,0,0,0,0,0.0304806804115899,0.10461668755108,0.455057453666513,0.163185105688105,0,0.81026168417474,0.587878097319409
GSM78554,0.00214879990691393,0.00934412908822211,0.000690570297114089,0,0.0304223996502553,0,0.011640835535722,0,0.0129877896796042,0.00832449264560767,0.0358642986847434,0,0.111812518440819,0.00502301567871032,0.00548898034877005,0,0,0,0,0.0230715930959819,0,0.644037936528547,0.0991426404189897,0,0.801455335004439,0.602623797723581
GSM78562,0,0.00812313375403619,0.00374052784452617,0,0.0204098714562058,0,0.0134610372450391,0,0.00388053141153587,0.0153831536760208,0.0350767938193454,0,0.106436029848455,0.00646100676105542,0.0095334769218784,0,0,0.00482505072393679,0.0207605775455307,0,0.0351024603482366,0.464617210835164,0.252189137809034,0,0.790247656366849,0.618004277131897
GSM78540,0,0.0223847511051195,0,0.00726156503510747,0.0227362859758137,0,0,0,0,0,0.0123666014805464,0,0.109334688147733,0,0.00961978115550753,0,0,0.0017422634113711,0,0.247382812572747,0.00418359438878377,0.146059513286596,0.416928143440674,0,0.79269469562015,0.613697734000867
GSM78546,0,0.0273020591936313,0,0,0.0426065608492576,0,0,0.00158770106271051,0,0,0.0317025863934697,0,0.0696676886941052,0,0.00903460314213605,0,0,0,0,0.316056708457476,0.0179983302386803,0.0427605378290783,0.441283224139455,0,0.782597214634816,0.625931760679071
GSM78551,0,0.0200543113153445,0,0,0.000392437334625224,0,0,0.00876032212899218,0,0,0.0120817685759176,0,0.108425440259569,0,0.0097580842955063,0,0,0,0,0.263954714739479,0.0510716414380568,0.146155744265609,0.379345535646899,0,0.796627204867509,0.60836128439072
GSM78555,0,0.0498749432389833,0,0,0.000316548896169715,0,0,0,0,0.00962399439438169,0,0.0192076302326527,0.0799318167112589,0,0.0102705531090019,0,0,0,0,0.237422346581848,0,0.162247995474019,0.431104171361685,0,0.766910518139018,0.647266807911717
GSM78563,0,0.0129443597733677,0,0,0.0168656365788576,0,0,0.00644968194126653,0.00100190913819724,0,0.020245147167458,0,0.0856767784884602,0,0.00938858938590127,0,0,0,0,0.251089458844,0.0215325016162449,0.0660903334297542,0.508715603636492,0,0.810676142899159,0.591775365164867
GSM43005,0.00557750600128559,0.0195812131895074,0,0,0.0309888847725183,0,0,0.00476236237704804,0,0,0.0252315004437989,0,0.233746144196719,0.00457405200907117,0.000809212726353898,0,0,0,0,0.0125151159246137,0,0.539818547534553,0.122395460824531,0,0.814030649673741,0.585453913840708
GSM43008,0.0270388136183833,0,0.00361840471960109,0,0,0,0.0030471082798896,0.0261949714780126,0.0165169891443845,0,0.0403535199213279,0,0.187401662900863,0.0158002446168672,0.000824101219358607,0,0,0,0.00324007104313022,0.0108886420515488,0.0189315851287882,0.646143885877845,0,0,0.804385457931868,0.596422148794918
GSM43011,0.0143823698335681,0.0135566889547361,0,0,0.0522041009180314,0,0.00188692202154043,0.00136444803763648,0,0.000934103033197836,0.0331149486609554,0,0.155702301305901,0.00504397289390835,0.000297578113851171,0,0,0,0.00342272640505521,0.0108184609857688,0,0.460479440416112,0.246791938419738,0,0.804178860743643,0.598881428806269
GSM78523,0.0171474818588994,0,0,0,0.0409250523177617,0,0.00867983164281835,0,0.012172722774928,0,0.0432878808684743,0,0.213477659849464,0.00418610790465619,0.000205033730990346,0,0,0,0.00559299176637505,0.00778278107029369,0.00264606651192987,0.616219663586538,0.0276767261168716,0,0.83634407461068,0.549408976598003
GSM78526,0.0240513545647203,0,0,0,0.0465718033440222,0,0.00648632718908144,0.000203506615689848,0.0168407173855373,0.00766628263139254,0.0326665466486744,0,0.123070081693366,0.0056469750231871,0.00890562075180851,0,0,0.000830725400370318,0.00647201524597947,0.0063187313450128,0,0.641051319665805,0.0732179924953526,0,0.795827872678251,0.608373401966719
GSM78529,0.0287372023006683,0,0,0,0.031839801868374,0,0.00364535685020625,0.00680198067360379,0,0,0.0539261579956744,0,0.200206081891721,0.00629832771855027,0.00791483711521749,0,0,0.000888036427000087,0.0135202689852559,0,0.0324497988177102,0.383689246897347,0.230082902458671,0,0.824605123074341,0.567603175550949
GSM78532,0.0283979913856023,2.72609245130253e-05,0,0,0.0291861372445682,0,0.00410802181300102,0.00898419825284519,0.00413211304162691,0,0.0366386930710199,0,0.183537906493726,0.0171924047828301,0,0,0,0,0,0.0164214285648295,0.00683570404838795,0.66453814037705,0,0,0.800751496401535,0.602022210890358
GSM78534,0,0.016505201919566,0,0,0.0469732736244884,0,0.0135048496907283,0,0.0126106304160584,0.0058789940051996,0.0452475438938339,0,0.130400383032091,0.00496177339539049,0.0020712318406035,0,0,0.000691603723244132,0,0.0271325841468282,0,0.667499932101712,0.0265219982102566,0,0.775694493983961,0.634761122333295
GSM78537,0.0268406026096602,0.000845289062283451,0,0,0.0325597784996457,0,0.00181248749808495,0,0.0118364799779248,0.00499539958594458,0.0382668289536047,0,0.134045396629915,0.00751461634021265,0.00613070002430125,0,0,0,0,0.0272270953271648,0,0.693470631815793,0.0144546936754651,0,0.816488124184364,0.57957576557921
GSM78543,0.00416735219016255,0.00955058652991056,0,0,0.0440151828407767,0,0.00292884986710866,0,0.00130787346855617,0.00795626677779301,0.030446105126184,0,0.17311330921786,0.00962936490590422,0.00515508948391996,0,0,0.000576315615997148,0.00910453444882794,0.00421083258620616,0.00880244114332717,0.687463935457222,0.00157196034024352,0,0.805422641925848,0.596473556347685
GSM78548,0.0254288309270483,0,0,0,0.0490425349642152,0,0.0101702093693233,0,0,0,0.0507908666527109,0,0.149541969030733,0.0181970222494123,0.00899536760818984,0,0,0,0,0.0108773456997982,0.00963101950354699,0.58839538700873,0.0789294469862917,0,0.823714976388929,0.568170015231297
GSM78557,0,0.0352549722707624,0,0,0.0189944346414477,0,0.00624162229970501,0.00964901600213519,0.000421450150002436,0,0.0376822129930199,0,0.14506802479822,0.0144633474914045,0.000695931763309149,0,0,0,0,0.0097187691786528,0.00951903785264365,0.711440944013037,0.000850236545660011,0,0.815460007203098,0.581960892982326
GSM78560,0,0.0241832347777253,0,0,0.0428496579482936,0,0.00786281575881166,0.000919009145127772,0,0,0.0444319217104534,0,0.162755923258448,0.00787366989279997,0.00123372692587636,0,0,0.000774200118398823,0.00990288837889969,0.00192533781642514,0.054931707790323,0.606029935439186,0.0343259710392307,0,0.821813752568195,0.570727456757971
GSM78565,0.0338003787080422,0,0,0,0.0120481732439618,0,0.00277299363657809,0.0159350940543513,0.00758915133580698,0.0191153569227106,0.0143553780487367,0,0.131110641558038,0.00235445376772102,0.01108774055416,0,0,0.00141695686366364,0.0139120113408324,0.00127776391157962,0.00797946783482277,0.713166602234794,0.0120778359842012,0,0.78859325920696,0.620131008886989
GSM43000,0,0.0375962559256005,0,0,0.0328117210779163,0,0.000633176089773585,0,0.0178113578529496,0.0174426539304751,0.0283216056676954,0,0.155495390656156,0.0160580916283053,0.00272146264562864,0,0,0.00156774981189526,0,0.0157409376975393,0,0.673799597016065,0,0,0.8130461630513,0.583382173757502
GSM43002,0.0216819247928875,0.00567743169629129,0,0,0.0100746762224791,0,0.00857663361000935,0.0108349114681249,0.014172828700341,0,0.035615234298501,0,0.10417540668236,0.00635811876851595,0.00221648313428865,0,0,0,0,0.0156333776877299,0,0.714363074505754,0.050619898432718,0,0.793215834660206,0.61633869514004
GSM43004,0.0301351370347339,0,0.00289804459960781,0,0.0242785820646371,0,0.0123801612640465,0,0.0156303376114975,0,0.0494472814052039,0,0.146229545853629,0.0051825800483388,0,0,0,0,0,0.0240971279095027,0.000297064498223603,0.68404775433176,0.00537638337881983,0,0.788409090949663,0.618726593550252
GSM43007,0.0290863872506942,0,0.00338982984189337,0,0.0213361602199669,0,0.00829630275291959,0.00730450403576422,0.0135097508275499,0.00969532988225367,0.0416436788215853,0,0.170312312823678,0.0112670898765116,0.00112431345775144,0,0,0,0.00260464067347128,0.0136178784623387,0,0.526002661704779,0.140809159368843,0,0.817401414931285,0.577709170666358
GSM43010,0.00231592356033768,0.0240526579807706,0,0,0.0498896801071493,0,0.0036622229037878,0,0.0093547730357101,0.0160135191862481,0.0383004424653417,0,0.119900935645564,0.00902062825575327,0.00565472745153735,0,0,0,0.000490458202296861,0.012928652213248,0,0.70581607487882,0.00259930411343526,0,0.777325155574536,0.63294969420795
GSM78522,0.0265380658638015,0,0,0,0.0449959047060031,0,0.017035489451325,0,0.0345089775598836,0.0130324537262831,0.0289575336359921,0,0.173268796163396,0.0104798574528115,0,0,0,0,0.000733256940789069,0.0153252241961694,0,0.607436539537347,0.0276879007661981,0,0.808054266992384,0.589771878676631
GSM78525,0.0226201537334212,0,0,0,0.0229493864328965,0,0.000201594469707768,0.00676138600834875,0.00972704168373826,0.0085698975115345,0.0357325302923675,0,0.218134316796999,0.00379154717396905,0.00818306919359789,0,0,0.0011722235524682,0.00790029057796657,0.00367296046885806,0,0.586575165879112,0.0640084362250147,0,0.770115705520498,0.644793096550701
GSM78528,0.0278031291327127,0,0.000687131032666656,0,0.0221339149513392,0,0.000104494979782181,0.00941953945116537,0.00297452303573592,0.0104758175444661,0.0426256531178982,0,0.226350665515849,0.00194016773903033,0.00921881764430501,0,0,0.00132367768609879,0.0208275820863714,0,0,0.464699064890543,0.159415821192036,0,0.824215520817245,0.567973155129071
GSM78531,0.0254642811519966,0,0,0,0.0393852169770521,0,0.00593327863397881,0,0.0352125685692337,0,0.0218535569067776,0,0.277786039690961,0.000878325230984452,0,0,0,0,0.0121037800905342,0.001736527249302,0,0.476191893716805,0.103454531782375,0,0.829600162527656,0.559595932337954
GSM78533,0.0236173555748909,0.0108923160595824,0,0,0.0301088674661969,0,3.52873859523878e-05,0.00779164792086452,0.00456962580604282,0.0141516176656257,0.0261754484006397,0,0.149965308360792,0.0242393983817349,0.0089817541992101,0,0,0.000195451631172578,0,0.00204584727342556,0,0.683030885226094,0.0141991886477756,0,0.796792814356169,0.607420032797209
GSM78536,0.0320352913974592,0,0.00305507997212746,0,0.0246804947274024,0,0.000406819683291429,0,0.0226997376389735,0.00184149984848239,0.026933091945813,0,0.247711420086475,0.00155357041505237,4.44495636391206e-05,0,0,0,0.0182552596244089,0,0,0.485684120675816,0.135099164421059,0,0.83589407424958,0.550563382672302
GSM78541,0.0294882521423826,0,0.0031759268406342,0,0.0395821254571988,0,0.00809999050990627,0,0.0281001510453854,0,0.0316863715021931,0,0.19797308040892,0.00357525359952045,0,0,0,0.00203193594445937,0.00403703481588301,0.0120832234402188,0,0.578749955783514,0.0614166985097848,0,0.812214349764602,0.584649673686912
GSM78547,0.0271344401817096,0,0.0029385878696434,0,0.0307572454417869,0,0.0112409725866092,7.61433620388383e-05,0.00618578733168131,0,0.0489312413336691,0,0.183564921388387,0.0125922078108403,0.00750918042844143,0,0,0,0.00465896129399298,0.00996461448829629,0,0.552425296080859,0.102020400402045,0,0.812471708121616,0.584658880360436
GSM78552,0.0226926139633688,0,0,0,0.0292115391483757,0,0.00547888065012245,0,0.00820446790420372,0,0.0322302233230213,0,0.163658948405203,0.00264712002833819,0.0074241570206815,0,0,0,0,0.0238756263354631,0.0212723966901189,0.683304026531104,0,0,0.804513141149837,0.597481848121559
GSM78556,0.0304991244453405,0,0.00163204072259854,0,0.0333153384043701,0,0.00662789573242004,0.00423074330032775,0.00992410536889594,0.00653048736455779,0.0418888483090604,0,0.167193880204668,0.00471833644378618,0.00106552738536406,0,0,0,0.0049755068502125,0.0106848938460751,0,0.611293016410611,0.0654202552117115,0,0.818109554451843,0.576559234550196
GSM78559,0.0291101373526115,0,0,0,0.0267795099589737,0,0,0.012799000289088,0.000558845542964636,0,0.0328315202722399,0,0.18176000606305,0.011103253727634,0.00496804994465309,0,0,0,0.0082870114640889,0.00614585316692959,0.00283404858352762,0.680512602263756,0.00231016137048348,0,0.811134270271154,0.588103723129333
GSM78564,0.0269852752268784,0,0.00164447139077444,0,0.027907389974693,0,0,0.0141651137267235,0.00498927318404311,0.0165315668265875,0.0245439943549413,0,0.166501493834169,0.00644819849279714,0.00942807684059149,0,0,0.00126038789970099,0.013657767870642,0,0,0.618967817215104,0.0669691731623541,0,0.808804609659867,0.590275880355292
GSM42999,0,0.00645909460711383,0,0,3.18765462417546e-05,0.0188181871930573,0,0.0100301679431031,0.0223061675172821,0.0159057356647989,0,0.0708180868097744,0.119507861142284,0,0.0184224137046638,0,0,0.0182633837334176,0,0.15327306694348,0.0117952481961139,0.402715512573648,0.131653197425021,0,0.628758572851117,0.785008382927155
GSM43001,0,0.0129426482355612,0,0,0,0.0414420751124471,0,0.00665105002159218,0.00357591322312894,0.000490151410653744,0,0.0273751075699606,0.342714101800355,0.148438742602028,0.00742402406227008,0,0,0,0,0.125098514260748,0.0407086245935859,0.147970028441521,0.0951690186661474,0,0.683483454381352,0.732570541365948
GSM43003,0,0.00408071625538629,0.00151151084030775,0,0,0.0543442915258894,0,0.0290964176552249,0.0399629769191999,0.00675445376995151,0,0.0363303608419562,0.159017339820461,0,0.0199361203026175,0,0,0.0191019986038589,0,0.164852697968405,0,0.405340213652237,0.0596709018445047,0,0.679507143310445,0.73444298024724
GSM43006,0,0.00360943017157128,0,0,0,0.0135912492817356,0,0.0122428412484744,0,0.0234251409121908,0.00508658940828671,0.00635449629968695,0.257315611541181,0.0275310569285326,0.0141111129149293,0,0,0,0,0.101677616791486,0.0101175547728261,0.4595193129275,0.0654179868015993,0,0.776497584168138,0.631957761589287
GSM43009,0,0.00307734464858354,0.00155282797878712,0,0.0232531852649333,0.00496220598651317,0,0.00733109856514886,0.00103959916609302,0.0136955610889604,0,0.0426173848816438,0.130753575696115,0,0.0130628969398608,0,0,0.0116577263707734,0,0.130252265547389,0.0019996258782472,0.496358118572069,0.118386583414883,0,0.696838914628456,0.723673193002061
GSM43012,0,0,0.00206760254152469,0,0.0312109259513377,0.0119612109378078,0.0306379739777736,0.0113704381192009,0.0174336657686193,0.00339297918108312,0.035110870234512,0.0170458844532311,0.13647046737036,0,0.0199646504474463,0,0,0.0231557834786656,0,0.0627842612344787,0.00884785540714551,0.479790023873054,0.108755407023759,0,0.695938251046016,0.721205459547282
GSM78524,0,0,0.000510704192471718,0.000841130336836367,0,0.0124796540505857,0.00913452942803636,0.0291600717735619,0.0181974629709835,0,0.0109711235232444,0.00188972226412585,0.130737975918199,0,0.0166639225655432,0,0,0.026394849277933,0,0.134270172219191,0.00519466411217705,0.5551509255587,0.0484030918084106,0,0.690358635547371,0.729846481503969
