Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM78539,0,0.00437784479161303,0.00377927775059271,0,0.0249047585867379,0,0.0101101984006474,0,0,0,0.0333068638392719,0,0,0.00468338425504329,0,0.00550789772106349,0,0.00586155047788042,0.00387634658049457,0,0.00351973116731053,0.900072146429345,0,0.888447938613586,0.507659532799895
GSM78545,0,0.00200650194568557,0,0.00127043527664517,0.0105682059100342,0,0.00181384066659507,0.00501214734036795,0,0,0.0372460621215551,0,0,0,0,0,0,0.00899710050470555,0,0.00136811960019459,0.00597556201169421,0.925742024622523,0,0.899838317735649,0.495745272122384
GSM78550,0,0.00719788688783528,0.00872826357169306,0,0,0,0,0.0234118018137156,0,0,0.0357698089057139,0,0,0.0409378203324664,0,0,0,0.00538614917066015,0,0.00757321731720865,0.145323991914595,0.725671060086112,0,0.893903551820368,0.454820453159542
GSM78554,0,0.00565776713429738,0.00540607635236418,0,0,0,0.00293781749413251,0.0175734323482462,0,0.0027183620898896,0.0352529200705047,0,0,0.0558442877490786,0,0,0,0.00688511403244487,0,0,0,0.867724222729042,0,0.898341870052371,0.474911657673586
GSM78562,0.000285165843538818,0,0.0108246462243446,0.000610350295072045,0,0,0.0159953963003306,0,0.000567207811409914,0.00747713362169925,0.0451371633972004,0,0,0.0150325804255834,0.00220650136543922,0,0.000123395140199968,0.0033429366743168,0.0126827137934776,0,0.101502206461873,0.784212602645514,0,0.876482692580462,0.497839152447425
GSM78540,0,0.00683062050566516,0.00652998181082479,0.0155240491666244,0.0132778983307083,0,0,0.0176226064859609,0.00251273434429468,0,0,0.0327638488348536,0,0.00365369082356275,0.00468810288342781,0,0,0.00589821656245783,0,0.298504509547115,0.0285026040249985,0.563691136679507,0,0.754214116834317,0.66088620258171
GSM78546,0,0.0134806613195946,0.00670965752232459,0.00837285467974856,0.00671848501347981,0,0,0.0317966511036081,0,0,0,0.0123289485326485,0,0,0.00340415712437117,0,0,0.00432248794202211,0,0.421022031635924,0.0079359639062943,0.483908101219984,0,0.664638614137444,0.759928526181637
GSM78551,0,0.00414899926013049,0.00461795895888918,0.0105087357897031,0,0.00499452928810714,0,0.0275474893988467,0,0,0,0.0287428347014161,0,0,0.000587121870758898,0,0,0.005109374039502,0,0.318480298283743,0.144460965058616,0.450801693350287,0,0.73688557451651,0.677231207925678
GSM78555,0,0.00841094573657574,0.0062108971580004,0,0,0,0,0.0384250998603324,0,0.0149858211106217,0,0.0176963293559926,0,0,0,0,0,0.0100887190967576,0,0.31983913001105,0,0.584343057670669,0,0.710360758247734,0.71543042072247
GSM78563,0,0,0.00281095514864679,0,0.0146392995551849,0,0,0.00501380121255235,0,0.00108011861505329,0.00125782296877684,0,0,0.00429970095986263,0,0,0,0.00227071799852103,0,0.290607696461,0.0955509711508371,0.582468915929565,0,0.707703719519991,0.719260033891395
