Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells gamma delta,T cells regulatory (Tregs),NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Blood neutrophil,V neutrophil,P-value,Correlation,RMSE
GSM1571528,0,0.0573684015496794,0.00329801394509008,0,0,0.0259035569339408,0,0.0270191333215496,0,0.091703762912524,0.149896394361181,0,0.0813507776972818,0.0597507419750621,0.0926058449992837,0,0,0,0.0571706900961318,0.00442209041627056,0.00116828577498582,0.33113097338199,0.0172113326350296,0,0.69728693387761,0.732451666760161
GSM1571529,0,0.0881683934524834,0,0.107428927477907,0,0,0.0759330386089272,0.0122562341092252,0,0,0.0863491646047019,0,0.0473717093750791,0.0187572684149716,0.153621820295593,0,0.00838569865175501,0,0.0507382354861491,0,0.0109522545703812,0.313408142798273,0.0266291121545532,0,0.701187657638637,0.725792230921021
GSM1571530,0,0.00810542212198307,0,0,0,0.118257712578225,0,0,0,0.0405739703577049,0.0953992954254014,0,0.112747345181235,0.0670818059598425,0.152303902222277,0,0.00739680091775854,0,0.190358026736683,0,0.0108484533474894,0.190957196730774,0.00597006842062654,0,0.65329962542288,0.761266269063784
GSM1571531,0,0.0374429517671696,0,0,0,0.0854770402748595,0,0.00313643255713038,0,0.0148655711803863,0.106235633819253,0,0.141418172825998,0.118747489877122,0.127932550592855,0,0,0,0.0904755759034639,0,0,0.234522743453923,0.0397458377478383,0,0.69336852176513,0.736452889080285
GSM1571532,0,0.0596574234501065,0,0.143114771135998,0,0,0,0,0,0.0567693460602178,0.158421390484195,0,0.0828601782544969,0.00579319830486227,0.0660176502668581,0,0.0515000848281496,0,0.0556312502949601,0.0186115218690184,0.0102369954633913,0.217110401338737,0.0742757882490091,0,0.658556204208139,0.761999020273347
GSM1571533,0,0.0101145541262054,0.00447388442752293,0.313579428208014,0,0,0,0,0,0,0.0606255939847996,0.0271363518158666,0.056992447224798,0.00232486702642323,0.0624359949789637,0,0.0595080022663667,0,0.123260216785903,0,0.0447107131668466,0.185738858477184,0.0490990875111055,0,0.625013986812372,0.786426199939137
GSM1571534,0,0.0700512583880202,0,0,0,0.140426096969368,0.0173214490880351,0.00133042517993503,0,0,0.178500561843763,0,0.0533284350014557,0.0287694512445667,0.0609739783117924,0,0,0,0.143099739958987,0.00501739642737482,0,0.25621564366163,0.0449655639250713,0,0.667859539606788,0.751607312196161
GSM1571535,0,0,0,0.0197295956991007,0,0.0361136843615995,0,0,0,0.0880415368565387,0.122682342667259,0,0.0919436714406262,0.0506875112037444,0.123635363179904,0,0.0408569745098045,0,0.111273138716715,0,0,0.282196061707038,0.0328401196576697,0,0.681614871490932,0.745654983435197
GSM1571536,0,0.00408717677462555,0.0111992359793163,0,0.00783143624965334,0,0.0104961627653266,0,0,0.10366886663267,0.0959301822382911,0,0.0810287538602663,0.033087634182129,0.115595614517593,0,0.0398360631576181,0,0.0647144218267448,4.47964111034541e-05,0.00498494787376517,0.425674958928607,0.001819748602291,0,0.727540199437244,0.717827602732844
GSM1571537,0,0.00451850517513291,0,0.049903557840546,0,0,0,0,0,0.133376617094217,0.0643026169525174,0,0.0779439871047805,0.065642827110678,0.127323570364495,0,0,0,0.0917848097492214,0,0.00119680424897588,0.362261827257072,0.0217448771023636,0,0.713925739712944,0.72204066422621
