Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM1571528,0,0,0,0,0.0396840598971579,0.138931233584731,0.0494178608397536,0,0.0502545050634064,0.149613612030985,0.0693194168857307,0,0,0,0.0665703048453307,0.0156931365494813,0.181477861044764,0,0,0.0385923533368993,0,0.20044565592176,0,0.603539967589272,0.803288750675487
GSM1571529,0.0116258117809002,0,0,0,0,0.0443360128398794,0,0,0.0760791365040057,0.135213322463196,0.107531415510965,0,0,0,0.0834437152025232,0.0177378710254434,0.275621549790298,0,0,0.00375429435519329,0,0.244656870527597,0,0.678909551354167,0.749995338471992
GSM1571530,0.00136409395912309,0,0,0.0539267371008296,0,0,0.00303865530663352,0.0513727876869745,0.0585909197978691,0.244192282620925,0,0,0,0,0.0837410378120993,0.180810823675181,0.14923635128326,0,0,0,0,0.173726310757105,0,0.631607554827047,0.783103896732739
GSM1571531,0.0327702743767953,0,0,0,0.0310997742837526,0.0463024764453489,0,0,0.0726844159918821,0.327426075622299,0.00415799282510824,0,0,0,0.0355378947997708,0.20660274450501,0,0,0.0250112468641949,0,0,0.218407104285838,0,0.686225852886405,0.743921333472677
GSM1571532,0,0,0.0338285521340473,0,0.0863468146220551,0.0612824449262435,0,0,0.103676206362104,0.0266757650666769,0.157148121222907,0,0,0,0.00674965463132046,0.0237888743718341,0.181884282541831,0,0,0.041571330572968,0,0.277047953548013,0,0.671308342572253,0.759484343584561
GSM1571533,0.0118162740456114,0,0.0068468452962928,0,0,0.085487747916968,0,0.0530602224733444,0.0749428547143182,0.209233255620983,0.0659705931922175,0,0,0,0,0.0838360687656197,0.174230492193013,0,0,0.0028606468029692,0,0.231714998978663,0,0.688221496039024,0.740171355027078
GSM1571534,0,0,0,0,0,0,0,0.0340323410525813,0.105576719941166,0.154607010958542,0.235456723813877,0,0,0,0.00378361404386144,0.0402038863071482,0.153440324759334,0,0,0,0,0.27289937912349,0,0.680823395800658,0.752262613458448
GSM1571535,0.00610542322532968,0,0.0234768566281102,0.132461881488507,0,0,0,0,0.0555505765319162,0.264163492472595,0,0,0,0,0,0.098941692370897,0.0971490438277913,0,0.00459671042295047,0,0,0.317554323031904,0,0.699001811858706,0.751073979449882
GSM1571536,0.0474961839808164,0,0,0,0,0,0,0.00141913078127821,0.0711936261651052,0.25653046291591,0,0,0,0,0.0229727132001529,0.0835735809005946,0.260197937131697,0,0,0,0,0.256616364924446,0,0.708402587757339,0.726129864774095
GSM1571537,0.0134614808323212,0,0,0.113148555467465,0,0,0,0.0109000971294711,0.0512386496353901,0.220443938640327,0,0,0,0,0,0.0970152792849635,0.188761964416065,0,0,0,0,0.305030034593996,0,0.712983758549097,0.732908891250839
GSM1571538,0,0,0.028872754169052,0,0.187569421561429,0,0.0529097932821121,0,0.0878123020918857,0,0.145682458832954,0,0,0,0.0157050916397702,0.09190925105619,0.0653033539416201,0,0,0.0127731079861965,0,0.311462465438791,0,0.670810044146201,0.768453051988753
GSM1571539,0,0,0.0349458907608969,0,0.0823711062092817,0.0276409456438514,0.02388163389478,0,0.0796217815952217,0.153260358346997,0.0294502473467014,0,0,0,0.0567635098356784,0.0812809691991103,0.171279694686246,0,0,0.0270661324375836,0,0.232437730043652,0,0.655206571491541,0.768158264685228
GSM1571540,0,0,0.0193818485233501,0,0.0772781642974193,0.039669667918729,0,0,0.0662734449515982,0.249804619857071,0.00749573125994457,0,0,0,0.0686630278584864,0.0498867111166108,0.161815051196146,0,0,0,0,0.259731733020645,0,0.670227202755655,0.759580583186409
GSM1571541,0,0,0.0218932805084545,0,0.0946627919462429,0.136458536180711,0.039679652355256,0,0.0189480486391908,0.135878972143782,0.0515611109234561,0,0,0,0,0.0856072283230181,0.136328016031974,0.0166941097447786,0,0.0244177967449691,0,0.237870456458167,0,0.655342521710417,0.767131902322234
GSM1571542,0,0,0,0,0.114781441642706,0.0353666950685403,0.0207880925950111,0,0.093191037976984,0.129221654992191,0.0897268766282951,0,0.055143075912404,0,0.0957477111659491,0.105032290478817,0.0642947648094466,0,0,0.0263790382925376,0,0.170327320437119,0,0.634508376676325,0.78302791495341
GSM1571543,0.020640053662221,0,0,0.0427819318782135,0,0.113739158355118,0.0577348849602417,0,0,0.0349346630075874,0.0109068476428463,0,0,0,0.0256063458809453,0,0.353458780777441,0,0,0.000596538778672647,0,0.339600795056713,0,0.709370224839889,0.742705686476427
GSM1571544,0.00916675085511878,0,0.0504902904277497,0,0.0276316874206899,0.0892869622091732,0.115763223701136,0,0,0.0926284967762954,0,0,0,0,0.0267340439700773,0,0.218820425625563,0,0,0,0,0.369478119014197,0,0.709449845242555,0.75177429271096
GSM1571545,0.00550592160669741,0,0,0.00305975087281806,0.0623177871452828,0.0928797478493696,0.174920640146736,0,0,0.0997955020235351,0,0,0,0,0.00880473052127369,0,0.209613627379284,0,0,0,0,0.343102292455003,0,0.716749210604276,0.730164619305578
GSM1571546,0.0270917783651847,0,0.015344633316596,0,0.0574292362260041,0.171012678766443,0.0612509745727042,0,0.0070453916980348,0.0587264336383026,0,0,0,0,0.0224144581798035,0,0.272690483831792,0,0,0.00238251158227568,0.00203375313419434,0.302577666688665,0,0.666505712179193,0.767518928546944
GSM1571547,0,0,0,0,0,0.122672175023355,0.0176291416548407,0,0.0102459753339567,0.0452514274751528,0.0320927738916293,0,0,0,0.0737594856670259,0,0.363119092035558,0,0,0.0202457376856471,0,0.314984191232834,0,0.722715433138292,0.723746266902579
GSM1571548,0,0,0.0288945987446181,0,0.01695586302196,0.0983816819042161,0,0,0.0805196567627256,0.160564475741864,0.00646501000121884,0,0,0,0.120995727562758,0,0.219457724301877,0,0,0.032063424274427,0,0.235701837684336,0,0.685175728546714,0.744367956246334
GSM1571549,0,0,0,0.0375596223869147,0,0.146565213224067,0,0,0,0,0.0785834703398129,0,0,0,0.100251699409915,0,0.269152576888624,0,0,0.00532135613565756,0,0.362566061615009,0,0.706913951771721,0.761113081318836
GSM1571550,0,0,0,0,0,0.161708625538954,0,0,0.0172873469292032,0,0.0603403094603526,0,0,0,0.104997104290048,0,0.270156453559397,0,0,0.0108193450033051,0,0.37469081521874,0,0.705361405709868,0.77117919377493
