Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells gamma delta,T cells regulatory (Tregs),NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Blood neutrophil,V neutrophil,P-value,Correlation,RMSE
GSM3263492,0.0283266937083289,0,0.00163272687445332,0,0,0.02069033653084,0.000893866236019576,0.0198545370109519,0,0,0.0323928996019336,0,0.0825192110397535,0.0118791880214615,0,0,0,0.000151837802648285,0.0057904776629762,0.00969193823080615,0,0.0877588741447458,0.698417413135081,0,0.639829639013724,0.873754315329592
GSM3263493,0.0277212694240095,0,0.00123613579898668,0,0,0.0250753627854534,0.000479442192607319,0.0157653798744379,0,0,0.0314120822968152,0,0.0804510449206625,0.0125524318692717,0,0,0,0.000363899743109256,0.00631335471813253,0.00861916554948438,0,0.0884665133971089,0.701543917429921,0,0.636583587371993,0.879080655468208
GSM3263494,0,0.0178364131273868,0,0,0,0.0251965896798828,0.00795303302738381,0,0.0104527426885058,0,0.0170577744876486,0,0.0543144396535446,0,0.00460845559209342,0,0,0.000101450093975494,0,0.0493738027807854,0,0.00238314133594994,0.810722157532843,0,0.781898222908277,0.711570227390409
GSM3263495,0,0.0113429178735316,0,0,0,0.027925922371941,0.0042630750125931,0,0.0114811844308335,0,0.0104938279466123,0,0.06219544692774,0,0.0037151384179329,0,0,2.386737232499e-05,0,0.0485655218793368,0,0.0118012459959638,0.80819185177119,0,0.782430658380481,0.714483273009481
GSM3263496,0.0244576580894296,0,0,0,0.0118883786776813,0,0.000187886735008614,0.0210988207444936,0,0.000512156512281714,0.0310683375195493,0,0.0568405382271857,0.012376176559987,0.000187430642521259,0,0,0,0.0244851529388565,0,0,0.233799794938615,0.58309766841439,0,0.623377924978178,0.876936165973918
GSM3263497,0.0242638812053104,0,0,0,0.00945465708614432,0,0,0.0226732130661901,0,0,0.0305974548218152,0,0.0559058194133726,0.0122422121071723,0,0,0,0,0.0216048211976146,0,0,0.235105045615162,0.588152895487219,0,0.623233735157302,0.88008331248063
GSM3263498,0.0231615670605928,0,0.00796516662075819,0,0.0169105476562184,0,0.00707929757181544,0.00573570082404164,0.0277579424987896,0,0.024593979136001,0,0.0335123436749316,0.000781915678979155,0.00586366732232558,0,0,0,0.02547234829753,0,0,0.109847400055724,0.711318123602293,0,0.752937638257633,0.729538733103057
GSM3263499,0.0238340805672144,0,0.0082697583797603,0,0.0134203803942278,0,0.00555492914340136,0.00899258699298271,0.0274032147097839,0,0.0249937766064186,0,0.0345687728507049,0.000510162516140228,0.0039320754622415,0,0,0,0.0256235742375153,0,0,0.122327368990966,0.700569319148643,0,0.753845608646467,0.727014058144402
GSM3263500,0.00422873024670093,0.0124761232491066,0,0,0.00419634779643519,0,0.00584269482547791,0.00692099668335733,0.00801198696317625,0,0.0339285493048586,0,0.0192432276399188,0.000539491855007136,0.00768996911413997,0,0,0,0.0249556129998173,0,0,0.207125442125468,0.664840827196536,0,0.701578120728497,0.807433030824361
GSM3263501,0.00758912470320489,0.00824465363373343,0,0,0.000592596547577652,0.00123319563021604,0.00716895267594964,0.00752429160360517,0.0101516721128208,0,0.0353308802283756,0,0.018359607758461,0.000440057875205134,0.00746985083185511,0,0,0,0.0238112306646455,0,0,0.220580264842342,0.651503620892008,0,0.703499571303161,0.802389644124484
GSM3263502,0.0152566549220138,0,0,0,0,0.00846496805846436,0.00359751515072769,0.0227691594054462,0,0,0.0297372477796414,0,0.0425220454254834,0,0.00442494958009011,0,0,0,0.0179571864823438,0,0,0.399531938244299,0.45573833495149,0,0.714257270049725,0.758547602392036
GSM3263503,0.00893621891122792,0.00351708074001019,0,0,0,0,0.00349481831995609,0.0225401505094701,0,0,0.0293624644709713,0,0.0370329829819139,0,0.00517962479912091,0,0,0,0.0194966981733391,0,0,0.40745297161641,0.46298698947758,0,0.713590443505927,0.764744598163812
GSM3263504,0.0109564937758078,0.00552344793613241,0,0,0,0.0129183421941236,0.0120231050979766,0.0106423305295609,0,0,0.0323164272195085,0,0.027497954761236,0.00106309665581273,0.00860510722302372,0,0,0,0.0233001083784137,0,0,0.290983917875836,0.564169668352568,0,0.778637484205632,0.678060320343372
GSM3263505,0.0172751345622023,0,0,0,0,0.0090988657281572,0.00695625440778296,0.0115373104348859,0.000835131873795575,0,0.0315302407342708,0,0.0293115869327634,0.00101614777287042,0.00858649189338119,0,0,0,0.0238312403643333,0,0,0.295255963663757,0.5647656316318,0,0.780036860385341,0.678266505430634
GSM3263506,0.0192279109548149,0,0,0,0,0,0.00481909942986204,0.0244309400280306,0,0,0.0404855236516831,0,0.0855675128471291,0.00720166792072052,0.00501391240603284,0,0,0,0,0.0173586656708861,0,0.660190733321329,0.135704033769512,0,0.710693341987965,0.737274864590995
GSM3263507,0.0194042224892072,0,0.000794936336610185,0,0,0,0.00459139026207939,0.0254999610628693,0,0,0.0396541869285302,0,0.0808541006850276,0.00789284369384221,0.00601790549339923,0,0,0,0,0.0174098315809696,0,0.659104218324571,0.138776403142894,0,0.709530899208031,0.738393149170792
GSM3263508,0,0.0280353173770949,0,0,0,0.0165328868839268,0.0024644675803651,0.0248666983910346,0,0,0.0166464848246672,0,0.0215560154934983,0,0.018667054406864,0,0,0.013969488209989,0.0104194877367934,0.0015045825912443,0,0.490258672306626,0.355078844197897,0,0.707762349755602,0.75032653063087
GSM3263509,0,0.0249869579600422,0,0,0,0.0133891529959647,0.00242578243964075,0.0262647016563329,0,0,0.0158848707095145,0,0.020407887118253,0,0.0188785415084472,0,0,0.0135084405080482,0.0114314043085841,0,0,0.494647441439107,0.358174819356065,0,0.707802031031927,0.752692130015677
GSM3263510,0.00703804648138809,0,0,0,0,0,0.00330461552449411,0.0236652947333361,0,0,0.0274195279963163,0,0.046090885144985,0,0.00772219844547685,0,0,0,0.0146208524596352,0,0,0.653594073683104,0.216544505531264,0,0.74825078342978,0.703255976039122
GSM3263511,0,0.00707741601868512,0,0,0,0,0.00351950480923529,0.0232126014027108,0,0,0.0283835959505546,0,0.0444603485007221,0,0.0078582848350935,0,0,0,0.0162494132976128,0,0,0.647509389842296,0.22172944534309,0,0.748085949566768,0.703123146764619
GSM3263512,0.0189696870381282,0,0,0,0,0.00312914287073384,0.00440533110169867,0.0185821152608593,0,0,0.0263400132317568,0,0.0403197048674665,0,0.00747190749464708,0,0,0,0.0172017267997863,0,0,0.435327291729756,0.428253079605167,0,0.722074668419249,0.747951101163383
GSM3263513,0.0175925931975466,0,0,0,0,0.00109216302513439,0.00476468410551862,0.0207220718431465,0.00232615226766149,0,0.0258853668878598,0,0.0408027480755298,0,0.00746634263874896,0,0,0,0.0178229159210197,0,0,0.421810224194963,0.439714737842871,0,0.723868832360294,0.746176177748802
GSM3263514,0.0155349776059696,0,0,0,0,0,0.00597866781794845,0.025906678389558,0,0,0.0317966322368849,0,0.0675034962527686,0.00113447478950577,0.00654320712293555,0,0,0,0.0183106246461717,0,0,0.493698194272174,0.333593046866083,0,0.732796874152436,0.720528891436653
GSM3263515,0.0154558139136588,0,0,0,0,0,0.00567031961707748,0.0236601880331077,0,0,0.0327608651248099,0,0.0666487738324473,0.00107588010684922,0.00655409798377098,0,0,0,0.0177137263720605,0,0,0.498547275856012,0.331913059160206,0,0.73338987874479,0.720504954808326
GSM3263516,0.0191361309583548,0,0,0,0,0.0162414533818421,0.00508686211015217,0.0118421198701118,0,0,0.026413709455544,0,0.0258705802823375,0.000467399381623356,0.00706259266207344,0,0,0,0.0256690471498385,0,0,0.0765261367985553,0.785683967949567,0,0.749339083311458,0.763059170898671
GSM3263517,0.0144075954369428,0.00284445680216345,0,0,0,0.0108309410332604,0.00461691600681694,0.0134991190738414,0,0,0.0294967926393708,0,0.0308960833664625,0,0.00375210451159167,0,0,0,0.0250495985458813,0,0,0.0804854083810858,0.784120984202583,0,0.75171633593256,0.761449812570176
GSM3263518,0.0185475719887607,0,0,0,0,0.000816905882109784,0.00373939536731182,0.0147282082035664,0.0114615207232591,0,0.0275060149216654,0,0.034598662154927,0,0.00377747894719904,0,0,0,0.0151115274563345,0,0,0.467295531679426,0.402417182675441,0,0.728088588571783,0.738819136891294
GSM3263519,0.0189358494002904,0,0,0,0,0.000695208024803382,0.00484685238719346,0.0150773214504852,0.0110044540950164,0,0.0274216771495,0,0.0353061507719334,0,0.00199688932940961,0,0,0,0.0149571505882775,0,0,0.462832311440979,0.406926135362112,0,0.727255352192878,0.740342855214391
GSM3263520,0.021056725202195,0,0,0,0,0.00891312617194889,0.00563405031894376,0.0208112928012167,0,0,0.028706397513042,0,0.0175270791895572,0,0,0,0,0,0.0254270561121167,0,0,0.19067537308614,0.68124889960484,0,0.643137914352149,0.882781442860265
