Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM3263492,0.0338621312727052,0,0,0,0.00715699061140434,0,0,0.0154180502478512,0,0.0066307184526165,0.0354166561522799,0,0.0650381865958596,0.0294397163470882,0,0,0,0.0100197100053165,0,0.0994537217430199,0,0.697564118571859,0,0.800257273245866,0.637498339076509
GSM3263493,0.0314696384576338,0,0,0,0.00688358498638055,0,0,0.0139635640009328,0,0.00644901347447379,0.0369319190558985,0,0.0677025885144052,0.0293481570894089,0,0,0,0.0103066195110141,0,0.0994334477349485,0,0.697511467174904,0,0.798641984897905,0.640365187095788
GSM3263494,0.00153253467842368,0,0,0,0,0.0197473845793007,0,0.0164104521498344,0,0,0.012140076712616,0,0,0,0,0,0,0.011097926511884,0,0.0405318137772503,0,0.898539811590691,0,0.686480153089814,0.904794950680296
GSM3263495,0.000625895282552212,0,0,0,0,0.02075154159831,0.00622963047385117,0.013192847723793,0,0,0.0124307540893838,0,0,0,0,0,0,0.0122371389599753,0,0.0441341132381229,0,0.890398078634012,0,0.686845018787597,0.898036950835007
GSM3263496,0.00651693687191474,0,0,0,0,0.00885417817586068,0,0.0140845567311307,0,0.00959834736130225,0.0058993580755759,0,0,0.0414628853310656,0,0,0,0.001817404280704,0.00584004952262268,0,0,0.905926283649824,0,0.868642374122372,0.625039493644543
GSM3263497,0.00716382161918382,0,0,0,0,0.00342313374063325,0,0.01614590031559,0,0.00843012732661325,0.00958858173499963,0,0,0.0436909944393615,0,0,0,0.00349959992125289,0,0,0,0.908057840902366,0,0.869685504030732,0.625036799420354
GSM3263498,0.00708560654054595,0,0.000982486262483875,0,0,0.020308840502069,0.0109588078277019,0.0203026236343259,0,0.00649823838824101,0,0.000216065562212635,0,0,0,0.0297887027436011,0,0.00620471275204791,0,0.0343843965411076,0,0.863269519245663,0,0.791772931369414,0.726875792744131
GSM3263499,0.00726626521618756,0,0.00107483499877359,0,0,0.00786490542898309,0.0112357165379385,0.020755278994494,0,0.00922135600037573,0,0.0012896017867562,0,0,0,0.029488348275608,0,0.00627796486362737,0,0.0348639540528002,0,0.870661773844456,0,0.792524640741882,0.73104754365207
GSM3263500,0.00285339787449148,0.0031625663964337,0.00196148302672868,0,0,0.031094711621904,0.014264137994381,0.0160945397656044,0,0,0.0124703897371492,0,0,0,0,0,0,0.014966796209014,0,0.0154310466079274,0,0.887700930766366,0,0.889883685861156,0.562191563527459
GSM3263501,0.00253107803233124,0.00333297029502056,0.00185576737838024,0,0,0.0326747212944959,0.0131311753585904,0.0147011076230481,0,0,0.0137009535902201,0,0,0,0,0,0,0.014766947518096,0,0.0157628557308369,0,0.887542423178981,0,0.889611697969891,0.56273736939461
