Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells gamma delta,T cells regulatory (Tregs),NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Blood neutrophil,V neutrophil,P-value,Correlation,RMSE
GSM484551,0,0.0394259964900096,0,0,0.0454302669043963,0,0,0,0.0237501239116244,0.0120539472086015,0.0252291991726572,0,0.212886585443284,0,0,0,0,0.0140909644856312,0.0103472902701688,0.00121617852545356,0,0.441441607385295,0.174127840202879,0,0.675066012148911,0.756635150042497
GSM484552,0,0.0206284977874427,0,0,0.0237078688130856,0.0260593975814393,0.00392446757398113,0,0.0319248793320139,0.0106087858892644,0,0,0.809360870955173,0.00791420477400336,0,0,0.00969444080381463,0.00539977687234106,0.0337554341119536,0,0,0.00234927472240253,0.0146721007830848,0,0.747785497558011,0.722964468858608
GSM484553,0,0.0106856865913834,0.00546295231687233,0,0.164864393029193,0.60461417434954,0.00936438336802505,0,0.0765584891924436,0.0444887376021723,0,0,0.063766403937474,0,0.0029059733561867,0,0.00583424899399083,0,0.00737203288200126,0,0,0.00382419906956325,0.000258325311155027,0,0.4797547119424,0.881508830760116
GSM484554,0,0.0080917503103142,0,0.37120888266432,0,0.302311912347142,0.00382322019684678,0,0.25603510602409,0.0143237222319973,0.0107271503707564,0,0.00583116484765925,0,0,0,0.00381494040973493,0.00386125017801402,0.0142377927287107,0,0,0,0.00573310769041422,0,0.572493556622367,0.821460822324432
GSM484555,0,0.0646714455601668,0,0,0.0272612809006788,0.00604186395081371,0,0.00228952208363062,0.0136764911957876,0.0018620899422317,0.0421929814330012,0,0.196479076466843,0.0124257697024428,0.00602404253972679,0,0,0.0183435223897284,0.00294006162739517,0.0128849680805191,0,0.379458522955816,0.213448361171218,0,0.685364305123839,0.741234343913288
GSM484556,0,0.0414653401853322,0,0,0.0170092114437337,0.00632815131901886,0.0111831664357391,0,0.0194470132797965,0,0.0222496041154402,0,0.823059659377201,0.00194241611825369,0,0,0,0.00673008601931155,0.0330604804409829,0,0,0,0.0175248712651904,0,0.776251320915582,0.687154796679218
GSM484557,0,0.0163523485391998,0.00141827757885761,0,0.337522486288645,0.423721515429707,0.00897600409754988,0,0.00945827591525158,0.0621167820730868,0.0149837413586066,0.00914522176995691,0.0721209331822658,0,0,0,0.00395741751708316,0.00538608585145882,0.0250671213733256,0,0,0,0.00977378902500542,0,0.475555157987204,0.883318047598766
GSM484558,0,0.0071472983483192,0,0.520013994939962,0.0254142144634292,0,0,0,0.258581456568126,0.0853987609072297,0,0.0545084340763523,0,0.0050695863975601,0,0.00138749072436278,0.00446236969948653,0.00208663284295788,0.02499943465122,0,0,0,0.010930326380994,0,0.531883183008486,0.852176525405542
GSM484559,0,0.0611391584383583,0,0,0.0183662706996183,0.0156374070457209,0,0,0,0.0187010600827992,0.056184942312269,0,0.279659173520418,0.00808330669431746,0.0041399670043595,0,0,0.0129802742184375,0,0.0159155677628139,0,0.283338141414509,0.225854730806379,0,0.688425883494448,0.737555541022541
GSM484560,0,0.0415158829770501,0,0,0.00364499765362146,0.0358089979387606,0.00404551714332565,0,0.029734322693627,0.00216286105256746,0,0,0.791954751159535,0.00275633224951412,0,0,0.00180390399914276,0.00513527259047113,0.0398847010081089,0,0,0.00774823302709616,0.0338042265071792,0,0.733770869733035,0.738760284596513
