Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM484551,0,0.0146182775739606,0,0,0.0593757878545371,0,0,0,0.00478543908373026,0.019733856205668,0,0.0244213435960292,0.122407580366337,0.019650893028789,0,0,0,0.0096015504800407,0.00740098415387978,0,0,0.718004287657028,0,0.646301578021971,0.842270974012418
GSM484552,0,0.013803677460995,0,0,0.0109444730158179,0,0.00137786227635504,0,0,0.0025949210179534,0.00605171077974226,0,0.928683252451757,0.00100056706838699,0,0.0123704377471651,0.00347505242846895,0,0.0196980457533582,0,0,0,0,0.699245144296221,0.726365620983959
GSM484553,0,0.0305143996819443,0,0.0225425384830392,0.310727502837449,0.421877735714742,0.0197498540166747,0,0.0247637860591595,0.0630490755624688,0,0.0227912302320985,0.0503212542210987,0,0.00183532165323791,0.00580974131718692,0,0.0064785512116037,0.0195390090092976,0,0,0,0,0.528507007448092,0.85478713378184
GSM484554,0.00199584427947188,0,0,0.512748533922503,0.0564111837086846,0.0549564820376334,0.0221868572391095,0,0,0.2520478263204,0.00723318710421435,0,0.0273598543398469,0.00912050484137094,0,0,0,0.00556285266461323,0.0503768735421522,0,0,0,0,0.638236306821101,0.774621914591906
GSM484555,0,0.0822623191847893,0,0,0.00354316197303678,0,0,0.00924051877762507,0,0,0.033601280181681,0,0.138531933166368,0.0229040011751554,0,0,0,0.00882930442399715,0,0,0,0.701087481117348,0,0.625166500391708,0.860870135239343
GSM484556,0,0.0459179898443444,0,0,0.00275835446238644,0.0101229457209595,0,0,0,0,0,0.0191100677514513,0.853542677664487,0,0,0.0196986077766685,0,0.00701164459434318,0.0418377121853602,0,0,0,0,0.705406224460734,0.71145289331088
GSM484557,0,0.0204998511441956,0,0.0269451020696152,0.555453880728736,0.17124615010287,0.0387210396035572,0,0.037606052461296,0,0.00208291881663694,0.0304628131165246,0.0630666713844294,0.00142382480834956,0.00174668752495564,0,0,0.00653115122918747,0.0442138570096468,0,0,0,0,0.536596028066047,0.849074095460434
GSM484558,0,0.0138439484351098,0,0.509181703571576,0.07934063165956,0,0.0243321186772878,0.0158169616489326,0.078297520128377,0.0521743001593642,0.0833534814408809,0.0757076001642194,0,0.00428254434813644,0,0.00766943457248646,0.00254675059236122,0,0.0530745498328633,0,0,0.000378454768844878,0,0.589798950172296,0.816471792540861
GSM484559,0,0.0407186548836424,0,0.0129652737997099,0.0115978825942037,0,0,0.0132188355628532,0,0,0,0.0343883186195288,0.29744373613332,0.0149466513698841,0,0,0,0.010604823862916,0.0444110760353822,0,0,0.51970474713856,0,0.595276492282689,0.843776055852329
GSM484560,0,0.0417834598163848,0,0,0.0182115177715978,0,0,0,0.00360297865304684,0.00500096212584209,0,0.00970928851535132,0.863574072851867,0.00105669780271609,0,0.00782347164813226,0,0.00436043026532553,0.0448771205497364,0,0,0,0,0.711485711759074,0.705439743197048
GSM484561,0,0.0355192331643571,0,0.0258279806072305,0.493940438652083,0.233276303838822,0.02090734609606,0,0.017389786243541,0,0.0135856314291987,0.0447001813696938,0.0567989064165672,0.00528735894297686,0.0013634064878842,0,0,0.00623548573709668,0.0451679410144891,0,0,0,0,0.512543948944324,0.865443918053509
GSM484562,0,0.0299111701857615,0,0.522281114847329,0.280969943089408,0,0.00952664010785774,0,0.0165222635293162,0.0177374809343411,0,0.0761298413586786,0,0.00214762432181556,0,0.002735022129071,0,0.00563847860954485,0.0346661656699697,0,0,0.00173425521690737,0,0.564532656909822,0.83784345443566
GSM484563,0,0.0748242080101991,0,0,0.0202943620855999,0,0,0.0113388059829612,0.00277088691852259,0.0153584137396462,0,0.0404564419871312,0.138869434783764,0.0165224801849189,0,0.0101958564757523,0,0.010597463202495,0.0343257912489889,0,0,0.624445855380021,0,0.663334293116323,0.784745267057084
GSM484564,0,0.0113224469086719,0,0,0.0101102393586123,0,0,0,0,0.00288103351890361,0,0,0.95836802655761,0.000919989492529164,0.00917952029097896,0,0,0,0.00721874387269417,0,0,0,0,0.774316355633365,0.637387142749122
GSM484565,0,0.0537737602145426,0,0.0167569984705576,0.312758327002755,0.195415408893578,0.031038074388077,0.01115884393227,0.085151097771027,0.119184991958085,0,0.0409128683706443,0.0610491010911259,0,0.00566880127203318,0.0179568571193807,0,0.00866106354706701,0.0405138059688559,0,0,0,0,0.533581707095231,0.845812142083599
GSM484566,0,0.0291828342194036,0,0.573898791474039,0.215183018147911,0,0.0220669575433581,0,0.0303408832972208,0,0,0.0736234398426893,0,0,0.00200453185979333,0.0151147903950126,0,0.00664114411652279,0.0283075410714359,0,0,0.00363606803261291,0,0.563264142310964,0.838122138662057
GSM484567,0,0.0651222594169169,0,0,0.05479415329331,0,0,0.000417822915161992,0.00103986429883655,0.00951590621187984,0,0.0280211068667096,0.0997175337637634,0.037856665281287,0,0.00947514421315464,0,0,0.0342193095795653,0,0,0.659820234159415,0,0.682492414542984,0.770855176544429
GSM484568,0,0.0248313474874115,0,0,0.0086632372501214,0.00283607730081581,0,0,0.00206239275844466,0,0.0115980383370448,0.00635268869425441,0.869405862683708,0.000488539043457402,0,0.0283265296284152,0,0.00501546997284392,0.0404198168434832,0,0,0,0,0.711145558819807,0.706568167897728
GSM484569,0.0209732723678138,0,0,0.0167563540449799,0.533104576688056,0.287229827453073,0.0200889284177928,0,0.021945509788616,0.0246970138034208,0,0.0160300354855899,0.0160244618676535,0,0.00293770229388105,0.02304333312139,0,0.000436978427305795,0.0167320062404284,0,0,0,0,0.542838311034386,0.849946577755232
GSM484570,0.00595557780457339,0,0,0.687016966566067,0.0313505410001651,0,0.0227505975052567,0,0,0.120411763968314,0.0666964828492494,0.0146532961755017,0,0,0,0.0118794739275381,0.00391050847330681,0.00579275132165423,0.0295820404083739,0,0,0,0,0.647229956400194,0.773008996442732
GSM484571,0,0.0562032694457867,0,0,0.0706987986542879,0,0,0,0.00618551573463103,0.024450809238881,0,0.00496951418235167,0.165856597450832,0.0115188849605761,0,0.0189706263600295,0,0.00950589427249132,0.0293566092452154,0,0,0.602283480454918,0,0.710594298908611,0.725534835463504
GSM484572,0,0.059086874474472,0,0,0.029505796486052,0,0,0,0,0.00442230993910928,0,0.0113474475256488,0.829752365143205,0,0,0.0223366504462044,0,0.00158318821117449,0.0419653677741335,0,0,0,0,0.714252061164717,0.700798065845103
GSM484573,0,0.0106355532146293,0,0,0.453097469956698,0.272645692801324,0,0,0.00302929009523356,0.0635160769968522,0,0.0238096667872743,0.165092238930091,0,0,0.00579284088413899,0,0.000721266008276511,0.00165990432548264,0,0,0,0,0.585289526671503,0.81110233051794
GSM484574,0,0.00728196263322608,0,0.594767724224597,0.0884570350734896,0,0.00653824849907748,0,0.0333728844818685,0.0418462823586729,0.0760854745890139,0.0523195464083786,0.0237695489086023,0.0118188779327113,0,0,0,0.0049976806750765,0.0587447342152861,0,0,0,0,0.655169166869273,0.757596473963703
GSM484575,0,0.0667367714408059,0,0,0.0127833617273618,0,0,0.0134854997451309,0.00617685655217189,0,0,0.0568130558267395,0.0650279466939061,0.037660130398626,0,0,0,0,0.0577087087602256,0,0,0.683607668855032,0,0.595013231474972,0.873722490338617
GSM484576,0,0.0279475717793921,0,0.000659439832564513,0.0183639107296881,0,0,0,0.00898703186098023,0,0,0.0316856418550216,0.83062349240135,0.00638057309831337,0,0.0300740275985873,0,0.00453014050971031,0.0407481703343922,0,0,0,0,0.715872572468391,0.69901455403173
GSM484577,0.000151703510258426,0.027299309888736,0,0.0192241467235082,0.545104008472981,0.102538254789587,0.0343441514806819,0.0185570348064869,0.0628374525547688,0.0438816743079613,0,0.0224013838094444,0.0705119777607398,0,0.00202237819110435,0.0212251135047395,0,0.00740607722423689,0.022495332974766,0,0,0,0,0.48789486182975,0.881492701617762
GSM484578,0,0.0248495629411885,0,0.544879371632221,0.266187300548635,0,0.0102769530103482,0,0.0144054185398157,0,0.0317550910317545,0.0635418657170435,0.0024041001397402,0,0,0.0106294000968319,0,0.0020034292064216,0.0273961926134263,0,0,0.00167131452257438,0,0.575514236775564,0.82950142363471
GSM484579,0,0.055463733330465,0,0,0.0442685507462709,0,0,0,0.00674387467437974,0.00547272505272328,0,0.0228251496929347,0.149445202598287,0.0217000782657522,0,0.00655766272220743,0,0.00778729722902354,0.0404456540290996,0,0,0.639290071658857,0,0.624241020343706,0.835170865245393
