Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells gamma delta,T cells regulatory (Tregs),NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Blood neutrophil,V neutrophil,P-value,Pearson Correlation,RMSE
GSM2785589,0,0.07059509235047629,0,0.13247413913427597,0,0.07161290257221124,0,0,0.044835431410737106,0.01133325447546234,0.1676531221323836,0,0.2089206074206059,0,0,0,0,0,0,0.0032394007166095698,0,0.2893360497872379,0,0,0.6292268114416767,0.7772863319809165
GSM2785590,0.0013750418208424793,0.04500312602321995,0,0.20646072556877318,0,0.10032026925951913,0,0,0.03286973702221932,0.029207320466604708,0.158076359561292,0.1065707428102849,0.23453679843742525,0,0.0018443999873902102,0.0035687750278732403,0,0,0,0,0,0.08016670401455567,0,0,0.6007983461413918,0.7992345816108615
GSM2785591,0,0.05063792070862404,0,0.21672456077376334,0,0,0.00918675763865936,0,0.08849489879435654,0.027356761615758833,0.030425121249910612,0,0.23940983050555664,0.010141887586531504,0.007499493180839706,0,0,0,0.0019195323135383269,0.0090335556737117,0,0.30916967995874933,0,0,0.6649483142576433,0.7488614360512497
GSM2785592,0,0.06787718714247107,0,0.13306058625956707,0,0.06118876034477664,0,0,0.060582669429337266,0.004095326876578063,0.07053178387538464,0.018483328313639226,0.29843451818792355,0,0.0004,0,0,0,0,0.005912925533317054,0,0.27945866094686117,0,0,0.6392518090634866,0.7686358531739365
GSM2785593,0,0.07003859900577107,0,0.15360756736632683,0,0.03179545094902898,0,0,0.10056247407385213,0,0.12870904522736273,0,0.24901758331351193,0,0.0016525677854061123,0,0,0,0,0.005226332069660481,0,0.25939038020907973,0,0,0.6512883733785602,0.7590369489699385
GSM2785594,0.018715412871421973,0.047983831498709315,0,0.18756224265662172,0,0.08890431226400097,0,0,0.060766298004106226,0.055670463931430325,0.12752452825077276,0.10696953249261523,0.20487893835315993,0.0031853545702406902,0.004363763621127069,0.005325057350645675,0,0,0,0,0,0.08815026413514804,0,0,0.5991289444129374,0.8011894788830451
GSM2785595,0.003856919772677589,0.03778495864553314,0,0.19678630480104883,0,0,0,0,0.04270517847581965,0.01884206399213136,0.07978737234692572,0,0.25326541471490077,0.003047133560718716,0.0010067408098751068,0,0,0,0,0.00342432125468808,0,0.3594935916256809,0,0,0.6252505444241082,0.7804979627352273
GSM2785596,0.016654045009789186,0.054329187062825884,0,0.12096302511157318,0,0.09633181200973874,0,0,0.12410006837999667,0.05317341014187984,0.12777311517019654,0.08878945850030368,0.19926594514452137,0.002508532871967125,0.0068591107548922935,0.005433114575281325,0,0,0,0,0,0.10381917526703414,0,0,0.5970984242975456,0.8023181745512112
GSM2785597,0,0.08120820456860989,0,0.06858918535903677,0,0.07624415883381357,0,0,0,0.002769649468333136,0.1970498984081655,0,0.23300014393883445,0,0,0.0003,0,0.0003,0,0.0011191754047038855,0,0.3394174091050228,0,0,0.6769633187975466,0.7364712248997203
GSM2785598,0,0.07511525800029387,0,0.22531943186737358,0,0.06882581831014628,0,0,0.07580469683953556,0.013106018441593014,0.13972432547907315,0.062495596579523506,0.2425953893510138,0,0,0.0014270601328734104,0,0,0.0023519375889215514,0,0,0.09323446740965226,0,0,0.6133167918580769,0.7901750637533966
GSM2785599,0,0.07038604914960944,0,0.11926744575134485,0,0.04304808124221795,0.009809580586381247,0,0.07092328909720713,0,0.06973106746650024,0,0.2071098430045162,0.0061515039916517095,0.00649687186287766,0,0,0,0,0.016437700886623607,0,0.38063856696106996,0,0,0.6329608214630364,0.7738660817006028
GSM2785600,0,0.09876404860044218,0,0.04085108793489624,0,0.10449414895499373,0,0,0.042099486136980675,0.0022619931278432515,0.1571990909078364,0,0.21680772483225674,0,0.0009,0,0,0,0,0.002347056618265436,0,0.3343088694413802,0,0,0.673778419115218,0.7404986692480146
GSM2785601,0,0.08734702345812817,0,0.04336553735843632,0,0.10438881458179941,0,0,0.005586380345273544,0.005347585974323065,0.19025298966255771,0,0.22608437453830907,0,0,0.0004,0,0.0008,0,0.0025996076952165613,0,0.33384890871928163,0,0,0.6579840571871038,0.753178461743016
GSM2785602,0,0.08702629014499465,0,0.19664678339698116,0,0.12140419972370466,0,0,0.053438377187609354,0.017497384728016645,0.16866421116886396,0.03869674016441632,0.24020105058929145,0,0,0.0026193478094309777,0,0,0.00822399165888216,0,0,0.06558162342780867,0,0,0.5840266408768601,0.8117833743187908
GSM2785603,0.006075739930666853,0.07283719805730837,0,0.10777734679605389,0,0.08326336636165964,0.0174160985743612,0,0.019999365825941952,0,0.11646194128619045,0,0.20638083747098293,0.009386537302504995,0.005728233305813979,0,0,0,0,0.008104096749307368,0,0.3465692383392083,0,0,0.6361955914291978,0.7718707711222759
