Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells gamma delta,T cells regulatory (Tregs),NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Blood neutrophil,V neutrophil,P-value,Pearson Correlation,RMSE
GSM494319,0.01799395487378037,0,0,0.1287377518073324,0.038698166188660114,0,0,0,0.07217627852205062,0.09511234382025792,0.07258189252572088,0.022975445269614706,0.4438879423487241,0.018467526708731252,0.0002,0,0.014741964007208702,0.0006,0.023690291279328347,0,0,0.05013791579495277,0,0,0.6650271295225695,0.7468492462089196
GSM494325,0.026299599027915087,0.01849249997193128,0,0.19377583480906904,0,0.04551431933367599,0,0,0,0.03231432599556053,0.14206633765716697,0,0.27359222162048447,0,0,0,0,0.0011061579390585824,0,0,0,0.266838703645138,0,0,0.47768096621634965,0.8936631953325771
GSM494327,0.04305387453447282,0.03977633848718139,0,0.04006965423722369,0.03006102955245027,0.14234835664634593,0,0,0,0.04019351307041251,0.07927169047693657,0,0.2784324290057325,0,0,0,0,0.003744951730445073,0.008326872751012784,0,0,0.2892212792797097,0.005500010228076785,0,0.49588521368632854,0.8783054527425539
GSM494329,0.02899627429527104,0.0008,0,0.006738860763285713,0.07953285838569822,0.113271916297306,0,0,0,0.039579626359521475,0.09208503604343499,0,0.2901561376351348,0.005638322333725064,0,0,0,0.0037772587518734723,0.0076167195527738225,0,0.012251420000858562,0.3065544636505823,0.013007140622718516,0,0.4927406896356275,0.8873320342224305
GSM494331,0.006122516097854719,0.0625753260644953,0.0008,0.13337623886680813,0.03984044593009959,0.09565143747395015,0,0,0.011156713159051068,0.05297863083468359,0.10356785683049584,0,0.3284826327615709,0,0,0,0,0.0025526506538721427,0.007347155446411977,0,0.005460008314168481,0.15004633280765947,0,0,0.5583741756279946,0.8307320545924348
GSM494337,0,0.048694076279144294,0.0001,0,0.07285606721481223,0.1895118017924156,0,0,0.00214995460399777,0.0002,0.1234640363426272,0.0012940930624225889,0.17528071375613885,0,0,0,0,0.005482995628664904,0.014088941678186775,0,0.08075937154524764,0.28609728102046783,0,0,0.4866638266103444,0.8793461034270007
GSM494321,0,0.05030868444613291,0,0.029201462509231814,0.057012774862857336,0.03929474277022489,0,0,0.03128523382951254,0.04641877033266256,0.024472860521343866,0.003672236462006386,0.5662174429874208,0.013068402477162006,0,0,0.0073650240385897065,0.00754755563467946,0.024672842253793636,0,0,0.0700397013961471,0.02942226547823494,0,0.7235780554551848,0.6941031229516517
GSM494323,0.03881707498713569,0.03206889270740329,0,0.10956838502720655,0.17051320968475425,0.07054342642382953,0,0,0,0.046298525639582776,0.09883423426482053,0,0.24213771271007414,0,0,0,0,0,0,0,0,0.18605611945806677,0.005162419097126459,0,0.4719652104921632,0.8852353941367694
GSM494333,0.05273942956071161,0.043155917181999605,0,0.16128104817787864,0,0.019348544283663,0,0,0.002267954835597529,0.09441638917890142,0.13885921099903917,0,0.26558911691662357,0,0,0,0,0.0020635644583319934,0,0,0.0035577702645285085,0.2167210541427249,0,0,0.5706422987296864,0.8212879731722047
GSM494335,0,0.05364432608186893,0,0.031482423607520196,0.03628016506945135,0.03173373588992185,0,0,0.03949020645076661,0.06608548987503289,0.023361033236088947,0,0.16661310089591552,0.0018551093525988923,0,0.0022877815732740584,0,0.003324965750053783,0.005473329101269754,0,0.03695467397668527,0.4640431626643678,0.03737049647518413,0,0.5434317846938788,0.8553198734718495
GSM494339,0.03554749737226576,0.046583581047544835,0,0.026766524322132244,0.07031420128682589,0.08528700671370175,0,0,0.008844680255010697,0.017351947479018113,0.040590114351150265,0,0.1339978535814229,0,0,0,0,0.0022404099707564865,0.003537950466985664,0,0.046180369679335906,0.4827578634738495,0,0,0.5698621691762124,0.8276020145117242
GSM494320,0,0.034035599466188976,0,0.08911257795763951,0.04855686464759778,0,0,0,0.0420088150511768,0.06272877794798451,0.061936822562826885,0.0112807366439891,0.47316884635248146,0.014065444479727447,0,0.003892111052969677,0.01457238323609666,0.014670329440207188,0.011146431708401051,0,0,0.10188080313840968,0.016943456314303267,0,0.7138791599207429,0.7001499109598679
GSM494326,0.03025678932304515,0,0.0056272517920156724,0.19776457114117896,0,0.039374084148910554,0,0,0,0.06941317635036559,0.09385244118289797,0.001489798833294974,0.2597665628578629,0,0,0,0,0.009614429837266267,0.013096904228036063,0,0.03416817401334162,0.24557581629178427,0,0,0.4921627632439005,0.8782558474379312
GSM494328,0.04468896739509232,0.06530399173216328,0,0.05100065677023269,0.04235268364005703,0.17689336932490682,0,0,0,0.02969196628069557,0.06026618480638383,0,0.23675677840542006,0,0,0,0,0.002964399609896343,0.008442239322268974,0,0.0019919969391601166,0.2773942912576951,0.0022524745160278936,0,0.471008161321913,0.8885891634746997
GSM494330,0.011552956746144847,0.010526187219290323,0,0.01881450889932685,0.06705590763762058,0.09626420173402027,0,0,0,0.03838923667581244,0.10977081629156567,0,0.29769788883996534,0.0019313491112414134,0,0,0,0.0033253071146546326,0.0005,0,0.020487929299637976,0.3226854798241627,0.001,0,0.5084668533564362,0.8790602065956729
