NAME	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Blood neutrophil	V neutrophil
A2M	50.77146993	56.97838546	59.81729028	25.94354114	17.9249825	26.60562063	17.45926175	79.78105456	177.392376315	49.795229085	73.834714675	15.31702109	47.359057255	2352.8288225	1976.310951	7859.859196	8375.9094425	8057.4818375	832.684792599999	1208.2266497	16.883715875	3	20.21142882
AAAS	45.64909333	52.34250242	97.76406326	173.7163726	163.6191649	147.3954567	378.6834157	328.5775675	60.16582788	133.96712479	96.5200679	134.0340721	46.367864825	87.84381983	54.72527875	196.4566447	50.42026903	21.69168457	53.399348385	17.04097837	30.405689935	18	2
ABCA1	682.5717589	608.4478108	273.0119416	119.91246905	187.3821153	99.27469212	120.0907954	129.4432929	241.2288727	195.26315425	120.3844977	84.11789485	555.9075649	1736.386884	783.547577799999	3540.507776	180.01313965	136.62673395	1706.901968	1570.4036345	5484.268432	489	370
ABCA8	146.637884	131.2324304	80.01818614	32.27806484	13.7454465	25.58818599	6.163004595	30.84112345	79.788420045	91.947582015	27.287164795	20.75830924	20.825955055	14.655024535	10.376081065	3.952808804	8.688828831	3.460618569	23.129046665	16.176065806	32.55079534	1	28
ABCB1	575.2605623	390.53481165	167.8910806	781.81267195	274.3192456	382.5254775	264.2784394	128.3272066	1151.72698655	104.80747485	1229.2126455	581.9059619	57.138802005	51.749177195	66.80869148	43.42835005	102.220412145	70.79823214	177.2287681	235.0963391	36.05655795	39	2
ABCB4	655.6573823	27.23377253	13.3645835	5.571507615	5.17672284	8.211214014	8.877125204	6.101075229	24.742566085	19.5134255685	15.046178459	5.735817775	7.0488399455	7.2843603945	19.6335134	89.00902277	112.66480423	5.4861684645	3.9594885485	24.483002761	17.19990043	5	1
ABCB9	36.67527733	53.011599095	634.8247269	29.742490215	32.68455896	41.01182586	33.78196288	16.82172672	40.9023909	77.76471831	25.169102165	17.29186854	22.42223144	52.172551615	20.74967544	27.59910811	119.50030725	23.960432855	39.35687753	16.641992325	29.535224035	1	1
ABCC3	51.65717643	52.703665505	35.03181037	18.617523505	24.54875431	22.9551927	17.13111818	19.36228488	45.719912595	43.236947095	27.403506575	16.07866975	207.9216918	1727.8185855	99.97484426	1528.580547	1912.0493205	682.27608485	18.408508655	54.772700365	31.316565155	5	1
ABCC4	142.993116	352.11925835	446.2450188	227.28993075	131.8378444	206.0228269	201.7070929	152.4125009	288.20493332	128.70353871	155.206079	221.0449881	79.48982682	199.0414045	2006.339142	354.2871272	466.47287805	600.05092235	4212.10306	2331.9882255	144.152637215	5	1
ABCG5	27.31092884	23.231077255	13.68248606	24.17166438	44.90388923	10.473903385	7.012902597	67.05769339	24.958207875	49.004120835	6.100143172	7.18473575	9.899180702	14.725294895	19.09597957	4.158772791	21.88544808	18.53108721	40.054944785	23.96799532	78.7796201734999	3	2
ABHD6	153.5783684	172.84783115	82.92585264	113.70342245	103.0336487	77.73580936	119.7507199	199.9820514	284.7398668	312.95338165	157.22911585	104.6515891	211.8851873	472.443797	85.6321587	824.5937496	460.13420535	202.08746165	431.46440385	380.07253815	137.2408133	38	1
ABLIM1	1256.026432	1378.389246	232.9892231	2272.332359	5153.022701	2152.333532	768.670364499999	1453.764494	973.53655525	1657.5987795	1268.818105	261.5653999	130.7772137	102.314917795	86.37767752	80.64591855	120.52586005	211.8501272	73.3706247	61.495070235	171.6701101	15	9
ABP1	318.0573452	268.1235941	213.1477572	72.37605296	98.24539956	102.5006523	56.73078835	77.37225047	91.967366455	72.760558335	95.708241135	75.64864174	83.978580465	113.96728415	94.99727807	120.8185921	149.80803155	944.31730735	63.653363935	60.38728458	312.66625675	37	4
ABTB2	650.2641611	571.469092	304.4673216	181.22755345	199.6199636	134.2077992	222.1167557	161.0338479	246.30131775	391.89663725	183.91067	174.1355311	184.40528265	174.1243846	2164.558989	115.8263544	185.9350348	2792.544696	128.3731005	162.31709675	1775.158196	142	65
