Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
BIOCARTA	h_eif4Pathway:Regulation of eIF4e and p70 S6 Kinase	3	3.614457831325301	0.022117571839147847	MAPK14, MKNK1, PTEN	17	24	1625	11.948529411764707	0.7267090502061047	0.7267090502061047	19.95053256706133
REACTOME_PATHWAY	R-HSA-114608:R-HSA-114608	4	4.819277108433735	0.036331286508188024	ORM1, ACTN1, SERPINA1, ORM2	52	130	9075	5.369822485207101	0.9983423135997715	0.9983423135997715	36.416799716636596
BIOCARTA	h_p38mapkPathway:p38 MAPK Signaling Pathway 	3	3.614457831325301	0.05704182664635608	MEF2A, MAPK14, MKNK1	17	40	1625	7.169117647058824	0.9668440943196753	0.8179123681291762	44.25365945096809
REACTOME_PATHWAY	R-HSA-2168880:R-HSA-2168880	3	3.614457831325301	0.05722513837793521	HP, HPR, CD163	52	69	9075	7.587792642140468	0.9999626248503675	0.9938864781318345	51.37496734712151
KEGG_PATHWAY	hsa04115:p53 signaling pathway	3	3.614457831325301	0.06009123067499184	CCND3, PTEN, GADD45A	42	67	6879	7.333688699360341	0.9997019926973545	0.9997019926973545	51.455254040394124
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	5	6.024096385542169	0.06251869696204607	MAPK14, MKNK1, GADD45A, CD14, STK3	42	253	6879	3.236871823828345	0.999787625404772	0.9854269222458637	52.89733308600575
KEGG_PATHWAY	hsa05132:Salmonella infection	3	3.614457831325301	0.08719704062912319	MAPK14, TLR5, CD14	42	83	6879	5.919965576592082	0.9999935524879165	0.9813878138174166	65.49025593091811
REACTOME_PATHWAY	R-HSA-432142:R-HSA-432142	2	2.4096385542168677	0.09143736562865651	FGR, MAPK14	52	17	9075	20.5316742081448	0.9999999375700686	0.996032980949827	69.06598987409163
REACTOME_PATHWAY	R-HSA-198753:R-HSA-198753	2	2.4096385542168677	0.09143736562865651	MEF2A, MAPK14	52	17	9075	20.5316742081448	0.9999999375700686	0.996032980949827	69.06598987409163
KEGG_PATHWAY	hsa04640:Hematopoietic cell lineage	3	3.614457831325301	0.09446236765641652	CD59, IL4R, CD14	42	87	6879	5.647783251231527	0.9999977366487852	0.9612128394646495	68.56087056580216
