Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04668:TNF signaling pathway	13	6.770833333333333	4.0437466282941056E-8	LIF, CCL2, PTGS2, CCL20, MAP2K1, SOCS3, CXCL3, EDN1, CXCL2, NFKBIA, IL1B, TNFAIP3, JUNB	102	107	6879	8.193787795492028	7.036094518797498E-6	7.036094518797498E-6	4.952667080893036E-5
REACTOME_PATHWAY	R-HSA-3000178:R-HSA-3000178	9	4.6875	3.797981572362839E-6	TNXB, LUM, COL3A1, COL1A2, COL6A2, COL6A1, COL1A1, DCN, LAMB1	114	75	9075	9.552631578947368	8.579771922495594E-4	8.579771922495594E-4	0.0048554214172491506
REACTOME_PATHWAY	R-HSA-3000480:R-HSA-3000480	5	2.604166666666667	7.6473426475519E-5	APOE, COL3A1, COL1A2, COL1A1, SCARA5	114	19	9075	20.94875346260388	0.017135149696321905	0.0086045943702997	0.09772342087805974
KEGG_PATHWAY	hsa04380:Osteoclast differentiation	10	5.208333333333334	1.1896806670665999E-4	FOSL2, MAP2K1, SOCS3, JUND, NFKBIA, IL1B, FOSB, FOSL1, JUNB, IL1A	102	131	6879	5.148181409968567	0.020488866403899686	0.010297451960388115	0.14561132531122345
REACTOME_PATHWAY	R-HSA-3000171:R-HSA-3000171	6	3.125	1.2730618891055033E-4	LAMB3, COL3A1, COL1A2, COL1A1, LAMB1, DDR2	114	40	9075	11.94078947368421	0.028363028333791118	0.009545163028126025	0.16263258550600623
REACTOME_PATHWAY	R-HSA-2022090:R-HSA-2022090	6	3.125	2.499154040556035E-4	LAMB3, COL3A1, COL1A2, COL6A2, COL6A1, COL1A1	114	46	9075	10.383295194508008	0.05492211813639514	0.014022737562344068	0.31903431521981274
KEGG_PATHWAY	hsa04512:ECM-receptor interaction	8	4.166666666666666	2.6680229903200696E-4	LAMB3, TNXB, COL3A1, COL1A2, COL6A2, COL6A1, COL1A1, LAMB1	102	87	6879	6.2014874915483436	0.045368421008584625	0.01535745094410812	0.3262821611762279
REACTOME_PATHWAY	R-HSA-380108:R-HSA-380108	6	3.125	8.028057688626946E-4	CCRL2, CCL2, CCL20, CXCL3, CXCL2, CXCL12	114	59	9075	8.095450490633363	0.16598756856486763	0.035650399685440703	1.0215061683416238
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	12	6.25	8.153543539423485E-4	LIF, OSM, IL1R2, CCL2, CXCL14, CCL20, CXCL3, CXCL2, IL1B, CSF3R, CXCL12, IL1A	102	243	6879	3.3304284676833698	0.13231759738342885	0.03486026181787172	0.9940568996725241
KEGG_PATHWAY	hsa04510:Focal adhesion	11	5.729166666666666	8.326868617775157E-4	ACTG1, LAMB3, TNXB, MAP2K1, COL3A1, VEGFA, COL1A2, COL6A2, COL6A1, COL1A1, LAMB1	102	206	6879	3.6012278697886924	0.13493261246646682	0.0285734075744547	1.0150893489429547
KEGG_PATHWAY	hsa05164:Influenza A	10	5.208333333333334	9.763559172056823E-4	ACTG1, CCL2, MAP2K1, SOCS3, NFKBIA, IL1B, HSPA1A, IVNS1ABP, NLRP3, IL1A	102	174	6879	3.8759296822177145	0.1563089603598823	0.027930673038186415	1.1892692949478811
KEGG_PATHWAY	hsa05134:Legionellosis	6	3.125	0.0011047042893789752	C3, CXCL3, CXCL2, NFKBIA, IL1B, HSPA1A	102	54	6879	7.493464052287582	0.1749611451229287	0.02710096705245968	1.3446368194446334
REACTOME_PATHWAY	R-HSA-1442490:R-HSA-1442490	6	3.125	0.0011638627550863796	COL3A1, COL1A2, COL6A2, COL6A1, COL1A1, MMP2	114	64	9075	7.462993421052631	0.23140120502084371	0.04291623387088439	1.4777791186673328
KEGG_PATHWAY	hsa04621:NOD-like receptor signaling pathway	6	3.125	0.0013037924799259879	CCL2, CXCL2, NFKBIA, IL1B, NLRP3, TNFAIP3	102	56	6879	7.2258403361344525	0.20308552076066688	0.027977171475291107	1.5851920450295598
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	14	7.291666666666667	0.0015048336601513588	TNXB, MAP2K1, COL3A1, DDIT4, OSM, LAMB3, CDKN1A, VEGFA, COL6A2, COL1A2, CSF3R, COL6A1, COL1A1, LAMB1	102	345	6879	2.736743393009378	0.23051842365087905	0.028695594733485263	1.82756031671798
KEGG_PATHWAY	hsa04064:NF-kappa B signaling pathway	7	3.6458333333333335	0.0016688958226569622	PTGS2, BCL2A1, NFKBIA, IL1B, TNFAIP3, CXCL12, PLAU	102	87	6879	5.426301555104801	0.2522080314729621	0.028644777198091553	2.0249416489521166
REACTOME_PATHWAY	R-HSA-381426:R-HSA-381426	4	2.083333333333333	0.00212316638635905	IGFBP6, MMP2, IGFBP4, IGFBP5	114	21	9075	15.162907268170425	0.38143049137537477	0.06631935012375534	2.680662907484632
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	10	5.208333333333334	0.0025678158401126337	ACTG1, CDKN1A, MAP2K1, LUM, VEGFA, DCN, TIMP3, MMP2, PLAU, PLAUR	102	200	6879	3.3720588235294118	0.36069561367481684	0.03985447482183635	3.0999684043565123
KEGG_PATHWAY	hsa05202:Transcriptional misregulation in cancer	9	4.6875	0.003033612352864644	PLAT, IL1R2, NFKBIZ, CDKN1A, NUPR1, BCL2A1, BCL6, NR4A3, PLAU	102	167	6879	3.6345544205706237	0.4106003581085983	0.04309794121924537	3.652747739102269
KEGG_PATHWAY	hsa04610:Complement and coagulation cascades	6	3.125	0.0033013833199754725	PLAT, C3, C1R, C1S, PLAU, PLAUR	102	69	6879	5.864450127877238	0.43751511382903074	0.043295628785010365	3.9692098439259027
REACTOME_PATHWAY	R-HSA-216083:R-HSA-216083	6	3.125	0.00428314037614216	LUM, COL3A1, COL1A2, COL6A2, COL6A1, COL1A1	114	86	9075	5.553855569155447	0.6209429969476741	0.11419512603075155	5.339692950064934
KEGG_PATHWAY	hsa05146:Amoebiasis	7	3.6458333333333335	0.004509771773191954	IL1R2, LAMB3, COL3A1, COL1A2, IL1B, COL1A1, LAMB1	102	106	6879	4.453662597114318	0.5445525952213565	0.05462800957437419	5.385491160158962
KEGG_PATHWAY	hsa05133:Pertussis	6	3.125	0.004731626480135726	C3, IL1B, C1R, C1S, NLRP3, IL1A	102	75	6879	5.395294117647059	0.5618775996104934	0.05353106549487763	5.6434203190378955
BBID	114.Genomic_reformatting_Brain_Ischemia	4	2.083333333333333	0.006429928358800496	EGR1, HSPA1A, JUNB, IL1A	16	11	388	8.818181818181818	0.16524691373932732	0.16524691373932732	5.253390025354365
REACTOME_PATHWAY	R-HSA-186797:R-HSA-186797	4	2.083333333333333	0.007169960820657639	PLAT, COL3A1, COL6A2, COL6A1	114	32	9075	9.95065789473684	0.8033339576821813	0.16530946955116266	8.788989630692024
KEGG_PATHWAY	hsa05323:Rheumatoid arthritis	6	3.125	0.00925081432551987	CCL2, CCL20, VEGFA, IL1B, CXCL12, IL1A	102	88	6879	4.598262032085562	0.8015331466041907	0.09613098467314396	10.758920172854314
REACTOME_PATHWAY	R-HSA-1650814:R-HSA-1650814	5	2.604166666666667	0.009569110859774984	COL3A1, COL1A2, COL6A2, COL6A1, COL1A1	114	67	9075	5.940691280439905	0.8861681262982849	0.1953141057003468	11.567036639404794
REACTOME_PATHWAY	R-HSA-75205:R-HSA-75205	3	1.5625	0.010959969483730257	PLAT, PLAU, PLAUR	114	13	9075	18.370445344129553	0.9171419825366991	0.20261736026575228	13.141623086150389
KEGG_PATHWAY	hsa05020:Prion diseases	4	2.083333333333333	0.013220208313070652	EGR1, MAP2K1, IL1B, IL1A	102	34	6879	7.9342560553633215	0.9012986772753362	0.12734510763703366	15.040647246894922
REACTOME_PATHWAY	R-HSA-1474244:R-HSA-1474244	3	1.5625	0.014516745876005748	COL3A1, COL1A2, COL1A1	114	15	9075	15.921052631578947	0.9632945753511578	0.24073358886002094	17.051447125258655
