Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04650:Natural killer cell mediated cytotoxicity	17	9.090909090909092	2.1063244607468553E-12	PRF1, CD244, KIR2DL5A, KIR2DS5, CD247, KIR2DS2, KIR2DS1, FASLG, GZMB, KIR2DS4, NCR3, KIR2DL1, KIR2DL3, KLRD1, KIR2DL2, SH2D1B, KIR2DL4	90	122	6879	10.65054644808743	2.822462263907255E-10	2.822462263907255E-10	2.4661384045998602E-9
KEGG_PATHWAY	hsa04612:Antigen processing and presentation	13	6.951871657754011	1.6273263357538345E-10	KIR2DL5A, KIR2DS5, KIR2DS2, KIR2DS1, KIR2DS4, KIR3DL3, KIR2DL1, KIR2DL3, KLRD1, KIR2DL2, KIR3DL1, KIR3DL2, KIR2DL4	90	76	6879	13.074122807017542	2.1806168870597276E-8	1.0903084435298638E-8	1.9053227884313628E-7
REACTOME_PATHWAY	R-HSA-198933:R-HSA-198933	15	8.02139037433155	8.946996970099305E-9	KLRB1, LAIR2, CD247, KIR2DS2, KIR2DS1, NCR3, KIR2DL1, KLRF1, KIR2DL3, SH2D1B, KLRD1, KIR2DL2, KIR3DL1, KIR3DL2, KIR2DL4	98	186	9075	7.467906517445687	1.5836172081451494E-6	1.5836172081451494E-6	1.0989510346171016E-5
REACTOME_PATHWAY	R-HSA-2172127:R-HSA-2172127	5	2.6737967914438503	1.1061281562613577E-4	KIR2DS5, KIR2DS2, KIR2DS1, KIR2DS4, KLRD1	98	24	9075	19.29209183673469	0.019389116746036827	0.009742011769678705	0.1357799156365025
BIOCARTA	h_ctlPathway:CTL mediated immune response against target cells 	4	2.13903743315508	0.00147019987326109	PRF1, CD247, FASLG, GZMB	29	14	1625	16.00985221674877	0.0898647165260964	0.0898647165260964	1.4835647714927402
REACTOME_PATHWAY	R-HSA-1227986:R-HSA-1227986	3	1.6042780748663104	0.02891824165160381	ERBB2, YES1, MATK	98	25	9075	11.112244897959183	0.9944502183404726	0.8229516165388332	30.262855678734514
REACTOME_PATHWAY	R-HSA-180024:R-HSA-180024	3	1.6042780748663104	0.03111350231478777	PDE4A, PDE4B, PDE4D	98	26	9075	10.684850863422293	0.9962820465520197	0.7530687886299798	32.174752650017425
REACTOME_PATHWAY	R-HSA-2022854:R-HSA-2022854	3	1.6042780748663104	0.03569396400674634	B3GNT7, CHST2, B4GALT6	98	28	9075	9.9216472303207	0.9983929304202239	0.7238106448299899	36.00987743493024
BIOCARTA	h_tob1Pathway:Role of Tob in T-cell activation	3	1.6042780748663104	0.0408686013792526	CD247, TGFBR3, TOB2	29	19	1625	8.847549909255898	0.9307852037479774	0.7369129492886002	34.55158445020739
KEGG_PATHWAY	hsa04024:cAMP signaling pathway	7	3.7433155080213902	0.042655506057590074	ORAI1, ADRB2, ATP2B4, PDE4A, PDE4B, PTCH1, PDE4D	90	198	6879	2.7021885521885523	0.9970950097858915	0.8573139360589849	39.97374624262895
KEGG_PATHWAY	hsa05332:Graft-versus-host disease	3	1.6042780748663104	0.06747895019729863	PRF1, FASLG, GZMB	90	33	6879	6.948484848484848	0.9999140475449921	0.9037136838023172	55.867942703655494
KEGG_PATHWAY	hsa05330:Allograft rejection	3	1.6042780748663104	0.082370334320715	PRF1, FASLG, GZMB	90	37	6879	6.197297297297298	0.9999900588262663	0.9001179303561386	63.44901436851696
KEGG_PATHWAY	hsa04940:Type I diabetes mellitus	3	1.6042780748663104	0.10223231442809515	PRF1, FASLG, GZMB	90	42	6879	5.45952380952381	0.9999994703708481	0.9100512124766402	71.7102242509961
KEGG_PATHWAY	hsa04261:Adrenergic signaling in cardiomyocytes	5	2.6737967914438503	0.10313129005955313	ADRB2, ATP2B4, CREM, PPP2R2B, CACNA2D2	90	138	6879	2.7693236714975846	0.999999536906246	0.8755211519880914	72.04012275804087
KEGG_PATHWAY	hsa04390:Hippo signaling pathway	5	2.6737967914438503	0.13131362591457457	AREG, PPP2R2B, FBXW11, LLGL2, AXIN1	90	151	6879	2.530905077262693	0.9999999935783999	0.9053859992500646	80.76068894863091
REACTOME_PATHWAY	R-HSA-451927:R-HSA-451927	2	1.06951871657754	0.13977027622732613	HAVCR2, IL2RB	98	14	9075	13.228862973760931	0.9999999999973285	0.9882205199464571	84.26468403365519
KEGG_PATHWAY	hsa05320:Autoimmune thyroid disease	3	1.6042780748663104	0.1452094001231197	PRF1, FASLG, GZMB	90	52	6879	4.4096153846153845	0.9999999992600458	0.9032909306376553	84.07083247517207
REACTOME_PATHWAY	R-HSA-2162123:R-HSA-2162123	2	1.06951871657754	0.14897922481911832	AKR1C3, PTGDS	98	15	9075	12.346938775510203	0.9999999999996024	0.9830766257168301	86.21325630499442
REACTOME_PATHWAY	R-HSA-975577:R-HSA-975577	2	1.06951871657754	0.14897922481911832	MGAT4A, B4GALT6	98	15	9075	12.346938775510203	0.9999999999996024	0.9830766257168301	86.21325630499442
BIOCARTA	h_tcapoptosisPathway:HIV Induced T Cell Apoptosis	2	1.06951871657754	0.15995255667225153	CD247, FASLG	29	10	1625	11.206896551724137	0.9999856964407006	0.9757256259243807	82.97841174626691
