Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05213:Endometrial cancer	7	3.535353535353535	6.027099147462199E-5	NRAS, KRAS, CASP9, MAP2K1, PIK3CB, MLH1, PIK3R5	93	52	6879	9.957196029776675	0.012041745222695521	0.012041745222695521	0.07557884557036765
KEGG_PATHWAY	hsa05210:Colorectal cancer	7	3.535353535353535	1.6349216874425235E-4	KRAS, CASP9, MAP2K1, PIK3CB, MLH1, PIK3R5, RALGDS	93	62	6879	8.351196670135275	0.032330438959211394	0.016298032409821528	0.20489443146948227
KEGG_PATHWAY	hsa05221:Acute myeloid leukemia	6	3.0303030303030303	8.556373994688784E-4	NRAS, PPARD, KRAS, MAP2K1, PIK3CB, PIK3R5	93	56	6879	7.9251152073732705	0.15806859675127372	0.05573860117043439	1.0680436664698423
KEGG_PATHWAY	hsa05223:Non-small cell lung cancer	6	3.0303030303030303	8.556373994688784E-4	NRAS, KRAS, CASP9, MAP2K1, PIK3CB, PIK3R5	93	56	6879	7.9251152073732705	0.15806859675127372	0.05573860117043439	1.0680436664698423
KEGG_PATHWAY	hsa04370:VEGF signaling pathway	6	3.0303030303030303	0.0012645208287017447	NRAS, KRAS, CASP9, MAP2K1, PIK3CB, PIK3R5	93	61	6879	7.275515600211527	0.22456376410997814	0.061603189709613315	1.5747137537739042
KEGG_PATHWAY	hsa05230:Central carbon metabolism in cancer	6	3.0303030303030303	0.001570472564085999	PKM, NRAS, KRAS, MAP2K1, PIK3CB, PIK3R5	93	64	6879	6.934475806451613	0.27087720406537963	0.06122798366707394	1.9522723375117401
KEGG_PATHWAY	hsa05212:Pancreatic cancer	6	3.0303030303030303	0.0016836181379188602	KRAS, CASP9, MAP2K1, PIK3CB, PIK3R5, RALGDS	93	65	6879	6.827791563275435	0.2872983862219157	0.054885070180539564	2.0915612754905943
KEGG_PATHWAY	hsa00010:Glycolysis / Gluconeogenesis	6	3.0303030303030303	0.0019277304331963738	PKM, TPI1, ADPGK, ALDOC, BPGM, ENO1	93	67	6879	6.6239768897448235	0.32148437434806876	0.0538998269136266	2.3914579877580833
KEGG_PATHWAY	hsa04919:Thyroid hormone signaling pathway	7	3.535353535353535	0.004250442019845082	NRAS, KRAS, CASP9, MAP2K1, PIK3CB, ATP1A1, PIK3R5	93	115	6879	4.502384291725106	0.5752097096099222	0.10149225985465449	5.202963135764649
KEGG_PATHWAY	hsa04071:Sphingolipid signaling pathway	7	3.535353535353535	0.005232445977544891	GNA13, NRAS, KRAS, MAP2K1, PIK3CB, CERS5, PIK3R5	93	120	6879	4.31478494623656	0.6516274465075884	0.11056136043090403	6.369048180140302
KEGG_PATHWAY	hsa04722:Neurotrophin signaling pathway	7	3.535353535353535	0.005232445977544891	IRAK2, NRAS, KRAS, MAP2K1, PIK3CB, RIPK2, PIK3R5	93	120	6879	4.31478494623656	0.6516274465075884	0.11056136043090403	6.369048180140302
