Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	14	14.583333333333334	1.1401117476217274E-7	CXCL1, IL1R2, IL18RAP, CXCL3, CXCL2, CCL4, OSM, TNFRSF10C, CCL20, IL4R, CSF3R, IL1B, LTB, IL1A	61	243	6879	6.497065371382312	1.3225209567924168E-5	1.3225209567924168E-5	1.3007331577385983E-4
KEGG_PATHWAY	hsa05150:Staphylococcus aureus infection	7	7.291666666666667	6.3668791145422224E-6	C3AR1, FCAR, C3, FPR1, FPR2, C1S, CFD	61	54	6879	14.618397085610201	7.382876599096866E-4	3.692119887012124E-4	0.007263622444897422
KEGG_PATHWAY	hsa04610:Complement and coagulation cascades	7	7.291666666666667	2.6706613482705013E-5	C3AR1, THBD, C3, SERPING1, C1S, CFD, PLAUR	61	69	6879	11.44048467569494	0.003093214656168519	0.0010321364912790898	0.030464882454683817
KEGG_PATHWAY	hsa04668:TNF signaling pathway	8	8.333333333333332	3.5468190358335594E-5	CXCL1, FOS, PTGS2, CCL20, CXCL3, EDN1, CXCL2, IL1B	61	107	6879	8.431438639497472	0.00410593056915276	0.0010280669384261643	0.04045758113291331
KEGG_PATHWAY	hsa05133:Pertussis	7	7.291666666666667	4.3079576901481276E-5	FOS, C3, IL1B, SERPING1, C1S, NLRP3, IL1A	61	75	6879	10.525245901639344	0.0049848726407318855	9.989684110979224E-4	0.0491377322421771
KEGG_PATHWAY	hsa05132:Salmonella infection	7	7.291666666666667	7.650993795214889E-5	CXCL1, FOS, CXCL3, CXCL2, IL1B, CCL4, IL1A	61	83	6879	9.510764368951214	0.008836221425117308	0.0014781551739618815	0.08725412623289408
REACTOME_PATHWAY	R-HSA-380108:R-HSA-380108	5	5.208333333333334	9.103131781563269E-4	CXCL1, CCL20, CXCL3, CXCL2, CCL4	68	59	9075	11.309820538384844	0.10515860375276342	0.10515860375276342	1.0431032383086736
KEGG_PATHWAY	hsa04640:Hematopoietic cell lineage	6	6.25	9.111982113740219E-4	IL1R2, IL4R, IL1B, CSF3R, ANPEP, IL1A	61	87	6879	7.77727529677784	0.1003479289813396	0.014993205374638219	1.034654560192494
KEGG_PATHWAY	hsa05134:Legionellosis	5	5.208333333333334	0.0011945729572233627	CXCL1, C3, CXCL3, CXCL2, IL1B	61	54	6879	10.441712204007285	0.12947020706344659	0.017182332609924078	1.354426433721756
REACTOME_PATHWAY	R-HSA-418594:R-HSA-418594	8	8.333333333333332	0.00214905421072874	CXCL1, C3AR1, CCL20, C3, CXCL3, CXCL2, FPR1, FPR2	68	246	9075	4.340028694404591	0.23084805595684166	0.1229869191151376	2.446585980968219
