"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","enriched.in"
"1","MEF2D",92.0696853241301,-26.056811306676,2.43382933504258,-10.706096327917,9.52958974257667e-27,1.17461723167e-22,"Lean"
"2","MKI67",13.5692299387031,-23.4990365110484,2.71114234594725,-8.66757754205563,4.41411019220925e-18,2.72041611145856e-14,"Lean"
"3","TSSK1B",190.509987139077,-9.91930574229787,1.4716711041016,-6.74016477910889,1.58207107199161e-11,6.50020267778952e-08,"Lean"
"4","BASP1",171.880254687107,-6.83564917998638,1.06724891555715,-6.40492492458322,1.50443390479243e-10,4.63591307761787e-07,"Lean"
"5","HERC3",100.960691721002,-9.73420136912724,1.70100679179678,-5.72261170035951,1.04898831079223e-08,2.585965983765e-05,"Lean"
"6","LYPLA2",137.232086129091,-9.46438154639842,1.70276455788587,-5.55824438708618,2.72501661999081e-08,5.59809247633446e-05,"Lean"
"7","GJD3",29.624317800315,-7.55131578557457,1.38069425416784,-5.46921649219568,4.52029341548204e-08,7.95959094846166e-05,"Lean"
"8","ICAM3",108.49961875256,-4.02572008066361,0.757785263867682,-5.31248134876181,1.08142497963649e-07,0.000166620553737493,"Lean"
"9","ASPH",48.7159129860537,-3.80818207259894,0.741917597918599,-5.13289088071579,2.85325344939171e-07,0.000330708772387018,"Lean"
"10","BCL3",34.9047708723369,-6.19844765961953,1.21297606884808,-5.11011537557039,3.21962134402419e-07,0.000330708772387018,"Lean"
"11","LYVE1",126.609597739999,7.38780168836502,1.44289799826477,5.12011361665868,3.05351634003619e-07,0.000330708772387018,"Obese"
"12","ZNF124",129.644482797214,-5.60571062408193,1.09279274410012,-5.12971069248638,2.90187814188337e-07,0.000330708772387018,"Lean"
"13","CEBPB",146.350927099887,-6.33134963833609,1.27147885344379,-4.97951627051265,6.3743394192896e-07,0.000604385443708951,"Lean"
"14","NBPF10",28.3892848234763,-6.57662113371638,1.34757110313155,-4.88035185559657,1.05896736706018e-06,0.000870188784425582,"Lean"
"15","TMEM45A",25.7735532030214,-8.71765290920186,1.78274122342604,-4.89002710805579,1.00822092120839e-06,0.000870188784425582,"Lean"
