"Gene","airspace","bldvat","endotox","exercise","lcanc","sepsis","syno","tb"
"208014_x_at",1,0,0,0,0,0,0,0
"208540_x_at",1,0,0,0,0,0,0,0
"213788_s_at",1,0,0,0,0,0,0,0
"214236_at",1,0,0,0,0,0,0,0
"216822_x_at",1,0,0,0,0,0,0,0
"217569_x_at",1,0,0,0,0,0,0,0
"217580_x_at",1,0,0,0,0,0,0,0
"217664_at",1,0,0,0,0,0,0,0
"220452_x_at",1,0,0,0,0,0,0,0
"220691_at",1,0,0,0,0,0,0,0
"220856_x_at",1,0,0,0,0,0,0,0
"220859_at",1,0,0,0,0,0,0,0
"222295_x_at",1,0,0,0,0,0,0,0
"241508_at",0,0,0,1,0,0,0,0
"43525",0,1,0,0,0,0,0,0
"43526",0,1,0,0,0,0,0,0
"43529",0,1,0,0,0,0,0,0
"43532",0,1,0,0,0,0,0,0
"43709",0,1,0,0,0,0,0,0
"43723",0,1,0,0,0,0,0,0
"AAAS",0,1,0,0,0,0,1,0
"AAED1",0,1,0,0,0,0,0,0
"AAGAB",0,1,0,0,0,0,0,0
"AAK1",0,0,0,0,0,0,1,0
"AARS",0,0,0,0,0,0,1,0
"AASDHPPT",0,0,0,0,0,1,0,0
"AATBC",0,0,0,0,0,0,1,0
"AATK",1,0,0,0,1,0,1,0
"AB037854",1,0,0,0,0,0,0,0
"ABAT",1,0,0,0,0,0,1,0
"ABCA1",1,0,0,0,0,0,0,0
"ABCA13",0,0,0,0,0,0,1,0
"ABCA2",1,0,0,0,0,0,1,0
"ABCA5",0,0,0,0,0,0,1,0
"ABCA7",1,0,0,0,0,0,1,0
"ABCB10",0,1,0,0,0,0,1,0
"ABCB11",0,0,0,0,1,0,0,0
"ABCC10",0,0,0,0,0,0,1,0
"ABCC2",0,0,0,0,1,0,0,0
"ABCC3",0,0,0,0,0,0,1,0
"ABCC4",0,0,0,0,0,0,1,0
"ABCC5",1,0,0,0,0,0,1,1
"ABCD3",0,1,0,0,0,0,0,0
"ABCD4",0,0,0,0,0,0,1,0
"ABCG2",0,0,0,0,1,0,0,0
"ABCG4",0,1,0,0,0,0,0,0
"ABHD1",0,0,0,0,1,0,0,0
"ABHD12",0,1,0,0,0,0,0,0
"ABHD12B",0,0,0,0,1,0,1,0
"ABHD14B",0,0,0,0,0,0,1,0
"ABHD17A",0,0,0,0,0,0,1,0
"ABHD2",1,0,0,0,1,1,0,0
"ABHD3",1,0,0,0,0,0,1,0
"ABHD4",1,0,0,0,0,0,1,0
"ABHD5",1,0,0,0,1,0,0,0
"ABHD6",0,1,0,0,0,0,0,0
"ABI2",0,1,0,0,0,0,0,0
"ABI3",0,1,0,0,0,0,1,0
"ABI3BP",0,0,0,0,1,0,0,0
"ABL1",0,0,0,0,0,0,1,0
"ABLIM1",0,0,1,0,0,0,1,0
"ABO",0,1,0,0,0,0,0,0
"ABP1",0,1,0,0,0,0,0,0
"ABR",0,0,0,0,0,0,1,0
"ABTB1",0,0,0,0,1,0,1,0
"ACAA2",0,1,0,0,0,0,0,0
"ACACB",0,0,0,0,0,0,1,0
"ACAD10",0,0,0,0,0,0,1,0
"ACAD8",0,0,0,0,0,0,1,0
"ACADM",0,1,0,0,0,0,1,0
"ACADSB",0,1,0,0,0,0,1,0
"ACADVL",0,0,0,0,0,0,1,0
"ACAP1",1,0,0,0,1,0,1,0
"ACAP2",1,0,0,0,1,0,0,0
"ACAP3",0,0,0,0,0,0,1,0
"ACBD3",0,0,0,0,0,1,0,0
"ACBD4",0,0,0,0,0,0,1,0
"ACCS",0,1,0,0,0,0,1,0
"ACD",1,0,0,0,0,1,0,0
"ACE",0,0,0,0,1,0,0,0
"ACER2",0,1,0,0,0,0,0,0
"ACER3",0,0,0,0,1,0,0,0
"ACIN1",1,0,0,0,0,0,0,0
"ACKR3",0,0,0,0,1,0,0,0
"ACOT8",0,0,0,0,0,0,1,0
"ACOX1",1,0,0,0,0,0,1,0
"ACOXL",0,0,0,0,0,0,1,0
"ACP1",0,1,0,0,0,0,0,0
"ACP5",0,1,0,0,1,0,0,0
"ACPP",1,0,0,0,0,0,1,0
"ACRBP",0,1,0,0,0,0,0,0
"ACSF2",0,0,0,0,0,0,1,0
"ACSL4",0,0,0,0,1,0,0,0
"ACSM3",0,1,0,0,0,0,0,0
"ACSS1",0,0,0,0,0,0,1,0
"ACSS3",0,0,0,0,1,0,0,0
"ACTA2",0,0,0,0,1,0,1,0
"ACTBL2",0,1,0,0,0,0,0,0
"ACTG1P4",1,0,0,0,0,0,0,0
"ACTN1",1,0,0,0,0,0,1,0
"ACTN4",1,0,0,0,0,1,1,0
"ACTR10",0,1,0,0,0,0,0,0
"ACTR2",0,0,0,0,1,0,0,0
"ACTR6",0,1,0,0,0,0,0,0
"ACTRT2",0,1,0,0,0,0,0,0
"ACVRL1",0,0,0,0,1,0,0,0
"ADA",0,1,0,0,0,0,1,0
"ADA2",0,0,0,0,1,0,1,0
"ADAM19",1,0,0,0,0,0,1,1
"ADAM28",0,0,1,0,0,0,0,0
"ADAM33",0,0,0,0,1,0,0,0
"ADAM8",1,0,0,0,0,0,0,0
"ADAMTS6",0,1,0,0,1,0,0,0
"ADAMTSL4",0,0,0,0,1,0,1,0
"ADAP1",1,0,0,0,0,0,1,0
"ADAR",1,0,0,0,0,1,0,0
"ADARB1",0,1,0,0,0,0,0,0
"ADARB2",0,0,0,0,0,0,1,0
"ADCY10P1",0,0,0,0,0,0,1,0
"ADCY7",0,0,0,0,1,1,0,0
"ADD1",1,0,0,0,0,0,1,0
"ADD2",0,0,0,0,0,0,1,0
"ADD3",1,0,0,0,0,0,1,0
"ADD3-AS1",0,0,0,0,1,0,0,0
"ADGRE2",0,0,0,0,1,0,0,0
"ADGRE3",1,0,0,0,1,1,0,0
"ADGRE5",1,0,0,0,1,0,0,0
"ADGRG5",0,0,0,0,0,0,1,0
"ADH5",0,0,0,0,0,0,1,0
"ADI1",1,0,0,0,0,0,1,0
"ADIPOR1",1,0,0,0,0,0,0,0
"ADK",0,0,0,0,0,1,0,0
"ADM",0,0,0,0,1,0,0,0
"ADNP",0,0,0,0,0,1,0,0
"ADPRHL2",0,1,0,0,0,1,0,0
"ADSS",0,1,0,0,0,0,0,0
"ADSSL1",0,1,0,0,0,0,0,0
"ADTRP",0,0,0,0,1,0,0,0
"AF007147",1,0,0,0,0,0,0,0
"AF009267",0,0,0,1,0,0,0,0
"AF070620",1,0,0,0,0,0,0,0
"AF085944",0,0,0,1,0,0,0,0
"AF130051",1,0,0,0,0,0,0,0
"AFF1",0,0,0,0,0,1,0,0
"AFF2",0,0,0,0,1,0,1,0
"AFF3",0,0,0,0,1,0,0,0
"AFF4",0,0,0,0,0,1,0,0
"AFG3L1P",0,1,0,0,0,0,0,0
"AFG3L2",0,1,0,0,0,0,0,0
"AFTPH",0,1,0,0,0,0,0,0
"AGA",0,1,0,0,0,0,1,0
"AGAP2",0,0,0,0,1,0,1,0
"AGAP2-AS1",0,0,0,0,1,0,0,0
"AGAP4",0,0,0,0,0,0,1,0
"AGAP7P",0,0,0,0,1,0,0,0
"AGBL1",0,0,0,0,1,0,0,0
"AGBL5",0,1,0,0,0,0,1,0
"AGER",1,0,0,0,1,0,1,0
"AGFG1",0,0,0,0,1,0,0,0
"AGFG2",0,1,0,0,0,0,0,0
"AGL",1,1,0,0,0,0,0,0
"AGMAT",0,1,0,0,0,0,0,0
"AGO1",0,0,0,0,0,1,1,0
"AGO3",0,0,0,0,0,1,0,0
"AGO4",1,0,0,0,1,0,1,0
"AGPAT1",1,1,0,0,0,0,1,0
"AGPAT5",0,1,0,0,0,0,0,0
"AGRP",0,0,0,0,1,0,0,0
"AGTPBP1",1,0,0,0,1,0,1,0
"AGTRAP",0,0,0,0,1,0,0,0
"AHCTF1",1,0,0,0,0,0,1,0
"AHCYL1",0,0,0,0,0,1,0,0
"AHNAK",0,0,0,0,0,0,1,0
"AHSA2",1,0,0,0,0,0,0,0
"AHSA2P",0,0,0,0,0,0,1,0
"AI693193",1,0,0,0,0,0,0,0
"AIDA",0,1,0,0,0,0,0,0
"AIF1",0,0,0,0,1,0,0,0
"AIFM1",0,0,0,0,0,0,1,0
"AIM2",0,0,0,0,1,0,0,0
"AIMP1",0,1,0,0,0,0,0,0
"AJAP1",0,1,0,0,0,0,0,0
"AK021983",1,0,0,0,0,0,0,0
"AK025064",1,0,0,0,0,0,0,0
"AK5",0,1,0,0,0,0,0,0
"AKAP10",0,1,0,0,0,0,0,0
"AKAP13",1,0,0,0,0,0,1,0
"AKAP8L",0,0,0,0,0,0,1,0
"AKIP1",0,1,0,0,0,0,0,0
"AKNA",0,0,0,0,1,1,0,0
"AKR1B1",0,0,0,0,1,0,0,0
"AKT1",1,0,0,0,0,1,1,1
"AKTIP",1,1,0,0,0,0,0,0
"AL044078",1,0,0,0,0,0,0,0
"AL050032",1,0,0,0,0,0,0,0
"AL050122",1,0,0,0,0,0,0,0
"AL109684",1,0,0,0,0,0,0,0
"AL133604",1,0,0,0,0,0,0,0
"AL512728",1,0,0,0,0,0,0,0
"ALAD",0,1,0,0,0,0,1,0
"ALDH18A1",0,1,0,0,0,0,1,0
"ALDH1A1",0,0,0,0,1,0,1,0
"ALDH1A2",0,0,0,0,1,0,0,0
"ALDH2",0,0,0,0,1,0,0,0
"ALDH3A2",0,0,0,0,0,0,1,0
"ALDH3B1",1,0,0,0,0,0,1,0
"ALDH6A1",0,1,0,0,0,0,0,0
"ALDH9A1",0,1,0,0,0,1,0,0
