sample_id,customer_label,Ct,gene_copies_per_ul,genome_copies_per_ul*,DNA_ng_per_ul*
zr8258_1V3V4,Saline.HFD.Pre1,14.31,3011112424,752778106,3828.142929
zr8258_2V3V4,Saline.HFD.Pre2,13.25,23613720999,5903430250,30021.03088
zr8258_3V3V4,Saline.HFD.Post1,15.66,509094537,127273634,647.231446
zr8258_4V3V4,Saline.HFD.Post2,14.77,2572255584,643063896,3270.207365
zr8258_5V3V4,Leangavage.HFD.Pre1,14.27,4018229121,1004557280,5108.529084000002
zr8258_6V3V4,Leangavage.HFD.Pre2,13.76,5701367468,1425341867,7248.367542
zr8258_7V3V4,Leangavage.HFD.Pre3,13.69,7457579133,1864394783,9481.106914
zr8258_8V3V4,Leangavage.HFD.Pre4,14.07,3853198523,963299631,4898.719346
zr8258_9V3V4,Leangavage.HFD.Pre5,14.22,2728693340,682173335,3469.0926950000007
zr8258_10V3V4,Leangavage.HFD.End1,14.54,3152211540,788052885,4007.527657
zr8258_11V3V4,Leangavage.HFD.End2,14.86,1656467232,414116808,2105.930443
zr8258_12V3V4,Leangavage.HFD.End3,14.31,3000370756,750092689,3814.486634
zr8258_13V3V4,Leangavage.HFD.End4,14.24,6985862480,1746465620,8881.395408
zr8258_14V3V4,Leangavage.HFD.End5,15.65,594819683,148704921,756.2171207
zr8258_15V3V4,Obesegavage.HFD.Pre1,13.27,8431935770,2107983943,10719.84395
zr8258_16V3V4,Obesegavage.HFD.Pre2,13.08,14665839375,3666459844,18645.24514
zr8258_17V3V4,Obesegavage.HFD.Pre3,14.04,5018260617,1254565154,6379.9075520000015
zr8258_18V3V4,Obesegavage.HFD.Pre4,13.0,12984267672,3246066918,16507.398419999998
zr8258_19V3V4,Obesegavage.HFD.Pre5,12.31,38414784971,9603696243,48838.19225
zr8258_20V3V4,Obesegavage.HFD.End1,13.96,6269858894,1567464724,7971.112539
zr8258_21V3V4,Obesegavage.HFD.End2,14.5,3936450929,984112732,5004.561326
zr8258_22V3V4,Obesegavage.HFD.End3,16.06,598477331,149619333,760.8672291
zr8258_23V3V4,Obesegavage.HFD.End4,15.99,388013716,97003429,493.2967469
zr8258_24V3V4,Obesegavage.HFD.End5,15.62,934798515,233699629,1188.445274
zr8258_25V3V4,Obesegavage.Chow.Pre1,14.46,2396292235,599073059,3046.498399
zr8258_26V3V4,Obesegavage.Chow.Pre2,12.9,44030794355,11007698589,55978.04078
zr8258_27V3V4,Obesegavage.Chow.End1,14.22,3316665168,829166292,4216.603874
