Gene	GSM368455	GSM368458	GSM368459	GSM368460	GSM368464	GSM368840	GSM368841	GSM368842	GSM368844	GSM368845
A1CF	38.510754	34.651104	25.050556	26.118828	32.71821	53.62206	33.46986	30.240746	25.099417	55.08985
A2M	10.62763	9.780135	7.693804	6.294561	7.9996014	8.487539	7.6774	7.6213202	7.775631	8.140017
A4GALT	25.560139	42.302788	22.209782	23.388	23.941399	24.092957	23.221474	21.644123	22.242785	23.281895
A4GNT	5.100564	5.1961164	4.7316527	4.8544116	4.7193747	5.0595503	4.7975354	4.621855	4.6403356	4.8135896
AAAS	57.403187	114.04828	31.252878	39.626484	34.95958	29.27497	35.33221	28.284859	23.339216	32.31987
AACS	40.901474	45.734463	46.12663	39.850517	42.469955	42.606163	59.61418	71.09928	58.56412	54.74586
AADAC	5.1802278	5.4001355	4.460258	4.7077837	4.6235704	5.201665	4.6134987	4.361814	4.3996215	4.6964374
AAGAB	56.469326	58.26055	119.24343	75.87128	52.974136	55.856915	40.407238	66.27899	61.14236	83.9553
AAK1	139.01625	156.37592	366.20105	273.42316	267.75443	249.41646	242.29262	433.2706	404.9846	655.5894
AAMDC	74.49684	32.431053	52.819492	57.1335	54.720467	36.073532	50.042366	42.04642	48.849396	48.11155
AAMP	116.887825	119.87585	137.94646	141.44655	213.61856	108.796524	112.49786	128.42122	162.5763	106.153534
AANAT	4.949945	5.2762933	4.050468	4.316513	4.2521043	4.5297112	4.2290826	3.8997917	4.0973477	4.279618
AAR2	25.878777	25.079641	40.990772	36.278324	32.191166	29.565062	30.780117	48.749756	40.59894	32.991096
AARS	117.289764	108.59475	159.90154	171.30008	127.80295	122.013885	155.21559	155.93027	147.67702	148.96391
AARSD1 /// PTGES3L /// PTGES3L-AARSD1	50.630943	39.732357	46.779728	39.203106	36.630154	45.558693	38.275616	48.94695	45.469994	34.65916
AASDHPPT	12.224289	9.388618	50.07141	55.371803	19.451397	12.44868	86.66263	76.4207	68.748825	48.46781
AASS	11.507373	12.184364	9.16543	10.507982	9.608756	14.985766	10.152359	9.2775345	8.63091	10.300402
AATF	81.786705	79.49865	163.72316	171.23271	105.81665	102.04831	162.49693	157.39142	169.86356	157.45358
AATK	167.95505	182.46689	175.75253	152.24821	160.99599	163.34364	147.46478	148.56361	150.28302	161.47481
ABAT	185.36401	249.7466	438.4477	322.1821	329.1481	127.79405	299.03214	481.27383	360.45264	399.2104
ABCA1	154.42192	54.660824	222.01105	320.96582	91.5803	133.87593	293.8261	233.10622	283.27673	229.97993
ABCA11P	15.4024105	14.293696	9.074451	10.0674515	8.97229	11.478043	9.858503	9.038313	9.172664	10.140588
ABCA12	7.362364	8.16915	5.819815	6.629407	6.293684	7.09803	6.3601775	5.570138	6.104431	6.473767
ABCA2	22.130564	19.50835	18.51784	20.466196	20.357273	22.770132	25.402874	19.195868	22.603806	24.669899
ABCA3	5.6001997	5.941786	4.671445	5.007235	4.8860497	5.4393673	4.92383	4.510416	4.694042	4.9896073
ABCA4	6.009161	6.4434986	5.4156938	5.730316	5.6132083	5.8896313	5.612166	5.3497567	5.455037	5.6771197
ABCA5	17.642996	23.324064	17.025343	17.649544	15.640797	19.277096	16.818056	17.025343	16.051046	17.415255
ABCA6	8.430626	9.418066	6.445742	6.9736495	6.861946	7.9707036	6.9276896	6.460115	6.5382204	6.9736495
ABCA7	118.8016	116.6765	168.43906	125.32474	114.217804	175.26387	272.79596	229.60147	226.55363	203.1113
ABCA8	10.764606	11.943667	8.276748	9.419811	8.998138	11.14064	9.054679	8.217433	8.505674	9.27452
ABCB1	13.635476	14.248661	12.196246	12.3809805	14.020431	8.739311	11.632455	20.903847	19.033554	12.832527
ABCB1 /// ABCB4	32.756954	47.13597	32.286137	34.806618	25.571402	37.489044	44.93201	33.238483	31.102428	32.119545
ABCB11	9.004405	9.757925	7.2222834	7.669568	7.5509214	8.580597	7.548819	6.69339	6.962009	7.651793
ABCB4	4.7178435	4.8465347	4.143039	4.358375	4.2661366	4.6872945	4.2899566	4.009702	4.1162133	4.316513
ABCB6	23.87815	20.328953	7.9444857	8.263314	8.322574	8.640523	7.847397	7.7450233	7.240735	9.60073
ABCB7	81.86642	70.72746	83.164314	65.329384	61.65659	39.94863	62.42233	54.45198	61.62799	64.00021
ABCB8	3.8743596	4.119842	3.6088433	3.696292	3.6771328	3.7900777	3.684306	3.5596166	3.6175616	3.6938913
ABCB8 /// ASIC3	6.7856393	6.733573	5.1495523	5.841188	5.821706	6.4936223	5.774892	5.2120533	5.778645	5.821706
ABCB9	121.903564	94.766266	11.829499	19.220377	39.49248	21.671755	10.871777	15.2138195	16.766241	19.52918
ABCC1	140.4524	176.33232	192.22682	177.21825	165.01584	148.97783	250.54707	217.04558	181.2474	168.15787
ABCC10	34.79369	28.45797	89.5153	60.26779	44.729187	48.270313	54.72678	79.38622	88.82847	52.34736
ABCC2	10.37475	11.640015	7.8281217	9.47285	11.259655	10.059978	9.230729	8.673465	8.681918	9.457035
ABCC3	28.28815	14.58852	11.041324	12.200774	16.349464	13.22669	11.658396	10.945429	11.129798	11.714793
ABCC4	132.70091	103.76492	86.09152	80.31817	93.11004	241.31659	67.25333	82.6336	55.93733	97.595604
ABCC5	29.162441	44.875763	54.182304	47.898827	43.66794	44.593468	55.483654	97.33549	73.196465	63.637474
ABCC6 /// ABCC6P1 /// ABCC6P2 /// LOC101930322	9.320901	12.7198925	6.7777724	8.209812	7.551622	9.108622	7.6959467	7.0476537	7.310282	7.8696423
ABCC6 /// LOC101930322	11.4212	11.388915	7.17086	6.338818	7.779601	8.725537	8.689578	6.9352493	7.301129	8.340358
