Gene	GSM1571528	GSM1571529	GSM1571530	GSM1571531	GSM1571532	GSM1571533	GSM1571534	GSM1571535	GSM1571536	GSM1571537	GSM1571538	GSM1571539	GSM1571540	GSM1571541	GSM1571542	GSM1571543	GSM1571544	GSM1571545	GSM1571546	GSM1571547	GSM1571548	GSM1571549	GSM1571550
AAGAB	34.4840611516726	33.7846917269838	58.6118831689177	55.6888772704123	35.0942959721319	14.8777986709519	22.42330353284	79.0350858273057	36.1318414722182	40.8415932380713	43.68258657773	46.0222143144622	50.6258425046511	72.410922878624	22.6576008313243	51.6709485076253	51.2572490535821	43.68258657773	36.9814097258874	25.6188832931099	69.8024237547885	50.875140058867	54.0285386598689
AAK1	120.754249411711	94.0202553730861	500.824807067533	391.747324121634	182.635406830169	194.880542601437	204.656087189203	115.030038503642	137.294816687662	146.743761470316	137.294816687662	203.687486624297	180.574157747079	167.530910249628	230.866859402157	294.748789498716	201.846323769037	227.28825384115	218.595920190056	174.697834749279	203.932559418827	237.194310066966	250.007340248381
AAMDC	504.383555225919	469.720776341405	489.176561592255	556.334767597508	247.569262241509	459.8731891306	435.122929263757	412.51330332572	166.654384558024	82.1354618730977	489.209033160058	319.493821101402	482.242757739211	477.015665231272	386.742691160828	396.896318462561	452.00491999956	379.426389249045	376.628648911039	344.639775979843	231.954925897756	300.625322639733	318.31622594839
AASDH	13.7285917371902	13.7648374211167	53.217603937675	29.8771962853026	11.9804519981662	13.7648374211167	14.5250891972175	22.1564971619847	14.8659122381466	13.7648374211167	15.5250439125672	26.0585498588921	14.99633062333	26.3171324036627	10.5137502305871	19.9620072926951	13.7648374211167	13.7796049821308	12.5574093122079	17.2299162629729	14.1559375184266	16.9951923129266	19.2401043957416
AASDHPPT	42.9087078379714	68.2849708488845	83.6384861276938	78.4916822583022	34.3189766509329	53.3598006658616	53.5528330395465	83.4850864296826	51.510716514918	47.3010165873159	63.0166998904799	81.4500115376243	68.2849708488845	36.628942270334	129.748730709418	68.8105726520048	84.4638798632273	91.0214809805207	225.750611128558	114.55066065625	82.8244415071101	98.0416408087021	104.456375729546
AATF	166.565827410115	120.866269462612	188.909362185753	184.057431639663	168.523305873362	82.5047447321568	133.925260960212	208.481506379644	206.949324604333	196.291698103545	190.027055673494	161.833282552248	142.374049776492	180.187014716104	155.509121722738	213.018644510663	218.296205666721	193.827727887199	202.844198398512	204.439562235563	161.667853334058	201.263992061371	186.361225830804
AATK	91.7258982880684	86.8192127126167	64.4631592723488	77.0340134415497	112.922488105322	92.580810778099	82.926713019414	82.1270500938247	92.4035076837837	84.3315892188034	88.9343902502279	86.8192127126167	83.9176849207458	84.0325525733352	96.7014572797295	85.9347574266538	82.8998016642569	95.2782366606218	100.695722184966	74.9646731264274	58.992407985559	94.1225923437761	94.6418145266903
ABAT	132.389145211869	186.542723680366	110.877580182368	60.0124526715853	52.090036973462	68.2583847907081	60.2781944276721	82.2879837048814	87.8136778383694	122.470243917192	120.887593376091	131.4029509706	69.0421122795753	91.9712764944727	109.270959006773	108.411698925174	128.364171047455	185.516199756449	244.072625272572	85.553506904437	72.2145968653731	101.240917368166	124.629318090793
ABCA1	366.685633221333	219.332434834068	119.802198320655	133.353884415434	392.578831997163	645.211911209118	444.962719503886	129.82474018735	763.270877333566	518.28479192702	262.689618676552	394.489204747175	417.370003182249	460.694053830749	578.888660284393	129.494103570058	230.166528419953	128.452501899792	142.726113543357	98.2375760876022	227.801930824574	306.860690043594	295.492825440921
ABCA7	23.6077110368601	28.0434921931743	22.4137086684247	17.1992057204594	19.5075787783131	19.6911746679261	28.4651359111254	20.0337214507233	26.1943353374038	20.9551467694508	24.2471385146645	15.3437933788253	11.8945834405183	20.4806205266415	27.7143920782091	20.4737380304085	27.9422987540761	23.2540356966134	21.0969306750399	7.95205069922659	20.4737380304085	20.4737380304085	23.8337109497177
