Gene	X237L.Vneut	X237L.Bldneut	X244L.Vneut	X244L.Bldneut	X253L.Vneut	X253L.Bldneut	X270L.Vneut	X270L.Bldneut	X131_V.Neut	X131_Bld.Neut	X132_V.Neut	X132_Bld.Neut	X135_V.Neut	X135_Bld.Neut	X136_V.Neut	X136.Bld.Neut	X138L_V.Neut	X138L_Bld.Neut	X139L_V.Neut	X139L_Bld.Neut	X141_V.Neut	X141_Bld.Neut	X143_V.Neut	X143_Bld.Neut	X146_V.Neut	X146_Bld.Neut	X149_V.Neut	X149_Bld.Neut	X154_V.Neut	X154_Bld.Neut	GSM1571528	GSM1571529	GSM1571530	GSM1571531	GSM1571532	GSM1571533	GSM1571534	GSM1571535	GSM1571536	GSM1571537	GSM1571538	GSM1571539	GSM1571540	GSM1571541	GSM1571542	GSM214983	GSM214985	GSM214987	GSM214989	GSM214991	GSM214993	GSM214995	GSM214997	GSM214999	GSM215001	GSM215003	GSM215005	GSM78545	GSM78554	GSM78546	GSM78563	GSM43011	GSM78529	GSM78537	GSM78557	GSM78565	GSM43004	GSM78528	GSM78552	GSM43001	GSM43012	GSM78530	GSM78549	GSM484551	GSM484555	GSM484559	GSM484563	GSM484571	GSM484579	GSM484583
AAK1	1	4	42	9	0	16	0	7	0	6	0	16	0	0	3	1	32	5	0	9	0	10	0	6	0	6	14	4	1	18	120.754249411711	94.0202553730861	500.824807067533	391.747324121634	182.635406830169	194.880542601437	204.656087189203	115.030038503642	137.294816687662	146.743761470316	137.294816687662	203.687486624297	180.574157747079	167.530910249628	230.866859402157	585.26	624.712	547.746	459.705	248.84	377.052	403.848	525.665	603.964	885.62	738.728	537.992	43.83	23.06	17.89	18.84	41.53	38.78	21.35	29.16	22.65	20.98	17.99	20.24	17.1	41.53	21.66	43.92	29.82305	12.75618	24.76954	11.77837	18.35742	15.68178	24.05746
AASDHPPT	27	61	25	62	8	70	0	21	0	92	1	205	52	197	6	52	91	94	0	116	126	104	0	174	1	106	39	101	0	88	42.9087078379714	68.2849708488845	83.6384861276938	78.4916822583022	34.3189766509329	53.3598006658616	53.5528330395465	83.4850864296826	51.510716514918	47.3010165873159	63.0166998904799	81.4500115376243	68.2849708488845	36.628942270334	129.748730709418	322.003	328.737	273.743	224.37	142.2	174.146	206.321	288.994	192.783	326.638	463.144	209.4	24.15	31.16	52.15	23.06	49.25	112.29	32.93	57.52	155.1	123.54	57.98	114.06	177.45	81.31	68.26	61.12	43.53791	69.04842	13.60428	16.67959	50.37754	44.1663	63.97998
AATF	788	1053	1056	729	237	1743	2	651	197	342	150	590	164	486	75	87	199	543	980	376	238	584	110	554	30	449	384	266	172	561	166.565827410115	120.866269462612	188.909362185753	184.057431639663	168.523305873362	82.5047447321568	133.925260960212	208.481506379644	206.949324604333	196.291698103545	190.027055673494	161.833282552248	142.374049776492	180.187014716104	155.509121722738	326.779	396.924	298.357	383.773	311.632	383.6	367.576	431.516	464.145	332.737	314.292	326.792	180.49	95.23	125.97	119.57	214.47	167.8	67.19	76.6	50.69	112.17	125.42	167.03	177.5	196.29	162.4	176.88	323.3251	310.1013	373.5323	349.8601	451.9264	312.7103	331.2554
AATK	565	720	1547	859	386	958	7	926	1162	309	1168	832	561	524	1440	1036	1054	1034	382	494	1096	1199	361	1668	823	701	793	138	521	755	91.7258982880684	86.8192127126167	64.4631592723488	77.0340134415497	112.922488105322	92.580810778099	82.926713019414	82.1270500938247	92.4035076837837	84.3315892188034	88.9343902502279	86.8192127126167	83.9176849207458	84.0325525733352	96.7014572797295	158.776	177.696	363.909	399.929	320.172	520.78	386.605	280.772	306.404	116.157	253.768	255.155	83.64	125.02	81.19	83.64	120.6	45.5	143.84	145.5	101.32	109.67	65.39	138.37	31.3	25.47	31.23	30.48	83.94329	23.73453	57.2794	10	39.94288	48.22864	55.41585
ABAT	263	199	413	259	104	283	0	167	610	588	89	1299	326	776	502	2011	486	1363	0	953	4	944	4	2582	0	843	350	319	174	1226	132.389145211869	186.542723680366	110.877580182368	60.0124526715853	52.090036973462	68.2583847907081	60.2781944276721	82.2879837048814	87.8136778383694	122.470243917192	120.887593376091	131.4029509706	69.0421122795753	91.9712764944727	109.270959006773	605.007	299.323	965.137	441.185	577.512	521.427	529.055	474.662	415.966	232.751	519.717	439.51	302.51	229.71	199.28	227.86	355.12	551.29	243.49	198.07	112.32	153.9	368.4	238.39	158.11	46.18	329.09	171.97	26.71385	17.50603	32.67303	10	10	12.15598	18.51749
ABCA1	1025	371	680	488	311	648	2	470	154	184	83	166	190	207	108	396	296	468	76	180	112	472	34	668	390	404	369	170	154	655	366.685633221333	219.332434834068	119.802198320655	133.353884415434	392.578831997163	645.211911209118	444.962719503886	129.82474018735	763.270877333566	518.28479192702	262.689618676552	394.489204747175	417.370003182249	460.694053830749	578.888660284393	247.972	1106.35	855.929	998.584	967.252	1601.6	917.228	798.422	349.602	347.913	322.264	540.249	314.46	280.87	257.47	373.52	444.1	364.25	111.73	237.02	263.12	285.72	229.35	448.7	152.38	175.15	80.81	68.07	1699.667	2291.257	1330.969	2012.813	1680.09	2581.438	1533.999
ABCA7	10	248	319	329	121	324	2	296	93	92	97	151	82	151	162	150	215	200	47	206	236	197	85	176	219	157	283	150	69	159	23.6077110368601	28.0434921931743	22.4137086684247	17.1992057204594	19.5075787783131	19.6911746679261	28.4651359111254	20.0337214507233	26.1943353374038	20.9551467694508	24.2471385146645	15.3437933788253	11.8945834405183	20.4806205266415	27.7143920782091	424.007	243.777	727.827	383.782	638.767	634.673	369.661	713.525	377.086	217.552	438.996	270.408	70.68	91.04	44.43	45.49	501.12	92.76	47.85	84.11	24.31	49.99	82.34	63.56	18.94	53.24	20.16	8.89	413.7428	244.7248	513.7969	353.9249	624.424	190.1854	499.7763
ABCC1	5	279	143	206	39	182	0	81	63	67	47	126	225	199	124	158	39	109	73	98	1	150	24	285	0	104	137	123	83	494	128.136376254369	83.6779454312921	241.283847028478	153.682843559129	138.821140547152	210.832170240361	188.046363874072	76.9124256668295	167.990633733562	190.404234152658	205.769712563442	108.062368122309	120.453064661609	117.418204111249	277.777530149684	277.215	324.036	177.113	376.986	234.348	349.387	224.294	288.606	288.421	311.26	311.491	273.45	54.73	53.47	43.66	59.85	103.16	103.73	51.95	44.74	50.91	57.33	35.42	58.23	112.66	197.01	57.05	101.98	10	10	12.49989	10	10	10	16.95431
ABCC10	73	24	22	100	1	50	0	13	1	6	3	23	16	38	7	4	19	8	0	8	0	16	0	17	0	6	4	8	13	42	6.80635805190068	7.23707232241464	18.3712769676701	12.6477474300597	7.62506976789316	6.24603902808647	9.10198230126909	8.13582758595878	7.9716685647422	7.84674744803715	7.84367913094567	7.43266000615185	7.62170099362361	6.39101327032285	11.183605494104	208.256	173.936	75.5648	85.0999	26.3088	58.5767	79.4292	159.254	103.56	190.197	225.413	138.943	5.28	5.56	5.13	5.76	10.18	11.12	5.84	5.46	5.81	5.76	13.09	5.53	36.05	15.93	5.42	6.05	10	20.3275	11.8804	10	20.43716	18.49035	10
ABCC5	361	403	716	350	0	459	0	136	51	80	35	277	124	188	39	31	70	340	0	126	2	227	137	139	74	58	68	62	74	189	83.515872786362	213.019842867996	152.494770078522	161.071971833281	53.5875730278166	65.7757071192349	82.293702901072	82.799119854241	176.287511360602	251.624260328598	98.6366862935276	58.1523484825292	80.75608313158	105.599743046669	79.243329341457	185.499	125.761	316.919	205.251	150.866	166.855	216	163.772	162.549	47.3064	152.333	160.79	29.92	47.79	13.85	19.64	120.82	42.03	6.41	49.18	7.63	29.71	17	14.28	4.72	4.94	4.98	4.14	319.2985	85.96256	139.0841	25.65467	163.38	174.3847	225.2587
ABCG1	12	61	122	65	28	65	3	139	1	5	1	6	3	4	0	0	23	15	25	4	5	4	0	4	10	4	12	4	3	6	487.542166938305	449.645196051338	70.9989028682028	56.5887283212557	311.043823879435	794.531305275255	476.497965480758	59.0941406861835	459.520018139962	311.296263075697	53.8975362023236	74.5947313526406	105.738892938109	242.055423433297	448.977522244748	135.969	319.304	393.842	390.203	364.863	482.012	338.902	215.529	176.758	65.1527	56.9249	273.533	88.65	53.06	66.45	48.51	128.81	86.39	26.87	56.05	39.24	34.24	40.27	92.55	275.17	23.31	38.02	29.03	108.5478	104.5132	83.97432	67.84146	131.9266	107.9339	119.3098
ABHD10	7	118	0	62	0	91	0	21	0	14	0	31	11	41	0	12	6	3	0	27	43	24	2	39	32	16	1	25	0	33	21.4240930700754	16.0760687928196	28.100141088402	12.1827768533091	15.9711701104998	22.0492855556448	28.2756687931867	47.3139704642742	29.3001644536004	25.4490019113423	32.3595074882102	28.7390398675945	91.0125312911449	50.2092649366277	51.1209965405342	176.161	146.227	52.8961	50.2938	47.1847	43.3765	26.4921	62.6395	54.6639	204.668	111.522	49.846	4.93	5.15	4.95	5.06	5.03	11.72	5.29	5.72	6.82	5.12	5.49	9.17	37.89	5.71	4.93	5.15	10	21.35934	10	10	10	10	10
ABHD11	2	27	5	43	1	37	2	54	13	12	3	51	17	22	3	13	0	64	0	41	0	24	0	27	0	19	39	19	0	31	19.2016848696154	38.2688797948731	56.7575369322133	44.3865131530739	19.5625566805072	34.0402083206032	24.9477754056841	9.60652315202968	21.8457218416858	26.3537596034815	18.107949548203	20.6543897762754	24.6268389455106	22.4151179987333	37.7829304603082	61.7762	70.0994	60.2531	77.2474	96.6971	60.7522	101.275	101.231	99.5523	36.0356	67.9076	84.3372	8.45	10.85	8.73	11.59	27.5	11.57	12.08	11.46	11.66	11.79	10.77	10.91	11.01	13.1	14.51	11.5	13.59821	15.99073	13.91134	10.9905	15.66933	11.86331	24.23718
ABHD2	848	2728	5569	5833	1725	5547	10	3883	2368	705	1774	1379	4241	1451	3695	1559	2245	1409	5768	907	1239	1413	3621	3165	650	1282	2938	828	1206	4981	1043.13060049558	1076.50449632274	1126.00417397208	738.118381447964	1150.86632780624	1033.5611771507	799.948139979338	866.831937651059	920.827581589003	647.513273068189	1268.79974423695	1941.09747293058	784.122986657717	744.519805372144	1329.21468351692	1188.17	912.319	1658.67	1717.59	1803.83	2788.39	2598.4	1818.38	2209.02	749.048	1350.63	1211.47	286.88	258.88	300.19	409.42	172.06	268.95	125.79	79.36	68.8	170.19	290.7	142.24	49.22	34.35	75.64	44.04	123.5009	175.4132	135.8563	143.4916	133.5819	113.2065	98.93157
ABHD3	341	1020	856	1482	201	2242	2	2013	740	936	385	1626	1126	1272	1679	2074	503	1295	102	868	441	1332	153	2521	345	1585	529	501	305	1574	24.3384348592951	21.237526404606	19.3622243078138	12.5035303870777	20.6743078290107	23.3553522144024	28.974624129117	19.6976422153403	32.0790673248732	30.4304138847223	29.3194747475251	45.7270832135626	57.9933543335177	38.9982311294618	33.9227647705513	1141.08	1111.5	1358.32	1085.62	2101.71	1419.01	1496.28	1479.48	1226.08	1016.8	1032.78	1196.55	270.77	284.67	235.01	303.21	469.76	937.66	425.22	367.82	451.45	789.77	1027.7	335.47	193.6	127.26	254.11	187.73	756.2302	866.1714	703.9072	764.4639	889.1103	520.0725	1028.975
ABHD4	56	299	230	303	98	430	2	427	51	85	60	176	141	125	20	201	17	203	38	118	0	207	154	321	20	141	86	50	27	166	25.4585776997434	27.090765968757	18.8719837326798	17.0103097859845	22.4906736834947	32.9856837205271	25.3022410200874	24.8117198073267	57.6660409997433	26.6732493797574	28.1478410269032	25.7680325835029	29.0605559107444	25.3022410200874	39.4322646034688	204.759	236.156	314.557	450.897	590.637	398.034	384.758	394.1	284.219	173.981	279.475	341.466	50.52	41.13	35.36	30.07	120.55	59.12	35.96	39.87	39.95	35.62	44.09	73.71	19.15	33.7	27.55	15.8	60.00829	24.14034	38.12397	38.38511	27.56488	26.43686	62.83271
ABHD5	1376	1940	6411	1307	1069	2563	5	1496	807	616	1055	1191	751	754	1303	625	1826	1206	1754	773	906	977	469	1254	909	717	1556	275	1076	841	1535.17059726647	1173.83379981871	1335.75475729954	1655.91195350484	910.461048707264	2011.18083245003	1055.6718976097	1453.34068824609	1729.31376671323	1646.60436463228	826.202108621717	783.474156582788	1163.71216675532	1017.13819564085	1599.31222449229	973.696	1005.01	1680.49	1706.12	1783.7	1464.32	1900.83	1376.75	1206.38	669.881	924.595	1362.78	2001.33	1526.56	1074.76	482.12	392.4	459.46	513.91	1408.56	515.62	137.27	358.86	699.33	129.17	36.71	600.43	384.28	804.9604	609.8229	479.479	336.0083	497.5978	436.6984	569.308
ABI1	172	459	1247	577	376	993	1	698	325	450	404	1288	518	795	477	529	543	1013	0	750	431	955	423	1459	378	828	656	455	274	849	572.072642249336	687.523811954787	729.58320002867	636.14253861391	449.956623520817	854.325780381263	673.895424378138	682.187008760053	823.333187378573	619.80982716641	758.565269022632	1087.50373460336	1239.08705013589	951.887388040553	610.70171228973	1695.61	2130.67	2081.14	2003.95	2537.12	1750.26	2107.58	2108.34	1812.9	2008.97	1499.68	1496.02	1050.64	1026.06	755.5	819.54	592.43	1340.1	867.78	970.76	760	792.56	1279.07	1136.85	1158.11	409.66	909.34	1119.56	262.2527	278.9953	207.5533	248.9553	217.1104	261.5432	225.5459
ABL2	48	16	37	48	39	85	1	29	47	18	0	43	16	30	1	1	15	28	0	11	0	29	0	15	0	25	10	15	6	15	36.063627923997	78.3659677366348	51.2903229082601	35.0191099157641	41.2797577149047	37.4595694857495	37.3514470470858	80.735823870412	35.0191099157641	28.1493730016189	26.8198824333741	35.9694744176617	93.9095069685025	88.4674467417902	28.9658529060039	76.1239	105.745	94.9436	74.9357	43.4007	66.7575	68.7953	69.2764	50.0617	60.7547	82.8287	65.5295	3.51	3.59	3.5	3.58	3.51	3.47	3.62	3.54	3.58	3.58	3.52	3.46	3.33	3.51	3.53	3.6	10	14.32409	10	10	10	13.29446	10
ABR	51	0	3	4	0	0	0	1	0	2	0	4	5	3	0	0	0	3	0	2	0	3	0	0	0	1	2	3	0	6	156.414861367574	168.086350658063	149.798336434243	121.875972875283	105.632853690392	104.686432356715	124.439254691476	143.108887956306	137.697947608438	224.50646112448	177.238342013661	108.735756289542	86.8142675053036	116.52800636895	266.287146667501	614.488	693.916	888.29	729.398	859.333	1127.62	989.627	1158.68	760.59	535.409	780.287	775.129	234.37	188.12	175.74	188.63	417.54	227.37	193.81	184.28	136.77	156.6	235.93	173.57	440.43	246.5	400.18	258.3	967.1552	1055.481	867.2004	573.764	903.4199	894.6075	1074.584
ABT1	113	192	87	218	45	225	3	173	0	91	46	111	77	143	15	75	48	152	0	115	0	156	0	259	0	115	35	92	7	170	24.8134641934037	22.3047746467529	27.930510255877	35.7164400409766	24.8055726690136	25.1273318426706	25.0880204249985	24.8134641934037	27.8697948177934	16.2306101120188	24.8055726690136	22.349411685062	17.174652217436	20.2701651357448	33.5653865977894	227.95	248.138	170.783	213.585	168.363	197.596	280.448	291.583	273.228	228.59	196.335	255.586	77.97	37.45	41.77	39.04	102.04	85.59	39.37	39.25	36.66	42.31	94.45	76.55	116.33	85.35	96.46	62.7	10	12.69835	17.68148	10	10	10	10
ACAA1	524	976	1025	949	215	1070	1	715	142	349	586	877	722	642	316	477	651	874	194	565	917	960	630	1374	251	641	514	403	151	1610	798.111268365382	708.453296010874	633.614100323052	705.806393740665	410.216164536494	572.792171570577	562.802178984667	703.404613433031	667.308990105047	607.05064483667	542.587482580559	496.29479984706	620.338566524661	555.994162252023	714.513603709596	1108.12	1112.54	1148.44	730.144	1089.85	834.584	1119.88	1561.45	581.471	676.71	1087.9	906.965	484.55	342.6	335.66	431.82	919.08	602.85	272.23	314.55	304.64	564.4	645.69	337.53	833.51	614.9	666.13	223.13	546.7156	530.1641	395.8639	307.6421	533.9404	729.4333	435.9286
ACACB	2672	216	113	91	1	101	0	37	225	49	23	85	94	141	122	57	228	40	0	56	0	140	0	154	0	42	83	108	86	219	413.180340254861	83.629476154089	819.936137240452	643.906027210539	74.0699991226157	46.5643295140798	166.694942198658	173.623669924783	328.180624801597	433.265583411625	118.315367139881	6.52635756620932	69.7958919690461	249.255410359253	14.1908592553935	11.3813	18.4035	11.7385	12.8345	17.4276	21.845	13.2839	12.8682	13.0279	12.8568	12.4352	12.7401	7.29	7.68	7.2	7.72	7.28	6.28	8.34	7.57	8.13	8.25	7.02	7.08	6.01	7.08	7.29	7.69	12.48759	10	10	10	23.81429	10	10.44988
ACAD8	182	103	133	148	103	247	3	133	75	91	19	276	57	211	18	27	0	142	0	127	141	203	1	145	0	165	42	177	0	145	15.4250996557437	12.8749509685192	29.4778743028388	15.9348955449027	13.0301556913744	10.8613676888045	14.4945028918469	15.7594893475432	13.8859074513108	10.0776246928775	18.6854154146903	42.4416483599723	15.5939709182438	15.4250996557437	15.4250996557437	309.313	171.241	113.828	115.457	189.189	174.424	200.022	282.895	130.625	162.007	205.346	103.096	10.33	5.48	7.4	5.52	6.88	41.32	5.24	5.47	5.56	5.29	12.09	6.54	29.13	6.02	4.98	5.57	73.18525	61.61552	142.0532	126.3129	74.47308	67.06447	89.6897
ACADVL	93	116	54	70	8	88	2	50	25	29	4	36	16	26	0	1	14	13	33	12	9	17	2	10	37	17	16	15	6	15	37.7730994228696	70.2647897402843	250.554326361053	88.3328882234559	50.8988593652151	37.7730994228696	66.3963967814975	59.2163551407485	37.7730994228696	23.5794634321008	63.5156612788235	71.6092639461408	21.9611491137248	29.8489637500136	23.3068186851684	588.028	462.243	593.65	302.03	450.163	449.36	447.244	571.022	398.338	575.246	633.807	534.334	51	82.54	34.08	26.92	175.55	162.91	18.25	42.74	16.58	68.18	130.81	72.6	366.29	92.05	37.41	30.93	764.0605	430.9311	615.057	611.9052	672.6036	605.6158	490.1616
ACAT2	1	51	20	39	4	59	0	23	0	25	24	29	14	29	1	8	49	12	0	18	52	19	0	24	59	18	9	29	24	17	184.230038604412	357.59717075614	781.338909070886	206.678009323483	202.027537825243	140.99455541653	242.724203282174	198.40995665814	221.185831255286	126.701653584221	258.902093537598	470.71717754503	314.404323372292	299.295724589768	170.413417925129	55.3585	94.979	52.6864	83.7587	52.342	59.2414	60.2615	59.7041	64.8265	60.9416	117.443	95.9184	33.7	34.29	66.44	52.13	19.6	16.09	9.44	19.7	26.37	20.51	11.6	14.91	25.22	37.42	15.86	20.39	45.71036	82.0778	85.83451	114.3354	99.06979	74.17125	69.37276
ACBD3	46	157	103	186	11	272	1	104	122	116	27	294	200	257	102	266	76	219	113	180	101	297	372	466	0	219	174	142	76	409	192.550037916265	121.471551700583	141.390197188092	179.941503463322	154.083849544185	177.825071574508	162.12832938407	235.23173542853	179.966709847751	162.399220103465	202.710878635762	292.332738670824	320.16423441631	184.914505853149	191.824039654132	885.975	652.227	513.248	376.657	386.339	436.817	585.572	558.377	446.211	900.504	595.559	463.619	114.35	73.17	95.73	59.81	157.07	176.91	89.71	56.27	43.39	103.41	128.76	102.85	356.82	145.92	110.94	101.79	209.9014	232.0581	141.0591	152.4183	199.04	186.0704	258.6432
ACD	7	130	42	108	60	75	14	186	21	116	13	125	115	98	33	56	76	257	0	217	41	92	12	135	24	93	62	65	7	68	18.150542596364	8.75540323307546	15.420358681634	19.5579630881316	18.8217056503284	18.4788039308937	18.150542596364	9.04089710708671	16.6204705684876	20.777211763789	22.1913970878946	15.4092771881599	18.4788039308937	16.1590838416963	40.2587145216819	305.346	241.905	195.28	232.86	222.855	209.161	325.445	331.735	130.483	129.681	194.149	191.08	34.12	28.84	30.64	28.59	77.92	46.31	27.03	25.29	28.78	25.45	28.11	27.66	24.58	38.71	16.72	23.35	56.98244	55.17303	36.48141	44.39476	71.2925	49.98664	72.60122
