Gene	X237L.Vneut	X237L.Bldneut	X244L.Vneut	X244L.Bldneut	X253L.Vneut	X253L.Bldneut	X270L.Vneut	X270L.Bldneut	X131_V.Neut	X131_Bld.Neut	X132_V.Neut	X132_Bld.Neut	X135_V.Neut	X135_Bld.Neut	X136_V.Neut	X136.Bld.Neut	X138L_V.Neut	X138L_Bld.Neut	X139L_V.Neut	X139L_Bld.Neut	X141_V.Neut	X141_Bld.Neut	X143_V.Neut	X143_Bld.Neut	X146_V.Neut	X146_Bld.Neut	X149_V.Neut	X149_Bld.Neut	X154_V.Neut	X154_Bld.Neut	GSM214983	GSM214985	GSM214987	GSM214989	GSM214991	GSM214993	GSM214995	GSM214997	GSM214999	GSM215001	GSM215003	GSM215005	GSM78545	GSM78554	GSM78546	GSM78563	GSM43011	GSM78529	GSM78537	GSM78557	GSM78565	GSM43004	GSM78528	GSM78552	GSM43001	GSM43012	GSM78530	GSM78549	GSM484551	GSM484555	GSM484559	GSM484563	GSM484571	GSM484579	GSM484583
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.44309	8.91501	9.50916	12.0047	11.5385	12.3352	10.1565	9.70108	9.7246	8.78643	8.83405	9.50486	7.77	9.14	7.71	11.08	6.82	7.31	8.21	9.66	21.19	12.54	7.53	9.2	6.89	7.56	5.92	8.11	10	10	10	10	10	10	10
A2M	0	5	10	3	0	1	0	4	190	0	2	0	3	1	10	0	26	2	0	1	0	0	1359	1	0	0	65	1	20	0	4.98906	4.96605	5.15112	5.50855	5.53165	5.51401	5.30665	5.20571	5.18897	5.05847	4.96424	5.18599	6.15	6.76	6.57	6.53	6.54	5.57	6.82	6.66	7.39	6.9	6.24	6.4	8.35	6.51	6.2	6.43	10	10	10	10	10	10	10
A4GALT	77	5	0	0	0	0	1	2	50	0	0	0	0	1	0	0	0	0	0	5	0	0	0	2	0	2	2	1	0	0	7.76404	7.7376	9.14435	9.13727	11.9007	9.72962	9.0781	8.82561	10.0926	8.65777	7.97015	8.68266	4.62	4.85	4.71	4.84	4.72	4.61	4.95	4.76	4.83	4.91	4.7	4.52	4.3	4.63	4.77	4.81	10	10	10	10	10	10	10
A4GNT	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2429	3.2199	3.28152	3.31355	3.41244	3.32753	3.3204	3.28747	3.26811	3.25305	3.09509	3.23425	3.2	3.26	3.17	3.26	3.18	3.05	3.33	3.22	3.42	3.26	3.21	3.15	3.08	3.19	3.2	3.26	10	10	10	10	10	10	10
AAAS	0	10	2	34	1	54	5	12	0	3	0	14	1	19	0	2	0	7	0	6	0	2	0	8	0	5	2	17	0	21	41.4536	39.158	26.3058	41.1612	24.3362	34.5009	33.8068	48.4579	34.848	43.5272	28.5872	41.8563	32.93	29.13	29.15	40.77	30.22	27.73	40.16	33.33	33.58	33.28	30.12	37.51	28.17	26.79	36.29	34.57	10	10	10	10	10	10	10
AACS	73	104	33	34	0	37	1	15	4	16	4	38	7	18	0	7	0	8	26	16	0	17	0	18	0	16	14	22	2	32	88.1742	67.9483	96.2683	67.7882	74.8528	89.6223	67.8858	66.9508	59.3709	74.9178	96.7704	90.3126	13.55	14.67	13.53	14.65	14.41	12.72	15.6	14.69	15.21	16.48	13.43	14.89	15.78	17.04	13.89	14.55	15.26155	14.99946	10	10	10	10	17.05385
AADAC	156	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	4.57848	4.52086	4.66876	4.90593	5.27189	5.07642	4.8672	4.73623	4.72156	4.6074	4.43733	4.61171	4.98	5.15	4.91	5.17	5	4.74	5.41	5.07	5.25	5.32	4.97	4.95	4.48	4.98	5.05	5.17	10	10	10	10	10	10	10
AAK1	1	4	42	9	0	16	0	7	0	6	0	16	0	0	3	1	32	5	0	9	0	10	0	6	0	6	14	4	1	18	585.26	624.712	547.746	459.705	248.84	377.052	403.848	525.665	603.964	885.62	738.728	537.992	43.83	23.06	17.89	18.84	41.53	38.78	21.35	29.16	22.65	20.98	17.99	20.24	17.1	41.53	21.66	43.92	29.82305	12.75618	24.76954	11.77837	18.35742	15.68178	24.05746
AAMP	102	74	27	126	18	169	2	25	95	126	22	300	193	323	29	53	123	249	463	215	435	208	2	241	356	202	54	159	0	260	283.081	276.817	162.749	277.742	183.685	158.233	199.061	238.646	284.641	319.237	309.361	381.949	15.16	15.44	15.57	15.85	15.38	15.74	19.01	15.57	15.78	16.06	15.28	14.83	58	28.8	15.38	16.1	13.84098	10.22814	20.42793	15.83568	14.97463	23.68491	32.08509
AANAT	0	1	0	2	2	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4.34998	4.29657	4.41124	4.48945	4.52795	5.19528	4.49748	4.40679	4.41455	4.34244	4.15684	4.63208	3.83	3.93	3.79	3.91	3.83	3.75	3.97	3.87	3.92	4.02	3.82	3.76	3.61	3.8	3.75	3.92	10	10	10	10	10	10	10
