"file_id.BAM","file_name.BAM","file_id.expression","file_name.expression","cancer","source"
"469cd637-42dd-444f-acae-ce730f8a1df6","07f95427-39be-4884-b539-c9f3e329bebc_gdc_realn_rehead.bam","6c035588-d267-4b39-9ef4-9c82d0bd567c","39ef3ef1-d868-4c8c-81a1-238451a08f11.FPKM.txt.gz","LUAD","tumor"
"469cd637-42dd-444f-acae-ce730f8a1df6","07f95427-39be-4884-b539-c9f3e329bebc_gdc_realn_rehead.bam","dfb84e40-76f3-43bd-bff7-fc9362d62880","39ef3ef1-d868-4c8c-81a1-238451a08f11.htseq.counts.gz","LUAD","tumor"
"469cd637-42dd-444f-acae-ce730f8a1df6","07f95427-39be-4884-b539-c9f3e329bebc_gdc_realn_rehead.bam","edf93742-e99f-493e-aa9c-5c0839da46d5","39ef3ef1-d868-4c8c-81a1-238451a08f11.FPKM-UQ.txt.gz","LUAD","tumor"
"6c83cb7e-2af5-4241-8afd-ba1bf71f73e1","4741c9f3-fed1-46ca-836b-264bdb905e89_gdc_realn_rehead.bam","65722819-84bc-4772-aa5a-42e517e1a3e6","1916f968-78bb-4ac4-8ddf-0585132076a9.FPKM.txt.gz","LUAD","tumor"
"6c83cb7e-2af5-4241-8afd-ba1bf71f73e1","4741c9f3-fed1-46ca-836b-264bdb905e89_gdc_realn_rehead.bam","8ed4cb7a-2639-479c-b552-8307c92efab6","1916f968-78bb-4ac4-8ddf-0585132076a9.FPKM-UQ.txt.gz","LUAD","tumor"
"6c83cb7e-2af5-4241-8afd-ba1bf71f73e1","4741c9f3-fed1-46ca-836b-264bdb905e89_gdc_realn_rehead.bam","7c7d3aa4-4b9a-4ecb-b2ef-9b4d5a14f1f8","1916f968-78bb-4ac4-8ddf-0585132076a9.htseq.counts.gz","LUAD","tumor"
"c3de5df5-9589-4fa8-af71-8ec82cfcd721","0a18b687-11be-427b-82a9-b11d80b0ea3d_gdc_realn_rehead.bam","be9f095f-88c4-4712-82af-0d674c98b222","31dc5fe1-f1d2-4a41-b939-fb08745c8d8a.htseq.counts.gz","LUAD","tumor"
"c3de5df5-9589-4fa8-af71-8ec82cfcd721","0a18b687-11be-427b-82a9-b11d80b0ea3d_gdc_realn_rehead.bam","7bd6ff96-9c36-4188-b11e-2131a99a8ab8","31dc5fe1-f1d2-4a41-b939-fb08745c8d8a.FPKM-UQ.txt.gz","LUAD","tumor"
"c3de5df5-9589-4fa8-af71-8ec82cfcd721","0a18b687-11be-427b-82a9-b11d80b0ea3d_gdc_realn_rehead.bam","13f2b3e6-3c45-4232-aa3b-2b40c7f94947","31dc5fe1-f1d2-4a41-b939-fb08745c8d8a.FPKM.txt.gz","LUAD","tumor"
"65aac402-459b-407d-867c-d8876c6df495","80c84645-5441-4a13-9b44-c5d6b4909d93_gdc_realn_rehead.bam","fd72ba8d-3af1-4dc0-a74d-3ce5e167f29c","9c62a984-f89a-4838-af13-786468b293c1.FPKM-UQ.txt.gz","LUAD","tumor"
"65aac402-459b-407d-867c-d8876c6df495","80c84645-5441-4a13-9b44-c5d6b4909d93_gdc_realn_rehead.bam","cb03cd79-4d26-43b7-9a84-40a322a75c95","9c62a984-f89a-4838-af13-786468b293c1.FPKM.txt.gz","LUAD","tumor"
"65aac402-459b-407d-867c-d8876c6df495","80c84645-5441-4a13-9b44-c5d6b4909d93_gdc_realn_rehead.bam","00e3c529-4162-4d0e-9d97-ec806a40e345","9c62a984-f89a-4838-af13-786468b293c1.htseq.counts.gz","LUAD","tumor"
"67725efb-f2f9-48c6-aab1-87e13b07f62e","bf0af5cc-bc1c-4d6f-bd02-b47e61d98340_gdc_realn_rehead.bam","25a455b0-8ce5-49a9-851c-332193dc23a8","220a9619-e17e-4529-bf80-9b99dbd49d21.FPKM.txt.gz","LUAD","tumor"
"67725efb-f2f9-48c6-aab1-87e13b07f62e","bf0af5cc-bc1c-4d6f-bd02-b47e61d98340_gdc_realn_rehead.bam","9d3d04ec-ee60-4b7d-ba9e-ada514059616","220a9619-e17e-4529-bf80-9b99dbd49d21.htseq.counts.gz","LUAD","tumor"
"67725efb-f2f9-48c6-aab1-87e13b07f62e","bf0af5cc-bc1c-4d6f-bd02-b47e61d98340_gdc_realn_rehead.bam","32e59fbe-d134-4a23-bfc0-aa4d665e9b8d","220a9619-e17e-4529-bf80-9b99dbd49d21.FPKM-UQ.txt.gz","LUAD","tumor"
"0e7244bb-5f69-465d-98c8-34adb519489d","5184a284-2486-4c21-acdd-b52e3b3d014f_gdc_realn_rehead.bam","204b3bb7-25d1-4b98-bc71-460fecbfbde3","c839556e-515d-4793-9960-0edd0a71a101.FPKM-UQ.txt.gz","LUAD","tumor"
"0e7244bb-5f69-465d-98c8-34adb519489d","5184a284-2486-4c21-acdd-b52e3b3d014f_gdc_realn_rehead.bam","7592794b-1892-4a96-a6c2-759ce6879281","c839556e-515d-4793-9960-0edd0a71a101.htseq.counts.gz","LUAD","tumor"
"0e7244bb-5f69-465d-98c8-34adb519489d","5184a284-2486-4c21-acdd-b52e3b3d014f_gdc_realn_rehead.bam","567ffbb9-535c-4bd4-8ad9-a118c4d81b02","c839556e-515d-4793-9960-0edd0a71a101.FPKM.txt.gz","LUAD","tumor"
"1d56ae2e-5505-46d7-b924-deb7390b14cb","368ddefd-8538-426b-9015-a3c7f3bb7850_gdc_realn_rehead.bam","74d08691-a8f0-4fab-8f66-17ab8fd15aac","2b5a102d-0462-4fee-a1f1-21dca1390db0.FPKM.txt.gz","LUAD","tumor"
"1d56ae2e-5505-46d7-b924-deb7390b14cb","368ddefd-8538-426b-9015-a3c7f3bb7850_gdc_realn_rehead.bam","f77d5763-da3b-40ed-862e-bbe46f9cad92","2b5a102d-0462-4fee-a1f1-21dca1390db0.FPKM-UQ.txt.gz","LUAD","tumor"
"1d56ae2e-5505-46d7-b924-deb7390b14cb","368ddefd-8538-426b-9015-a3c7f3bb7850_gdc_realn_rehead.bam","2297ba46-b1fe-49cb-a1b8-40fb9bcd567a","2b5a102d-0462-4fee-a1f1-21dca1390db0.htseq.counts.gz","LUAD","tumor"
