"file_id.BAM","file_name.BAM","file_id.expression","file_name.expression","cancer","source"
"73416b2f-f0ca-4af3-8abc-03010c9bed12","d90cd0c9-af70-4948-b395-d8ecb1d96874_gdc_realn_rehead.bam","7e4abfa8-1b33-49e6-b750-190fc6bf83c8","007d074e-3b7c-484b-b757-1a60e1172506.FPKM.txt.gz","LUSC","tumor"
"73416b2f-f0ca-4af3-8abc-03010c9bed12","d90cd0c9-af70-4948-b395-d8ecb1d96874_gdc_realn_rehead.bam","3e123200-4d8c-4568-9b9d-08b81a0fbe2d","007d074e-3b7c-484b-b757-1a60e1172506.htseq.counts.gz","LUSC","tumor"
"73416b2f-f0ca-4af3-8abc-03010c9bed12","d90cd0c9-af70-4948-b395-d8ecb1d96874_gdc_realn_rehead.bam","07f78836-ac7b-4674-a6ed-14334e817a00","007d074e-3b7c-484b-b757-1a60e1172506.FPKM-UQ.txt.gz","LUSC","tumor"
"75c6fddf-0eb1-4259-828e-74d0388bb01b","e30562e0-a6ad-470f-8719-33c4c6a6237d_gdc_realn_rehead.bam","d4f809c0-1df1-43ce-a733-ec397e9997d6","88775aca-995e-41a6-bb2e-3ece8918624b.htseq.counts.gz","LUSC","tumor"
"75c6fddf-0eb1-4259-828e-74d0388bb01b","e30562e0-a6ad-470f-8719-33c4c6a6237d_gdc_realn_rehead.bam","9667a488-9256-4e5d-adab-e987ebe59dab","88775aca-995e-41a6-bb2e-3ece8918624b.FPKM.txt.gz","LUSC","tumor"
"75c6fddf-0eb1-4259-828e-74d0388bb01b","e30562e0-a6ad-470f-8719-33c4c6a6237d_gdc_realn_rehead.bam","d4411d78-1f5d-4447-bdf3-21884ef0731d","88775aca-995e-41a6-bb2e-3ece8918624b.FPKM-UQ.txt.gz","LUSC","tumor"
"7b5b32f2-0bdf-45f6-97f8-bf94461a4eeb","a6b1690a-6ac6-4135-808e-d88b42e999bc_gdc_realn_rehead.bam","8cf46a69-cf97-4522-ae7e-62acf5ece268","f69a97ec-c6c0-4450-83f1-3280f31ad447.FPKM.txt.gz","LUSC","tumor"
"7b5b32f2-0bdf-45f6-97f8-bf94461a4eeb","a6b1690a-6ac6-4135-808e-d88b42e999bc_gdc_realn_rehead.bam","1b636469-d6c2-48ad-80d7-5d50b61675ae","f69a97ec-c6c0-4450-83f1-3280f31ad447.FPKM-UQ.txt.gz","LUSC","tumor"
"7b5b32f2-0bdf-45f6-97f8-bf94461a4eeb","a6b1690a-6ac6-4135-808e-d88b42e999bc_gdc_realn_rehead.bam","b40ba2e0-c15c-4c48-9df4-6a0f85cc4545","f69a97ec-c6c0-4450-83f1-3280f31ad447.htseq.counts.gz","LUSC","tumor"
"b3ae5407-d5d4-4192-addb-b452b7b52842","554f6414-edac-451e-9601-8d89bfbe77de_gdc_realn_rehead.bam","b701206a-db47-4c5f-9825-8eebc831d1bc","ff47bedc-e4c7-4775-8e8e-ed4d2eecda83.FPKM.txt.gz","LUSC","tumor"
