"V1","med.counts","kingdom","phylum","class","order","family","genus","species","batch"
"seq1",16950,NA,NA,NA,NA,NA,NA,NA,"1"
"seq2",15766,"k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Ralstonia","s__Ralstonia-pickettii","1"
"seq4",8359,"k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Phyllobacteriaceae","g__Phyllobacterium","s__Phyllobacterium-brassicacearum-myrsinacearum","1"
"seq21",1428,"k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__Bradyrhizobium","s__unclassified-g__Bradyrhizobium","1"
"seq13",1185,"k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingobium","s__Sphingobium-limneticum","1"
"seq11",1119.5,"k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Noviherbaspirillum","s__Noviherbaspirillum-sp49445","1"
"seq9",1102.5,"k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Noviherbaspirillum","s__Noviherbaspirillum-sp49445","1"
"seq18",761,"k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Brevundimonas","s__Brevundimonas-nasdae-vesicularis","1"
"seq10",737,"k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas-kyeonggiensis-leidyi","1"
"seq52",407,"k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__Afipia-Bradyrhizobium","s__unclassified-g__Afipia-Bradyrhizobium","1"
"seq16",371,"k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Acidovorax","s__Acidovorax-temperans","1"
"seq19",331,NA,NA,NA,NA,NA,NA,NA,"1"
"seq22",272,NA,NA,NA,NA,NA,NA,NA,"1"
"seq50",218.5,"k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Rhodocyclales","f__Rhodocyclaceae","g__Dechloromonas","s__Dechloromonas-agitata","1"
"seq55",161,"k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter-bereziniae-bouvetii","1"
"seq95",97,"k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Ralstonia","s__Ralstonia-pickettii","1"
"seq97",44,NA,NA,NA,NA,NA,NA,NA,"1"
"seq113",31.5,NA,NA,NA,NA,NA,NA,NA,"1"
"seq327",11.5,NA,NA,NA,NA,NA,NA,NA,"1"
"seq1",23733,"k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Delftia","s__Delftia-acidovorans","2"
"seq2",13662,"k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Nocardiaceae","g__Rhodococcus","s__Rhodococcus-erythropolis-qingshengii-sp5959","2"
"seq12",2449,"k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Nocardiaceae","g__Rhodococcus","s__Rhodococcus-erythropolis-qingshengii-sp5959","2"
"seq17",1175,"k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Microbacterium","s__Microbacterium-aerolatum-sp6882","2"
"seq3",1021,NA,NA,NA,NA,NA,NA,NA,"2"
"seq95",185,"k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Nocardiaceae","g__Rhodococcus","s__Rhodococcus-erythropolis-qingshengii-sp5959","2"
