ENTREZID	PATHWAY_TERM	SYMBOL	perc.genes
1	NA	A1BG	0.861578890914942
10	NA	NAT2	0.861578890914942
100	Adenine and hypoxanthine salvage pathway	ADA	0.000482677249812292
1000	Cadherin signaling pathway	CDH2	0.0174300117987772
1000	Wnt signaling pathway	CDH2	0.0381315027351711
1000	Alzheimer disease-presenilin pathway	CDH2	0.0163037648825485
1000	CCKR signaling map	CDH2	0.0578140083664057
10000	Angiogenesis	AKT3	0.0381851335407058
10000	Apoptosis signaling pathway	AKT3	0.0195216132146305
10000	EGF receptor signaling pathway	AKT3	0.0227930923522471
10000	Endothelin signaling pathway	AKT3	0.0129250241338625
10000	FGF signaling pathway	AKT3	0.0230612463799206
10000	Huntington disease	AKT3	0.0274053416282313
10000	Hypoxia response via HIF activation	AKT3	0.00573849619221281
10000	Inflammation mediated by chemokine and cytokine signaling pathway	AKT3	0.0403839965676284
10000	Interleukin signaling pathway	AKT3	0.024777432157031
10000	PI3 kinase pathway	AKT3	0.0210232757696021
10000	Ras Pathway	AKT3	0.0177517966319854
10000	T cell activation	AKT3	0.0224176767135042
10000	p53 pathway	AKT3	0.0235975544352676
10000	p53 pathway by glucose deprivation	AKT3	0.00713289713611498
10000	p53 pathway feedback loops 2	AKT3	0.0127105009117237
10000	5HT2 type receptor mediated signaling pathway	AKT3	0.0109406843290786
10000	Alpha adrenergic receptor signaling pathway	AKT3	0.0062748042475598
10000	Alzheimer disease-amyloid secretase pathway	AKT3	0.0114769923844256
10000	Angiotensin II-stimulated signaling through G proteins and beta-arrestin	AKT3	0.0139976402445565
10000	B cell activation	AKT3	0.0215059530194144
10000	CCKR signaling map	AKT3	0.0578140083664057
10000	FAS signaling pathway	AKT3	0.0138367478279524
10000	Gonadotropin-releasing hormone receptor pathway	AKT3	0.0669312453073045
10000	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway	AKT3	0.0230076155743859
10000	Histamine H1 receptor mediated signaling pathway	AKT3	0.00509492652579642
10000	Insulin/IGF pathway-protein kinase B signaling cascade	AKT3	0.011584253995495
10000	Metabotropic glutamate receptor group I pathway	AKT3	0.006060281025421
10000	Muscarinic acetylcholine receptor 1 and 3 signaling pathway	AKT3	0.0101898530515928
10000	Oxytocin receptor mediated signaling pathway	AKT3	0.00842003646894776
10000	PDGF signaling pathway	AKT3	0.0322321141263542
10000	Thyrotropin-releasing hormone receptor signaling pathway	AKT3	0.00927812935750295
10000	VEGF signaling pathway	AKT3	0.0212914297972756
10000	Wnt signaling pathway	AKT3	0.0381315027351711
100008586	NA	GAGE12F	0.861578890914942
10001	NA	MED6	0.861578890914942
10002	NA	NR2E3	0.861578890914942
10002	CCKR signaling map	NR2E3	0.0578140083664057
10002	Vitamin D metabolism and pathway	NR2E3	0.00530944974793521
10003	NA	NAALAD2	0.861578890914942
100037417	NA	DDTL	0.861578890914942
10004	NA	NAALADL1	0.861578890914942
100049587	NA	SIGLEC14	0.861578890914942
100049587	B cell activation	SIGLEC14	0.0215059530194144
10005	NA	ACOT8	0.861578890914942
10006	NA	ABI1	0.861578890914942
10007	N-acetylglucosamine metabolism	GNPDA1	0.000429046444277593
10008	NA	KCNE3	0.861578890914942
10009	NA	ZBTB33	0.861578890914942
1001	Alzheimer disease-presenilin pathway	CDH3	0.0163037648825485
1001	Cadherin signaling pathway	CDH3	0.0174300117987772
1001	Wnt signaling pathway	CDH3	0.0381315027351711
1001	CCKR signaling map	CDH3	0.0578140083664057
10010	Toll receptor signaling pathway	TANK	0.014802102327577
100101467	NA	ZSCAN30	0.861578890914942
100101629	NA	GAGE8	0.861578890914942
10011	NA	SRA1	0.861578890914942
100113407	NA	TMEM170B	0.861578890914942
